metric,value
duration_s,9.987000000000002
n_state_samples,999
n_ctrl_samples,500
trajectory_type,circle_2d
wind_x,0.0
wind_y,0.0
wind_z,0.0
is_wind,False
rmse_x,0.18462636031742746
max_err_x,0.36702625288891544
rmse_y,0.057571299955181135
max_err_y,0.1253996852529211
rmse_z,0.07215163270105548
max_err_z,0.15199072533121227
rmse_3d,0.2064151293001993
max_err_3d,0.3674965144335494
rmse_vx,0.2512538156837036
rmse_vy,0.0657550477441171
rmse_vz,0.0910222757437906
rmse_vel_3d,0.27520403500136087
settling_time_s,
ss_err_x,0.1911275734735094
ss_err_y,0.0962476859917593
ss_err_z,0.11346784811626032
ss_err_3d,0.25983908383943777
mean_thrust,14.89832829421701
max_thrust,16.511241458104482
min_thrust,13.47398725593036
thrust_dev,0.6305805663262959
rms_tau_phi,0.07759569297691496
max_tau_phi,0.1953208185044118
rms_tau_theta,0.0350115859288354
max_tau_theta,0.15917520998977414
rms_tau_psi,0.0007136247167576711
max_tau_psi,0.003573618828996953
mean_motor_util,43.98616897449292
max_motor_util,47.97940024054604
mean_util_r0,44.0230776129716
mean_util_r1,43.9474013893016
mean_util_r2,43.97913647660296
mean_util_r3,43.99506041909554
sat_events,0
sat_pct,0.0
ctrl_energy,2219.5867230326926
max_phi_deg,1.1123558714784647
max_theta_deg,5.03194196564301
pct_within_linear,100.0
linearization_valid,True
ss_offset_x,0.02600097711385228
ss_offset_y,-0.0962476859917593
ss_offset_z,0.11346784811626032
wind_detected,True
has_mpc_debug,True
mpc_solve_ok,500
mpc_solve_fail,0
mpc_solve_pct,100.0
cost_state_mean,1.252025321985463
cost_state_max,2.992600577457802
cost_input_mean,0.04527301248113514
cost_input_max,0.1061110407527658
cost_total_mean,1.297298334466598
torque_scale_mean,1.0
torque_scale_min,1.0
torque_scaled_pct,0.0
ud_thrust_rms,1.8078173328954155
ui_thrust_rms,1.79351645146383
ud_tau_phi_rms,0.15860502107048882
ui_tau_phi_rms,0.09176139370635954
ud_tau_theta_rms,0.3174172520998747
ui_tau_theta_rms,0.3218070916895669
ud_tau_psi_rms,0.0007136247167576711
ui_tau_psi_rms,0.0
int_err_mag_final,0.417634030233774
int_err_mag_max,0.6924288022530736
