t,t_rel,thrust,tau_phi,tau_theta,tau_psi,w0,w1,w2,w3,ud_T,ud_phi,ud_theta,ud_psi,ui_T,ui_phi,ui_theta,ui_psi,ut_T,ut_phi,ut_theta,ut_psi,torque_scale,cost_state,cost_input,solve_ok,int_err_x,int_err_y,int_err_z
7.302000,0.012000,14.799933,-0.048155,0.551611,-0.007669,564.796232,744.391145,546.317436,748.129777,-1.771026,0.529301,-0.077336,-0.007669,1.855959,-0.577456,0.628947,0.000000,14.799933,-0.048155,0.551611,-0.007669,1.000000,0.257719,0.059985,1.000000,0.313994,0.289249,0.618653
7.322000,0.032000,14.803679,-0.042041,0.518794,-0.008814,571.110100,740.459956,553.421112,742.286597,-1.764332,0.535840,-0.113133,-0.008814,1.853011,-0.577881,0.631927,0.000000,14.803679,-0.042041,0.518794,-0.008814,1.000000,0.256471,0.061129,1.000000,0.315476,0.289473,0.617670
7.343000,0.053000,14.792883,-0.040662,0.511672,-0.008924,572.112385,739.331841,554.709044,740.825837,-1.772161,0.537607,-0.123199,-0.008924,1.850044,-0.578269,0.634870,0.000000,14.792883,-0.040662,0.511672,-0.008924,1.000000,0.255517,0.061833,1.000000,0.316947,0.289670,0.616681
7.363000,0.073000,14.795779,-0.025882,0.449620,-0.009478,582.713445,731.490297,568.812168,729.799722,-1.766291,0.552721,-0.188176,-0.009478,1.847070,-0.578603,0.637796,0.000000,14.795779,-0.025882,0.449620,-0.009478,1.000000,0.257221,0.065298,1.000000,0.318403,0.289846,0.615690
7.382000,0.092000,14.788832,-0.024596,0.447552,-0.009343,582.731186,731.108785,569.254622,729.265911,-1.770247,0.554305,-0.193132,-0.009343,1.844079,-0.578901,0.640683,0.000000,14.788832,-0.024596,0.447552,-0.009343,1.000000,0.255535,0.065802,1.000000,0.319849,0.289995,0.614693
7.403000,0.113000,14.794164,-0.021458,0.423032,-0.009023,587.079120,727.622013,574.724473,725.393099,-1.761915,0.557702,-0.220515,-0.009023,1.841080,-0.579159,0.643547,0.000000,14.794164,-0.021458,0.423032,-0.009023,1.000000,0.254306,0.067017,1.000000,0.321282,0.290125,0.613693
7.423000,0.133000,14.782182,-0.002150,0.280569,-0.006388,610.284877,705.959054,604.911844,701.750140,-1.770879,0.577204,-0.365806,-0.006388,1.838061,-0.579354,0.646375,0.000000,14.782182,-0.002150,0.280569,-0.006388,1.000000,0.270045,0.078062,1.000000,0.322702,0.290218,0.612687
7.443000,0.153000,14.809890,-0.033198,0.494001,-0.008290,574.849044,737.461584,559.918005,737.990099,-1.740160,0.546311,-0.155192,-0.008290,1.835049,-0.579509,0.649193,0.000000,14.809890,-0.033198,0.494001,-0.008290,1.000000,0.243539,0.062542,1.000000,0.324108,0.290301,0.611683
7.465000,0.175000,14.809148,-0.029453,0.464854,-0.007305,579.661882,733.000272,566.588304,733.506767,-1.737879,0.550174,-0.187123,-0.007305,1.832026,-0.579627,0.651977,0.000000,14.809148,-0.029453,0.464854,-0.007305,1.000000,0.244057,0.063978,1.000000,0.325504,0.290358,0.610675
7.482000,0.192000,14.800965,-0.019604,0.359343,-0.005146,597.603786,716.647393,588.975792,716.790285,-1.743024,0.560074,-0.295391,-0.005146,1.828989,-0.579679,0.654734,0.000000,14.800965,-0.019604,0.359343,-0.005146,1.000000,0.253800,0.070478,1.000000,0.326886,0.290381,0.609663
7.506000,0.216000,14.821693,-0.043311,0.445042,-0.005946,584.918888,728.406047,569.690513,732.507020,-1.719264,0.536390,-0.212438,-0.005946,1.825957,-0.579701,0.657481,0.000000,14.821693,-0.043311,0.445042,-0.005946,1.000000,0.241385,0.062847,1.000000,0.328260,0.290395,0.608652
7.524000,0.234000,14.824808,-0.052319,0.648446,-0.008505,546.723450,759.260527,525.773816,763.126781,-1.713111,0.527323,-0.011771,-0.008505,1.822919,-0.579642,0.660217,0.000000,14.824808,-0.052319,0.648446,-0.008505,1.000000,0.231793,0.057176,1.000000,0.329617,0.290380,0.607640
7.542000,0.252000,14.824412,-0.047416,0.632659,-0.008684,549.405701,757.421521,529.696177,760.279757,-1.710462,0.532123,-0.030261,-0.008684,1.819873,-0.579540,0.662920,0.000000,14.824412,-0.047416,0.632659,-0.008684,1.000000,0.230991,0.057671,1.000000,0.330961,0.290339,0.606624
7.562000,0.272000,14.807869,-0.037187,0.637555,-0.009273,546.910032,758.966725,529.285994,759.550806,-1.723941,0.542180,-0.028045,-0.009273,1.816809,-0.579367,0.665600,0.000000,14.807869,-0.037187,0.637555,-0.009273,1.000000,0.232830,0.059203,1.000000,0.332296,0.290262,0.605603
