t,t_rel,x,y,z,phi,theta,psi,vx,vy,vz,p,q,r,ref_x,ref_y,ref_z,ref_phi,ref_theta,ref_psi,ref_vx,ref_vy,ref_vz,ref_p,ref_q,ref_r,err_x,err_y,err_z,err_phi,err_theta,err_psi,err_vx,err_vy,err_vz,err_3d,err_vel_3d
8.600000,0.000000,-0.090728,0.001042,1.051952,-0.022026,0.002556,0.002217,0.036221,0.157959,0.034639,-0.015166,0.165833,-0.002249,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000067,0.000000,0.000001,0.000000,0.000000,0.000000,-0.090728,0.001042,0.051952,-0.022026,0.002556,0.002217,0.036154,0.157959,0.034638,0.104555,0.165704
8.611000,0.011000,-0.090420,0.000688,1.052086,-0.021747,0.001470,0.002243,0.036177,0.153860,0.033812,-0.001760,0.074025,-0.001039,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000067,0.000000,0.000001,0.000000,0.000000,0.000000,-0.090420,0.000688,0.052086,-0.021747,0.001470,0.002243,0.036110,0.153860,0.033811,0.104351,0.161617
8.621000,0.021000,-0.089957,0.001788,1.052440,-0.021777,0.001319,0.002251,0.036676,0.154753,0.033651,-0.001596,0.075096,-0.001037,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000067,0.000000,0.000001,0.000000,0.000000,0.000000,-0.089957,0.001788,0.052440,-0.021777,0.001319,0.002251,0.036609,0.154753,0.033650,0.104141,0.162545
8.630000,0.030000,-0.089590,0.003336,1.052777,-0.021793,0.002069,0.002224,0.036801,0.156887,0.033510,-0.010977,0.167588,-0.002113,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000067,0.000000,0.000001,0.000000,0.000000,0.000000,-0.089590,0.003336,0.052777,-0.021793,0.002069,0.002224,0.036734,0.156887,0.033509,0.104033,0.164578
8.640000,0.040000,-0.089376,0.003147,1.052874,-0.021399,0.001232,0.002239,0.036364,0.153046,0.032677,-0.006144,0.099122,-0.001106,0.000004,0.000000,1.000000,0.000000,0.000000,0.000000,0.000283,0.000000,0.000009,0.000000,0.000000,0.000000,-0.089380,0.003147,0.052874,-0.021399,0.001232,0.002239,0.036081,0.153046,0.032668,0.103896,0.160599
8.652000,0.052000,-0.088915,0.003693,1.053154,-0.021532,0.001384,0.002248,0.036851,0.152324,0.032450,-0.007289,0.107817,-0.000920,0.000013,0.000000,1.000000,0.000000,0.000000,0.000000,0.000646,0.000000,0.000032,0.000000,0.000000,0.000000,-0.088928,0.003693,0.053154,-0.021532,0.001384,0.002248,0.036205,0.152324,0.032418,0.103669,0.159888
8.661000,0.061000,-0.088417,0.004864,1.053501,-0.021671,0.001851,0.002246,0.037471,0.153513,0.032423,-0.011154,0.131708,-0.000813,0.000013,0.000000,1.000000,0.000000,0.000000,0.000000,0.000646,0.000000,0.000032,0.000000,0.000000,0.000000,-0.088430,0.004864,0.053501,-0.021671,0.001851,0.002246,0.036825,0.153513,0.032391,0.103469,0.161157
8.670000,0.070000,-0.088042,0.006399,1.053825,-0.021783,0.003168,0.002210,0.037648,0.155637,0.032299,-0.018585,0.215360,-0.001918,0.000013,0.000000,1.000000,0.000000,0.000000,0.000000,0.000646,0.000000,0.000032,0.000000,0.000000,0.000000,-0.088055,0.006399,0.053825,-0.021783,0.003168,0.002210,0.037002,0.155637,0.032267,0.103401,0.163197
8.683000,0.083000,-0.087675,0.006173,1.053944,-0.021700,0.002930,0.002224,0.037860,0.152063,0.031580,-0.014007,0.145441,-0.000699,0.000032,0.000000,1.000002,0.000000,0.000000,0.000000,0.001187,0.000000,0.000080,0.000000,0.000000,0.000000,-0.087707,0.006173,0.053942,-0.021700,0.002930,0.002224,0.036673,0.152063,0.031500,0.103152,0.159563
8.690000,0.090000,-0.087184,0.007266,1.054240,-0.021884,0.003741,0.002215,0.038576,0.152996,0.031353,-0.007716,0.127558,-0.000423,0.000032,0.000000,1.000002,0.000000,0.000000,0.000000,0.001187,0.000000,0.000080,0.000000,0.000000,0.000000,-0.087216,0.007266,0.054238,-0.021884,0.003741,0.002215,0.037389,0.152996,0.031273,0.102962,0.160573
8.700000,0.100000,-0.086798,0.008796,1.054554,-0.021961,0.005016,0.002183,0.038938,0.155140,0.031182,-0.005590,0.174244,-0.001253,0.000060,0.000000,1.000004,0.000000,0.000000,0.000000,0.001815,0.000000,0.000151,0.000000,0.000000,0.000000,-0.086858,0.008796,0.054550,-0.021961,0.005016,0.002183,0.037123,0.155140,0.031031,0.102944,0.162510
8.710000,0.110000,-0.086567,0.008606,1.054589,-0.021791,0.005251,0.002186,0.038803,0.151384,0.030255,-0.013206,0.155443,-0.000682,0.000060,0.000000,1.000004,0.000000,0.000000,0.000000,0.001815,0.000000,0.000151,0.000000,0.000000,0.000000,-0.086627,0.008606,0.054585,-0.021791,0.005251,0.002186,0.036988,0.151384,0.030104,0.102751,0.158718
