t,t_rel,thrust,tau_phi,tau_theta,tau_psi,w0,w1,w2,w3,ud_T,ud_phi,ud_theta,ud_psi,ui_T,ui_phi,ui_theta,ui_psi,ut_T,ut_phi,ut_theta,ut_psi,torque_scale,cost_state,cost_input,solve_ok,int_err_x,int_err_y,int_err_z
8.563000,-0.007000,14.930560,-0.000000,0.000000,-0.000000,660.786349,660.786351,660.786349,660.786352,-1.759849,0.000000,0.000000,-0.000000,1.975409,-0.000000,-0.000000,0.000000,14.930560,-0.000000,0.000000,-0.000000,1.000000,0.029563,0.030971,1.000000,-0.000000,0.000000,0.658470
8.582000,0.012000,18.030455,-0.047417,0.248013,-0.000000,691.450901,759.265010,681.834206,767.912639,1.341562,-0.047416,0.248013,-0.000000,1.973892,-0.000000,-0.000000,0.000000,18.030455,-0.047417,0.248013,-0.000000,1.000000,0.055298,0.024374,1.000000,-0.000000,0.000000,0.657964
8.602000,0.032000,17.637972,-0.033311,0.183787,-0.000000,692.177905,743.317868,685.443170,749.532765,0.950447,-0.033311,0.183785,-0.000000,1.972526,-0.000000,0.000002,0.000000,17.637972,-0.033311,0.183787,-0.000000,1.000000,0.036852,0.012522,1.000000,0.000001,0.000000,0.657509
8.629000,0.059000,16.624691,-0.015236,0.075135,0.000288,686.489967,707.683581,683.588137,710.882587,-0.061802,-0.015235,0.075113,0.000288,1.971493,-0.000001,0.000022,0.000000,16.624691,-0.015236,0.075135,0.000288,1.000000,0.018344,0.000626,1.000000,0.000011,0.000000,0.657164
8.644000,0.074000,16.146354,0.005768,-0.010475,0.000256,688.206878,685.937480,689.545071,684.956021,-0.539019,0.005769,-0.010517,0.000256,1.970373,-0.000002,0.000042,0.000000,16.146354,0.005768,-0.010475,0.000256,1.000000,0.024325,0.002920,1.000000,0.000021,0.000001,0.656791
8.662000,0.092000,16.012971,0.013356,-0.064349,0.000137,693.430425,674.986993,696.198685,672.329865,-0.671371,0.013358,-0.064422,0.000137,1.969342,-0.000003,0.000073,0.000000,16.012971,0.013356,-0.064349,0.000137,1.000000,0.030698,0.004940,1.000000,0.000037,0.000001,0.656447
8.682000,0.112000,15.635062,0.021006,-0.121925,-0.000351,694.195190,657.964886,698.163442,653.229701,-1.048233,0.021012,-0.122047,-0.000351,1.968295,-0.000005,0.000122,0.000000,15.635062,0.021006,-0.121925,-0.000351,1.000000,0.040000,0.012522,1.000000,0.000061,0.000003,0.656098
8.703000,0.133000,15.470484,0.016643,-0.121735,-0.000634,691.223955,653.975943,694.144940,649.924292,-1.211806,0.016652,-0.121926,-0.000634,1.967290,-0.000009,0.000190,0.000000,15.470484,0.016643,-0.121735,-0.000634,1.000000,0.039488,0.016199,1.000000,0.000095,0.000005,0.655763
8.725000,0.155000,15.287104,0.008334,-0.143028,-0.001293,691.867332,645.531497,692.677051,642.704918,-1.394293,0.008352,-0.143333,-0.001293,1.966397,-0.000018,0.000305,0.000000,15.287104,0.008334,-0.143028,-0.001293,1.000000,0.042973,0.021502,1.000000,0.000152,0.000009,0.655466
8.743000,0.173000,15.141648,0.008713,-0.111176,-0.001096,683.459643,647.745762,684.490039,645.003045,-1.538720,0.008737,-0.111591,-0.001096,1.965369,-0.000024,0.000414,0.000000,15.141648,0.008713,-0.111176,-0.001096,1.000000,0.041063,0.024930,1.000000,0.000207,0.000012,0.655123
8.763000,0.193000,15.057994,0.000851,-0.087081,-0.000917,678.426254,649.124480,677.973352,648.219728,-1.621341,0.000884,-0.087630,-0.000917,1.964335,-0.000032,0.000549,0.000000,15.057994,0.000851,-0.087081,-0.000917,1.000000,0.040516,0.027056,1.000000,0.000275,0.000016,0.654778
8.781000,0.211000,15.011327,-0.001883,-0.056204,-0.000648,672.463465,653.012677,671.625819,652.907699,-1.666958,-0.001840,-0.056913,-0.000648,1.963284,-0.000043,0.000708,0.000000,15.011327,-0.001883,-0.056204,-0.000648,1.000000,0.039741,0.028112,1.000000,0.000354,0.000022,0.654428
8.802000,0.232000,14.876845,-0.005621,0.022018,-0.000173,656.488667,662.817024,655.172962,663.864089,-1.800306,-0.005565,0.021129,-0.000173,1.962151,-0.000055,0.000890,0.000000,14.876845,-0.005621,0.022018,-0.000173,1.000000,0.041457,0.032459,1.000000,0.000445,0.000028,0.654050
8.825000,0.255000,14.777663,-0.002364,0.035311,-0.000009,651.580426,663.163687,651.068627,663.652947,-1.898263,-0.002295,0.034219,-0.000009,1.960926,-0.000069,0.001092,0.000000,14.777663,-0.002364,0.035311,-0.000009,1.000000,0.044960,0.036152,1.000000,0.000546,0.000035,0.653642
8.844000,0.274000,14.899967,0.001256,0.045589,-0.000110,652.199774,668.004906,652.389563,667.658952,-1.774786,0.001344,0.044263,-0.000110,1.959753,-0.000088,0.001326,0.000000,14.899967,0.001256,0.045589,-0.000110,1.000000,0.041575,0.031695,1.000000,0.000663,0.000044,0.653251
8.866000,0.296000,14.792118,0.003944,0.017600,0.000001,654.279108,661.133839,655.118532,660.303130,-1.881406,0.004062,0.015981,0.000001,1.958523,-0.000118,0.001619,0.000000,14.792118,0.003944,0.017600,0.000001,1.000000,0.046964,0.035424,1.000000,0.000809,0.000059,0.652841
8.885000,0.315000,14.803949,0.015751,0.018514,0.000033,653.117241,662.780055,656.490619,659.487835,-1.868265,0.015894,0.016617,0.000033,1.957215,-0.000142,0.001897,0.000000,14.803949,0.015751,0.018514,0.000033,1.000000,0.046077,0.034957,1.000000,0.000948,0.000071,0.652405
8.902000,0.332000,14.844147,0.014802,-0.001468,0.000057,657.536242,660.161608,660.703936,657.076060,-1.826753,0.014976,-0.003677,0.000057,1.955899,-0.000174,0.002208,0.000000,14.844147,0.014802,-0.001468,0.000057,1.000000,0.045644,0.033394,1.000000,0.001104,0.000087,0.651966
8.923000,0.353000,14.786769,0.012990,-0.025765,-0.000031,660.632192,654.570279,663.343251,651.776443,-1.882738,0.013200,-0.028307,-0.000031,1.954507,-0.000209,0.002542,0.000000,14.786769,0.012990,-0.025765,-0.000031,1.000000,0.048018,0.035545,1.000000,0.001271,0.000105,0.651502
8.944000,0.374000,14.852320,0.019189,-0.031208,-0.000185,662.408319,655.817647,666.301183,651.585107,-1.815819,0.019443,-0.034122,-0.000185,1.953139,-0.000255,0.002914,0.000000,14.852320,0.019189,-0.031208,-0.000185,1.000000,0.047139,0.033126,1.000000,0.001457,0.000127,0.651046
8.962000,0.392000,14.852023,0.016158,-0.038224,-0.000221,663.922600,654.298246,667.149174,650.676461,-1.814713,0.016465,-0.041537,-0.000221,1.951736,-0.000307,0.003313,0.000000,14.852023,0.016158,-0.038224,-0.000221,1.000000,0.047468,0.033131,1.000000,0.001657,0.000153,0.650579
8.983000,0.413000,14.779921,0.019722,-0.035037,-0.000275,661.434996,653.634769,665.382510,649.202873,-1.885312,0.020080,-0.038756,-0.000275,1.950233,-0.000358,0.003719,0.000000,14.779921,0.019722,-0.035037,-0.000275,1.000000,0.049595,0.035735,1.000000,0.001859,0.000179,0.650078
9.002000,0.432000,14.755375,0.017177,-0.024360,-0.000242,659.329622,654.638049,662.778292,650.784051,-1.908301,0.017590,-0.028505,-0.000242,1.948676,-0.000414,0.004145,0.000000,14.755375,0.017177,-0.024360,-0.000242,1.000000,0.050545,0.036528,1.000000,0.002072,0.000207,0.649559
9.024000,0.454000,14.693472,0.018442,-0.020742,-0.000208,657.190605,653.998055,660.940768,649.895830,-1.968555,0.018914,-0.025328,-0.000208,1.947027,-0.000472,0.004586,0.000000,14.693472,0.018442,-0.020742,-0.000208,1.000000,0.052997,0.038852,1.000000,0.002293,0.000236,0.649009
9.043000,0.473000,14.834894,0.013458,0.005509,-0.000144,656.349228,661.080919,659.097062,658.127880,-1.825533,0.014005,0.000441,-0.000144,1.945427,-0.000547,0.005068,0.000000,14.834894,0.013458,0.005509,-0.000144,1.000000,0.049255,0.033345,1.000000,0.002534,0.000273,0.648476
9.064000,0.494000,14.823986,0.014816,0.021870,-0.000061,653.120932,663.729020,656.229344,660.565996,-1.834791,0.015441,0.016307,-0.000061,1.943778,-0.000625,0.005564,0.000000,14.823986,0.014816,0.021870,-0.000061,1.000000,0.050113,0.033715,1.000000,0.002782,0.000312,0.647926
9.082000,0.512000,14.805571,0.016714,0.020689,-0.000141,652.738029,663.352769,656.194726,659.725734,-1.851514,0.017423,0.014612,-0.000141,1.942085,-0.000709,0.006077,0.000000,14.805571,0.016714,0.020689,-0.000141,1.000000,0.050858,0.034333,1.000000,0.003039,0.000354,0.647362
9.102000,0.532000,14.742813,0.011333,0.008352,-0.000142,654.031368,659.300843,656.339420,656.792208,-1.912506,0.012131,0.001746,-0.000142,1.940319,-0.000798,0.006605,0.000000,14.742813,0.011333,0.008352,-0.000142,1.000000,0.052613,0.036592,1.000000,0.003303,0.000399,0.646773
9.122000,0.552000,14.872412,0.021520,0.025314,-0.000201,652.947023,666.132032,657.379060,661.463110,-1.781189,0.022425,0.018143,-0.000201,1.938601,-0.000906,0.007171,0.000000,14.872412,0.021520,0.025314,-0.000201,1.000000,0.049887,0.031810,1.000000,0.003585,0.000453,0.646200
9.149000,0.579000,14.906784,0.019057,0.016819,-0.000160,655.423646,665.178373,659.347721,661.053135,-1.745115,0.020090,0.009045,-0.000160,1.936899,-0.001033,0.007774,0.000000,14.906784,0.019057,0.016819,-0.000160,1.000000,0.049176,0.030503,1.000000,0.003887,0.000517,0.645633
9.163000,0.593000,14.883791,0.002804,0.002818,-0.000058,658.994059,660.548903,659.545759,659.912704,-1.766487,0.004020,-0.005647,-0.000058,1.935278,-0.001215,0.008465,0.000000,14.883791,0.002804,0.002818,-0.000058,1.000000,0.050818,0.031210,1.000000,0.004233,0.000608,0.645093
9.185000,0.615000,14.775458,0.046791,-0.009180,0.000127,653.905637,660.673036,663.884756,650.835122,-1.872976,0.048128,-0.018242,0.000127,1.933434,-0.001336,0.009062,0.000000,14.775458,0.046791,-0.009180,0.000127,1.000000,0.053533,0.035345,1.000000,0.004531,0.000668,0.644478
9.205000,0.635000,14.752851,0.043287,-0.010690,0.000301,653.971474,659.478050,663.335628,650.509172,-1.893693,0.044747,-0.020355,0.000301,1.931545,-0.001460,0.009665,0.000000,14.752851,0.043287,-0.010690,0.000301,1.000000,0.054281,0.036102,1.000000,0.004832,0.000731,0.643848
9.222000,0.652000,14.858738,0.041500,0.004231,0.000115,654.028865,664.236669,662.887017,655.568038,-1.785955,0.043111,-0.006079,0.000115,1.929693,-0.001612,0.010309,0.000000,14.858738,0.041500,0.004231,0.000115,1.000000,0.052307,0.032086,1.000000,0.005154,0.000806,0.643231
9.245000,0.675000,14.836109,0.038771,0.004881,-0.000197,653.812513,663.682361,661.880780,655.343004,-1.806687,0.040532,-0.006072,-0.000197,1.927796,-0.001761,0.010953,0.000000,14.836109,0.038771,0.004881,-0.000197,1.000000,0.053005,0.032809,1.000000,0.005476,0.000881,0.642599
9.263000,0.693000,14.899047,0.025210,0.023082,-0.000306,653.571581,666.765540,658.705798,661.243272,-1.741884,0.027150,0.011446,-0.000306,1.925931,-0.001940,0.011635,0.000000,14.899047,0.025210,0.023082,-0.000306,1.000000,0.052033,0.030428,1.000000,0.005818,0.000971,0.641977
9.284000,0.714000,14.932351,0.016799,0.031874,-0.000435,653.745425,668.148784,657.007022,664.303977,-1.706719,0.018933,0.019537,-0.000435,1.924070,-0.002134,0.012337,0.000000,14.932351,0.016799,0.031874,-0.000435,1.000000,0.051424,0.029203,1.000000,0.006169,0.001068,0.641357
9.303000,0.733000,14.891628,0.014316,0.028150,-0.000729,653.844044,666.482121,656.370861,662.923117,-1.745548,0.016644,0.015112,-0.000729,1.922177,-0.002328,0.013039,0.000000,14.891628,0.014316,0.028150,-0.000729,1.000000,0.052283,0.030520,1.000000,0.006519,0.001165,0.640726
9.322000,0.752000,14.805053,0.009680,0.007389,-0.000828,656.004992,660.606771,657.472123,657.920457,-1.830175,0.012209,-0.006357,-0.000828,1.920228,-0.002529,0.013746,0.000000,14.805053,0.009680,0.007389,-0.000828,1.000000,0.054308,0.033514,1.000000,0.006873,0.001266,0.640076
9.343000,0.773000,14.882777,0.024734,0.028071,-0.000997,652.644314,667.464882,657.197216,661.515444,-1.750526,0.027476,0.013604,-0.000997,1.918303,-0.002742,0.014467,0.000000,14.882777,0.024734,0.028071,-0.000997,1.000000,0.052893,0.030738,1.000000,0.007233,0.001373,0.639434
9.362000,0.792000,14.831475,0.038264,0.012887,-0.000509,652.494804,665.002696,660.253092,656.545068,-1.799854,0.041217,-0.002294,-0.000509,1.916330,-0.002953,0.015181,0.000000,14.831475,0.038264,0.012887,-0.000509,1.000000,0.054289,0.032565,1.000000,0.007590,0.001478,0.638777
9.382000,0.812000,14.823366,0.030104,0.006416,-0.000124,654.160313,662.723822,660.450653,656.270793,-1.805960,0.033268,-0.009477,-0.000124,1.914326,-0.003163,0.015893,0.000000,14.823366,0.030104,0.006416,-0.000124,1.000000,0.054347,0.032735,1.000000,0.007946,0.001584,0.638109
9.405000,0.835000,14.804571,0.047575,0.023713,-0.000113,648.881274,667.061750,658.932915,656.966873,-1.822716,0.050958,0.007102,-0.000113,1.912287,-0.003383,0.016611,0.000000,14.804571,0.047575,0.023713,-0.000113,1.000000,0.056365,0.033488,1.000000,0.008305,0.001694,0.637429
9.422000,0.852000,14.947535,0.030501,0.043472,-0.000089,650.499360,671.719981,656.933514,665.297889,-1.677794,0.034143,0.026104,-0.000089,1.910329,-0.003642,0.017368,0.000000,14.947535,0.030501,0.043472,-0.000089,1.000000,0.053005,0.028335,1.000000,0.008683,0.001824,0.636776
9.443000,0.873000,14.949346,0.032514,0.045744,0.000059,649.878564,672.291646,656.850820,665.568019,-1.674017,0.036426,0.027612,0.000059,1.908363,-0.003912,0.018132,0.000000,14.949346,0.032514,0.045744,0.000059,1.000000,0.053198,0.028232,1.000000,0.009065,0.001959,0.636121
9.463000,0.893000,14.878148,0.031827,0.033043,-0.000103,650.605851,668.598373,657.310440,661.856913,-1.743204,0.035999,0.014162,-0.000103,1.906352,-0.004172,0.018881,0.000000,14.878148,0.031827,0.033043,-0.000103,1.000000,0.054623,0.030537,1.000000,0.009440,0.002089,0.635451
9.484000,0.914000,14.879737,0.016230,0.021087,-0.000183,654.395401,665.018463,657.711178,661.469825,-1.739608,0.020681,0.001444,-0.000183,1.904345,-0.004451,0.019643,0.000000,14.879737,0.016230,0.021087,-0.000183,1.000000,0.054438,0.030305,1.000000,0.009821,0.002229,0.634782
9.509000,0.939000,14.842165,0.031414,0.025093,-0.000276,651.277349,666.493813,657.765267,659.683809,-1.775124,0.036139,0.004698,-0.000276,1.902288,-0.004726,0.020395,0.000000,14.842165,0.031414,0.025093,-0.000276,1.000000,0.055720,0.031643,1.000000,0.010197,0.002367,0.634096
9.525000,0.955000,14.914986,0.023215,0.040849,-0.000174,651.031161,669.846365,655.855199,664.868988,-1.700287,0.028252,0.019674,-0.000174,1.900273,-0.005037,0.021175,0.000000,14.914986,0.023215,0.040849,-0.000174,1.000000,0.054414,0.029028,1.000000,0.010586,0.002523,0.633424
9.542000,0.972000,15.013904,0.019518,0.055979,0.000005,650.970335,674.080451,655.136243,670.039962,-1.599419,0.024913,0.033991,0.000005,1.898323,-0.005394,0.021989,0.000000,15.013904,0.019518,0.055979,0.000005,1.000000,0.052606,0.025759,1.000000,0.010993,0.002702,0.632774
