metric,value
duration_s,10.0
n_state_samples,1000
n_ctrl_samples,501
trajectory_type,cone_helix
wind_x,0.0
wind_y,0.0
wind_z,0.0
is_wind,False
rmse_x,0.2053379402342782
max_err_x,0.5084810000000001
rmse_y,0.22233604552625513
max_err_y,0.4946689999999999
rmse_z,0.008777749749964392
max_err_z,0.025213000000000152
rmse_3d,0.30277720477371145
max_err_3d,0.5282212283371429
rmse_vx,0.2851669363109826
rmse_vy,0.2771536807586777
rmse_vz,0.03648057014167953
rmse_vel_3d,0.3993309108007255
settling_time_s,
ss_err_x,0.26442695
ss_err_y,0.364175075
ss_err_z,0.012852890000000004
ss_err_3d,0.48175558616835573
mean_thrust,14.95776929540918
max_thrust,17.210278
min_thrust,14.794912
thrust_dev,0.24276929540918174
rms_tau_phi,0.11145582569838054
max_tau_phi,0.383904
rms_tau_theta,0.1326734387772174
max_tau_theta,0.419766
rms_tau_psi,0.0021346836794189543
max_tau_psi,0.00919
mean_motor_util,44.05892229590818
max_motor_util,49.22095753333333
mean_util_r0,44.1499560081171
mean_util_r1,44.021903938789094
mean_util_r2,43.95265385575515
mean_util_r3,44.11117538097139
sat_events,0
sat_pct,0.0
ctrl_energy,2237.3011099594173
max_phi_deg,7.9982043411287265
max_theta_deg,8.81764857972483
pct_within_linear,100.0
linearization_valid,True
ss_offset_x,-0.014108660000000021
ss_offset_y,0.364175075
ss_offset_z,0.012852890000000004
wind_detected,True
has_mpc_debug,True
mpc_solve_ok,501
mpc_solve_fail,0
mpc_solve_pct,100.0
cost_state_mean,2.7016288243512983
cost_state_max,8.565691
cost_input_mean,0.04116265069860279
cost_input_max,0.080949
cost_total_mean,2.7427914750499003
torque_scale_mean,1.0
torque_scale_min,1.0
torque_scaled_pct,0.0
ud_thrust_rms,1.6707800970405944
ui_thrust_rms,1.9046961133494438
ud_tau_phi_rms,0.2666785627849676
ui_tau_phi_rms,0.3459528116445716
ud_tau_theta_rms,0.247696583886504
ui_tau_theta_rms,0.3457916588196706
ud_tau_psi_rms,0.0021346836794189543
ui_tau_psi_rms,0.0
int_err_mag_final,0.7148184210350207
int_err_mag_max,0.7163984643457857
