t,t_rel,x,y,z,phi,theta,psi,vx,vy,vz,p,q,r,ref_x,ref_y,ref_z,ref_phi,ref_theta,ref_psi,ref_vx,ref_vy,ref_vz,ref_p,ref_q,ref_r,err_x,err_y,err_z,err_phi,err_theta,err_psi,err_vx,err_vy,err_vz,err_3d,err_vel_3d
9.250000,0.000000,0.000000,-0.000001,1.028213,0.000001,-0.000001,-0.000000,-0.000000,-0.000002,0.058367,-0.000019,0.000006,0.000001,0.000050,0.000001,1.003000,0.000000,0.000000,0.000000,0.005025,0.000095,0.150000,0.000000,0.000000,0.000000,-0.000050,-0.000002,0.025213,0.000001,-0.000001,0.000000,-0.005025,-0.000097,-0.091633,0.025213,0.091771
9.260000,0.010000,0.000000,-0.000001,1.027810,0.000001,-0.000000,-0.000000,-0.000000,-0.000002,0.056929,-0.000020,0.000006,0.000001,0.000050,0.000001,1.003000,0.000000,0.000000,0.000000,0.005025,0.000095,0.150000,0.000000,0.000000,0.000000,-0.000050,-0.000002,0.024810,0.000001,0.000000,0.000000,-0.005025,-0.000097,-0.093071,0.024810,0.093207
9.272000,0.022000,0.000000,-0.000001,1.027617,0.000000,-0.000000,-0.000000,-0.000000,-0.000002,0.071347,-0.000017,0.000006,0.000001,0.000050,0.000001,1.003000,0.000000,0.000000,0.000000,0.005025,0.000095,0.150000,0.000000,0.000000,0.000000,-0.000050,-0.000002,0.024617,0.000000,0.000000,0.000000,-0.005025,-0.000097,-0.078653,0.024617,0.078813
9.280000,0.030000,0.000000,-0.000001,1.028331,0.000000,-0.000000,-0.000000,-0.000000,-0.000002,0.087982,-0.000012,0.000005,0.000001,0.000222,0.000006,1.006300,0.000000,0.000000,0.000000,0.010546,0.000418,0.150000,0.000000,0.000000,0.000000,-0.000222,-0.000007,0.022031,0.000000,0.000000,0.000000,-0.010546,-0.000420,-0.062018,0.022032,0.062910
9.290000,0.040000,0.000000,-0.000001,1.028342,0.000000,-0.000000,-0.000000,-0.000000,-0.000002,0.100823,-0.000078,0.002554,0.000001,0.000222,0.000006,1.006300,0.000000,0.000000,0.000000,0.010546,0.000418,0.150000,0.000000,0.000000,0.000000,-0.000222,-0.000007,0.022042,0.000000,0.000000,0.000000,-0.010546,-0.000420,-0.049177,0.022043,0.050297
9.300000,0.050000,0.000000,-0.000001,1.028620,-0.000000,0.000012,-0.000000,-0.000000,-0.000002,0.114064,-0.000107,0.003861,0.000001,0.000437,0.000016,1.008850,0.000000,0.000000,0.000000,0.014801,0.000824,0.150000,0.000000,0.000000,0.000000,-0.000437,-0.000017,0.019770,0.000000,0.000012,0.000000,-0.014801,-0.000826,-0.035936,0.019775,0.038873
9.310000,0.060000,0.000000,-0.000001,1.029761,-0.000001,0.000050,-0.000000,0.000001,-0.000002,0.125752,-0.000371,0.008393,0.000001,0.000437,0.000016,1.008850,0.000000,0.000000,0.000000,0.014801,0.000824,0.150000,0.000000,0.000000,0.000000,-0.000437,-0.000017,0.020911,-0.000001,0.000050,0.000000,-0.014800,-0.000826,-0.024248,0.020916,0.028420
9.320000,0.070000,0.000000,-0.000001,1.029899,-0.000003,0.000096,-0.000000,0.000008,-0.000002,0.134177,-0.000465,0.010343,0.000001,0.000783,0.000039,1.011850,0.000000,0.000000,0.000000,0.019790,0.001476,0.150000,0.000000,0.000000,0.000000,-0.000783,-0.000040,0.018049,-0.000003,0.000096,0.000000,-0.019782,-0.001478,-0.015823,0.018066,0.025375
9.332000,0.082000,0.000000,-0.000001,1.030966,-0.000007,0.000201,-0.000000,0.000022,-0.000002,0.141786,-0.000887,0.015043,0.000001,0.001228,0.000077,1.014850,0.000000,0.000000,0.000000,0.024753,0.002317,0.150000,0.000000,0.000000,0.000000,-0.001228,-0.000078,0.016116,-0.000007,0.000201,0.000000,-0.024731,-0.002319,-0.008214,0.016163,0.026162
9.340000,0.090000,0.000001,-0.000001,1.032384,-0.000010,0.000288,-0.000000,0.000041,-0.000001,0.150203,-0.000902,0.015624,0.000000,0.001228,0.000077,1.014850,0.000000,0.000000,0.000000,0.024753,0.002317,0.150000,0.000000,0.000000,0.000000,-0.001227,-0.000078,0.017534,-0.000010,0.000288,0.000000,-0.024712,-0.002318,0.000203,0.017577,0.024821
