t,t_rel,x,y,z,phi,theta,psi,vx,vy,vz,p,q,r,ref_x,ref_y,ref_z,ref_phi,ref_theta,ref_psi,ref_vx,ref_vy,ref_vz,ref_p,ref_q,ref_r,err_x,err_y,err_z,err_phi,err_theta,err_psi,err_vx,err_vy,err_vz,err_3d,err_vel_3d
8.563000,0.000000,-0.080232,0.013717,1.052061,-0.020458,-0.002053,0.002146,0.043653,0.143500,0.026905,-0.004942,0.042550,-0.000360,0.000050,0.000001,1.003000,0.000000,0.000000,0.000000,0.005025,0.000095,0.150000,0.000000,0.000000,0.000000,-0.080283,0.013717,0.049061,-0.020458,-0.002053,0.002146,0.038627,0.143405,-0.123095,0.095081,0.192898
8.570000,0.007000,-0.079796,0.015152,1.052330,-0.020507,-0.001628,0.002133,0.043445,0.145523,0.027686,-0.014386,0.141325,-0.001517,0.000050,0.000001,1.003000,0.000000,0.000000,0.000000,0.005025,0.000095,0.150000,0.000000,0.000000,0.000000,-0.079846,0.015152,0.049330,-0.020507,-0.001628,0.002133,0.038420,0.145428,-0.122314,0.095070,0.193871
8.580000,0.017000,-0.079546,0.014939,1.052160,-0.020141,-0.003078,0.002171,0.042492,0.141877,0.027168,-0.008350,0.061280,-0.000244,0.000050,0.000001,1.003000,0.000000,0.000000,0.000000,0.005025,0.000095,0.150000,0.000000,0.000000,0.000000,-0.079597,0.014938,0.049160,-0.020141,-0.003078,0.002171,0.037467,0.141782,-0.122832,0.094739,0.191294
8.594000,0.031000,-0.079025,0.015368,1.052088,-0.020298,-0.003305,0.002201,0.042451,0.141320,0.042236,-0.003611,0.047643,0.000241,0.000201,0.000005,1.006000,0.000000,0.000000,0.000000,0.010045,0.000379,0.150000,0.000000,0.000000,0.000000,-0.079226,0.015363,0.046088,-0.020298,-0.003305,0.002201,0.032407,0.140941,-0.107764,0.092935,0.180354
8.600000,0.037000,-0.078467,0.016400,1.052378,-0.020411,-0.003370,0.002221,0.042545,0.142601,0.057914,-0.002762,0.054854,0.000241,0.000201,0.000005,1.006000,0.000000,0.000000,0.000000,0.010045,0.000379,0.150000,0.000000,0.000000,0.000000,-0.078668,0.016395,0.046378,-0.020411,-0.003370,0.002221,0.032500,0.142222,-0.092086,0.092781,0.172520
8.610000,0.047000,-0.078041,0.017826,1.052958,-0.020439,-0.002822,0.002212,0.042153,0.144942,0.074502,-0.010194,0.149612,-0.000995,0.000201,0.000005,1.006000,0.000000,0.000000,0.000000,0.010045,0.000379,0.150000,0.000000,0.000000,0.000000,-0.078242,0.017821,0.046958,-0.020439,-0.002822,0.002212,0.032109,0.144563,-0.075498,0.092976,0.166220
8.623000,0.060000,-0.077664,0.017509,1.053113,-0.020279,-0.003842,0.002249,0.041570,0.141490,0.083170,-0.001055,0.057673,-0.000055,0.000452,0.000017,1.009000,0.000000,0.000000,0.000000,0.015051,0.000852,0.150000,0.000000,0.000000,0.000000,-0.078116,0.017492,0.044113,-0.020279,-0.003842,0.002249,0.026519,0.140638,-0.066830,0.091401,0.157951
8.633000,0.070000,-0.077141,0.018469,1.053827,-0.020326,-0.003850,0.002265,0.041530,0.142385,0.093206,0.000411,0.068069,-0.000177,0.000803,0.000040,1.012000,0.000000,0.000000,0.000000,0.020039,0.001514,0.150000,0.000000,0.000000,0.000000,-0.077944,0.018428,0.041827,-0.020326,-0.003850,0.002265,0.021492,0.140872,-0.056794,0.090357,0.153402
8.641000,0.078000,-0.076664,0.019255,1.054588,-0.020343,-0.003155,0.002256,0.041329,0.142621,0.103088,-0.001671,0.135666,-0.001246,0.000803,0.000040,1.012000,0.000000,0.000000,0.000000,0.020039,0.001514,0.150000,0.000000,0.000000,0.000000,-0.077467,0.019215,0.042588,-0.020343,-0.003155,0.002256,0.021290,0.141107,-0.046912,0.090466,0.150217
8.650000,0.087000,-0.076217,0.019969,1.055437,-0.020237,-0.003947,0.002283,0.041018,0.142542,0.111107,-0.003297,0.100635,-0.000520,0.000803,0.000040,1.012000,0.000000,0.000000,0.000000,0.020039,0.001514,0.150000,0.000000,0.000000,0.000000,-0.077020,0.019928,0.043437,-0.020237,-0.003947,0.002283,0.020980,0.141028,-0.038893,0.090642,0.147790
8.660000,0.097000,-0.075807,0.021394,1.056548,-0.020270,-0.002941,0.002257,0.040592,0.144700,0.119661,-0.012742,0.203121,-0.001829,0.001304,0.000084,1.015300,0.000000,0.000000,0.000000,0.025495,0.002459,0.150000,0.000000,0.000000,0.000000,-0.077110,0.021311,0.041248,-0.020270,-0.002941,0.002257,0.015097,0.142241,-0.030339,0.090009,0.146222
