t,t_rel,thrust,tau_phi,tau_theta,tau_psi,w0,w1,w2,w3,ud_T,ud_phi,ud_theta,ud_psi,ui_T,ui_phi,ui_theta,ui_psi,ut_T,ut_phi,ut_theta,ut_psi,torque_scale,cost_state,cost_input,solve_ok,int_err_x,int_err_y,int_err_z
9.122000,0.020000,17.851746,-0.044993,0.609843,-0.005762,627.549723,809.897237,613.137497,813.990482,1.332631,0.646941,-0.201875,-0.005762,1.804115,-0.691935,0.811718,0.000000,17.851746,-0.044993,0.609843,-0.005762,1.000000,0.497150,0.063691,1.000000,0.405099,0.346857,0.601372
9.141000,0.039000,17.519972,-0.047699,0.620901,-0.006792,618.452485,805.523151,602.405592,809.454404,1.004114,0.643562,-0.194513,-0.006792,1.800858,-0.691261,0.815414,0.000000,17.519972,-0.047699,0.620901,-0.006792,1.000000,0.459119,0.055288,1.000000,0.406953,0.346518,0.600286
9.162000,0.060000,16.769096,-0.032526,0.812631,-0.011191,563.313258,821.217971,545.777637,819.774054,0.256366,0.657963,-0.006467,-0.011191,1.797730,-0.690489,0.819098,0.000000,16.769096,-0.032526,0.812631,-0.011191,1.000000,0.401084,0.043965,1.000000,0.408789,0.346144,0.599243
9.186000,0.084000,16.163081,-0.013573,0.741270,-0.011943,559.787861,802.275878,546.345959,797.013079,-0.346620,0.676076,-0.081483,-0.011943,1.794700,-0.689649,0.822753,0.000000,16.163081,-0.013573,0.741270,-0.011943,1.000000,0.386617,0.047588,1.000000,0.410610,0.345737,0.598233
9.201000,0.099000,15.778375,-0.015599,0.722802,-0.012679,553.976471,792.675906,539.234834,787.230147,-0.728395,0.673188,-0.103571,-0.012679,1.791770,-0.688787,0.826373,0.000000,15.778375,-0.015599,0.722802,-0.012679,1.000000,0.376389,0.051713,1.000000,0.412424,0.345307,0.597257
9.222000,0.120000,15.516337,-0.002225,0.383015,-0.010014,610.381300,738.061851,602.203137,731.524737,-0.987577,0.685671,-0.446947,-0.010014,1.788914,-0.687896,0.829961,0.000000,15.516337,-0.002225,0.383015,-0.010014,1.000000,0.427609,0.076754,1.000000,0.414229,0.344853,0.596305
9.245000,0.143000,15.100542,0.024138,0.421806,-0.012236,590.795387,738.991164,586.857968,725.871339,-1.400411,0.711003,-0.411689,-0.012236,1.785953,-0.686865,0.833495,0.000000,15.100542,0.024138,0.421806,-0.012236,1.000000,0.419273,0.087128,1.000000,0.416007,0.344329,0.595318
9.262000,0.160000,15.129455,-0.003725,0.548835,-0.014273,571.081782,756.762785,558.431338,747.763936,-1.368657,0.682091,-0.288223,-0.014273,1.783112,-0.685816,0.837058,0.000000,15.129455,-0.003725,0.548835,-0.014273,1.000000,0.384891,0.073585,1.000000,0.417788,0.343811,0.594371
9.283000,0.181000,15.045572,0.000891,0.538891,-0.012786,569.723880,753.580127,559.430718,744.699483,-1.449711,0.685620,-0.301701,-0.012786,1.780283,-0.684729,0.840592,0.000000,15.045572,0.000891,0.538891,-0.012786,1.000000,0.382698,0.077143,1.000000,0.419562,0.343264,0.593428
9.303000,0.201000,14.913428,-0.001444,0.576672,-0.011346,558.460371,755.948008,548.582168,748.513558,-1.578994,0.682100,-0.267431,-0.011346,1.777422,-0.683543,0.844103,0.000000,14.913428,-0.001444,0.576672,-0.011346,1.000000,0.381631,0.078623,1.000000,0.421327,0.342665,0.592474
