metric,value
duration_s,10.009999999999998
n_state_samples,1000
n_ctrl_samples,501
trajectory_type,cone_helix
wind_x,0.0
wind_y,-4.0
wind_z,0.0
is_wind,True
rmse_x,0.05261521336201156
max_err_x,0.098132
rmse_y,0.04263430450719233
max_err_y,0.07800599999999999
rmse_z,0.046759135665322124
max_err_z,0.0654450000000002
rmse_3d,0.08229496561825639
max_err_3d,0.12368776529632992
rmse_vx,0.056319512353925794
rmse_vy,0.10635755010955734
rmse_vz,0.014941051716930772
rmse_vel_3d,0.12127263072721314
settling_time_s,
ss_err_x,0.045629445
ss_err_y,0.041680695000000004
ss_err_z,0.016441995000000008
ss_err_3d,0.06966995284663574
mean_thrust,14.807817441117765
max_thrust,17.851746
min_thrust,14.58405
thrust_dev,0.10921589221556897
rms_tau_phi,0.11600767240291186
max_tau_phi,0.441186
rms_tau_theta,0.6771846344969049
max_tau_theta,1.168381
rms_tau_psi,0.017070797424332432
max_tau_psi,0.037014
mean_motor_util,43.145166092581505
max_motor_util,56.433464666666666
mean_util_r0,35.815997730538925
mean_util_r1,51.220085266932806
mean_util_r2,35.31625080998004
mean_util_r3,50.22833056287425
sat_events,0
sat_pct,0.0
ctrl_energy,2196.79320902931
max_phi_deg,10.307911804860103
max_theta_deg,8.449351309014736
pct_within_linear,100.0
linearization_valid,True
ss_offset_x,0.008955534999999999
ss_offset_y,0.031838665
ss_offset_z,0.016441995000000008
wind_detected,False
has_mpc_debug,True
mpc_solve_ok,501
mpc_solve_fail,0
mpc_solve_pct,100.0
cost_state_mean,0.33605104990019957
cost_state_max,0.703409
cost_input_mean,0.058722321357285424
cost_input_max,0.124989
cost_total_mean,0.3947733712574851
torque_scale_mean,1.0
torque_scale_min,1.0
torque_scaled_pct,0.0
ud_thrust_rms,1.0433806909139223
ui_thrust_rms,1.102733228191737
ud_tau_phi_rms,0.5685925146472369
ui_tau_phi_rms,0.5385230117728881
ud_tau_theta_rms,0.3934081491000883
ui_tau_theta_rms,1.0149509258448377
ud_tau_psi_rms,0.017070797424332432
ui_tau_psi_rms,0.0
int_err_mag_final,0.6203630651634573
int_err_mag_max,0.8037965595068195
