t,t_rel,thrust,tau_phi,tau_theta,tau_psi,w0,w1,w2,w3,ud_T,ud_phi,ud_theta,ud_psi,ui_T,ui_phi,ui_theta,ui_psi,ut_T,ut_phi,ut_theta,ut_psi,torque_scale,cost_state,cost_input,solve_ok,int_err_x,int_err_y,int_err_z
7.363000,0.013000,17.971200,-0.047417,0.248014,0.000000,690.196642,758.123040,680.562220,766.783566,1.292913,-0.047410,0.248016,0.000000,1.963288,-0.000007,-0.000003,0.000000,17.971200,-0.047417,0.248014,0.000000,1.000000,0.047054,0.023092,1.000000,-0.000001,0.000003,0.654429
7.383000,0.033000,17.684675,-0.032626,0.180050,0.000019,693.694780,743.728549,687.126924,749.825750,1.007482,-0.032619,0.180050,0.000019,1.962193,-0.000007,-0.000000,0.000000,17.684675,-0.032626,0.180050,0.000019,1.000000,0.031874,0.013498,1.000000,-0.000000,0.000003,0.654064
7.407000,0.057000,16.929033,-0.022541,0.125803,0.000092,685.477204,721.247235,680.945278,725.651273,0.252824,-0.022534,0.125795,0.000092,1.961210,-0.000007,0.000008,0.000000,16.929033,-0.022541,0.125803,0.000092,1.000000,0.015098,0.002272,1.000000,0.000004,0.000003,0.653737
7.423000,0.073000,16.258207,0.006179,-0.008197,0.000026,690.243908,688.816704,691.506680,687.585564,-0.417083,0.006186,-0.008224,0.000026,1.960290,-0.000007,0.000027,0.000000,16.258207,0.006179,-0.008197,0.000026,1.000000,0.022385,0.001750,1.000000,0.000013,0.000004,0.653430
7.444000,0.094000,15.910065,0.012906,-0.056699,-0.000142,690.150231,674.091026,692.654388,671.311617,-0.764407,0.012915,-0.056757,-0.000142,1.959472,-0.000009,0.000058,0.000000,15.910065,0.012906,-0.056699,-0.000142,1.000000,0.028432,0.006182,1.000000,0.000029,0.000004,0.653157
7.462000,0.112000,15.564529,0.023887,-0.136401,-0.000948,694.965362,654.450107,699.106394,648.601281,-1.109131,0.023899,-0.136508,-0.000948,1.958660,-0.000011,0.000107,0.000000,15.564529,0.023887,-0.136401,-0.000948,1.000000,0.041595,0.014222,1.000000,0.000054,0.000006,0.652887
7.483000,0.133000,15.331302,0.018513,-0.145975,-0.001334,692.269881,647.131473,695.093780,642.075133,-1.341538,0.018528,-0.146149,-0.001334,1.957840,-0.000015,0.000174,0.000000,15.331302,0.018513,-0.145975,-0.001334,1.000000,0.044076,0.020168,1.000000,0.000087,0.000007,0.652613
7.503000,0.153000,15.178476,0.010429,-0.127816,-0.001423,686.913825,645.998849,688.065263,642.616776,-1.493533,0.010448,-0.128078,-0.001423,1.957009,-0.000019,0.000261,0.000000,15.178476,0.010429,-0.127816,-0.001423,1.000000,0.043030,0.023958,1.000000,0.000131,0.000010,0.652336
7.522000,0.172000,15.154315,0.000805,-0.085525,-0.001149,680.325861,651.645251,679.706094,650.571818,-1.516903,0.000831,-0.085898,-0.001149,1.956217,-0.000026,0.000373,0.000000,15.154315,0.000805,-0.085525,-0.001149,1.000000,0.038419,0.023748,1.000000,0.000186,0.000013,0.652072
7.546000,0.196000,15.046504,-0.006896,-0.036186,-0.000644,670.394615,656.701954,668.513669,657.662875,-1.623894,-0.006860,-0.036698,-0.000644,1.955398,-0.000036,0.000512,0.000000,15.046504,-0.006896,-0.036186,-0.000644,1.000000,0.038034,0.026510,1.000000,0.000256,0.000018,0.651799
