metric,value
duration_s,10.002
n_state_samples,1000
n_ctrl_samples,500
trajectory_type,cone_helix
wind_x,0.0
wind_y,0.0
wind_z,0.0
is_wind,False
rmse_x,0.0397722638788473
max_err_x,0.09255726669751818
rmse_y,0.037870583858411626
max_err_y,0.08210505284499772
rmse_z,0.053960472503305074
max_err_z,1.5182378968860615
rmse_3d,0.07699186118419006
max_err_3d,1.5221607070072025
rmse_vx,0.060564156948313484
rmse_vy,0.03024478390633148
rmse_vz,0.04001314893448792
rmse_vel_3d,0.07863724402631458
settling_time_s,
ss_err_x,0.051458851874514065
ss_err_y,0.04420868612354883
ss_err_z,0.02951180514921263
ss_err_3d,0.08592550021142646
mean_thrust,14.960738259592608
max_thrust,17.971200343821625
min_thrust,14.742076425183097
thrust_dev,0.24573825959260784
rms_tau_phi,0.11215515217448625
max_tau_phi,0.331601427244141
rms_tau_theta,0.11824680549740568
max_tau_theta,0.32093519249015284
rms_tau_psi,0.0018010497952782075
max_tau_psi,0.007420017865493785
mean_motor_util,44.06827131643283
max_motor_util,51.118904409244806
mean_util_r0,44.096581995390295
mean_util_r1,44.08622035048517
mean_util_r2,44.02712218333891
mean_util_r3,44.063160736516934
sat_events,0
sat_pct,0.0
ctrl_energy,2233.8597431330945
max_phi_deg,8.450459250548251
max_theta_deg,8.088040611927688
pct_within_linear,100.0
linearization_valid,True
ss_offset_x,0.025998459158049627
ss_offset_y,0.031054097153258034
ss_offset_z,0.02951180514921263
wind_detected,False
has_mpc_debug,True
mpc_solve_ok,500
mpc_solve_fail,0
mpc_solve_pct,100.0
cost_state_mean,0.18948625284285955
cost_state_max,0.532084123716726
cost_input_mean,0.020433761527549974
cost_input_max,0.0370318269204438
cost_total_mean,0.2099200143704095
torque_scale_mean,1.0
torque_scale_min,1.0
torque_scaled_pct,0.0
ud_thrust_rms,1.363628577396669
ui_thrust_rms,1.5900826380825217
ud_tau_phi_rms,0.10957499838633544
ui_tau_phi_rms,0.06912566251776671
ud_tau_theta_rms,0.0798711557101998
ui_tau_theta_rms,0.0717985206612364
ud_tau_psi_rms,0.0018010497952782075
ui_tau_psi_rms,0.0
int_err_mag_final,0.40611334464985527
int_err_mag_max,0.6544292081589443
