t,t_rel,x,y,z,phi,theta,psi,vx,vy,vz,p,q,r,ref_x,ref_y,ref_z,ref_phi,ref_theta,ref_psi,ref_vx,ref_vy,ref_vz,ref_p,ref_q,ref_r,err_x,err_y,err_z,err_phi,err_theta,err_psi,err_vx,err_vy,err_vz,err_3d,err_vel_3d
9.271000,0.000000,0.000000,-0.000001,1.026182,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.062146,0.000000,0.000000,0.000000,0.000036,0.000000,1.002550,0.000000,0.000000,0.000000,0.004272,0.000068,0.150000,0.000000,0.000000,0.000000,-0.000036,-0.000001,0.023632,0.000000,0.000000,0.000000,-0.004272,-0.000068,-0.087854,0.023632,0.087958
9.280000,0.009000,0.000000,-0.000001,1.026305,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.062097,0.000000,0.000000,0.000000,0.000036,0.000000,1.002550,0.000000,0.000000,0.000000,0.004272,0.000068,0.150000,0.000000,0.000000,0.000000,-0.000036,-0.000001,0.023755,0.000000,0.000000,0.000000,-0.004272,-0.000068,-0.087903,0.023755,0.088007
9.290000,0.019000,0.000000,-0.000001,1.026926,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.079263,-0.000048,0.002165,0.000000,0.000036,0.000000,1.002550,0.000000,0.000000,0.000000,0.004272,0.000068,0.150000,0.000000,0.000000,0.000000,-0.000036,-0.000001,0.024376,0.000000,0.000000,0.000000,-0.004272,-0.000068,-0.070737,0.024376,0.070866
9.300000,0.029000,0.000000,-0.000001,1.026706,0.000000,-0.000010,-0.000000,-0.000001,0.000000,0.093485,-0.000050,0.002278,0.000000,0.000181,0.000004,1.005700,0.000000,0.000000,0.000000,0.009543,0.000342,0.150000,0.000000,0.000000,0.000000,-0.000181,-0.000005,0.021006,0.000000,-0.000010,0.000000,-0.009544,-0.000342,-0.056515,0.021007,0.057316
9.310000,0.039000,0.000000,-0.000001,1.026955,-0.000000,-0.000002,-0.000000,-0.000002,0.000000,0.106192,-0.000048,0.002386,-0.000000,0.000181,0.000004,1.005700,0.000000,0.000000,0.000000,0.009543,0.000342,0.150000,0.000000,0.000000,0.000000,-0.000181,-0.000005,0.021255,0.000000,-0.000002,0.000000,-0.009545,-0.000342,-0.043808,0.021256,0.044837
9.320000,0.049000,0.000000,-0.000001,1.027340,-0.000001,0.000020,-0.000000,-0.000001,0.000000,0.118916,-0.000077,0.003679,-0.000000,0.000408,0.000015,1.008550,0.000000,0.000000,0.000000,0.014301,0.000769,0.150000,0.000000,0.000000,0.000000,-0.000408,-0.000016,0.018790,-0.000001,0.000020,0.000000,-0.014302,-0.000769,-0.031084,0.018794,0.034225
9.330000,0.059000,0.000000,-0.000001,1.027768,-0.000002,0.000067,-0.000000,0.000005,0.000000,0.128140,-0.000326,0.008505,-0.000000,0.000408,0.000015,1.008550,0.000000,0.000000,0.000000,0.014301,0.000769,0.150000,0.000000,0.000000,0.000000,-0.000408,-0.000016,0.019218,-0.000002,0.000067,0.000000,-0.014296,-0.000769,-0.021860,0.019222,0.026131
9.340000,0.069000,0.000000,-0.000001,1.029049,-0.000005,0.000152,-0.000000,0.000012,0.000001,0.139590,-0.000548,0.012581,0.000000,0.000763,0.000037,1.011700,0.000000,0.000000,0.000000,0.019541,0.001439,0.150000,0.000000,0.000000,0.000000,-0.000763,-0.000038,0.017349,-0.000005,0.000152,0.000000,-0.019529,-0.001438,-0.010410,0.017366,0.022177
9.350000,0.079000,0.000001,-0.000001,1.029182,-0.000007,0.000230,-0.000000,0.000032,0.000001,0.144625,-0.000728,0.013605,-0.000000,0.000763,0.000037,1.011700,0.000000,0.000000,0.000000,0.019541,0.001439,0.150000,0.000000,0.000000,0.000000,-0.000762,-0.000038,0.017482,-0.000007,0.000230,0.000000,-0.019509,-0.001438,-0.005375,0.017499,0.020287
9.360000,0.089000,0.000001,-0.000001,1.030628,-0.000014,0.000366,-0.000000,0.000057,0.000002,0.153349,-0.001128,0.017972,-0.000000,0.001179,0.000072,1.014550,0.000000,0.000000,0.000000,0.024258,0.002224,0.150000,0.000000,0.000000,0.000000,-0.001178,-0.000073,0.016078,-0.000014,0.000366,0.000000,-0.024201,-0.002222,0.003349,0.016121,0.024532
