t,t_rel,thrust,tau_phi,tau_theta,tau_psi,w0,w1,w2,w3,ud_T,ud_phi,ud_theta,ud_psi,ui_T,ui_phi,ui_theta,ui_psi,ut_T,ut_phi,ut_theta,ut_psi,torque_scale,cost_state,cost_input,solve_ok,int_err_x,int_err_y,int_err_z
6.947000,-0.004000,14.777819,-0.022621,0.346633,-0.007337,600.624426,714.665099,589.607876,713.830223,-1.731911,0.520420,-0.251781,-0.007337,1.794729,-0.543041,0.598414,0.000000,14.777819,-0.022621,0.346633,-0.007337,1.000000,0.256331,0.063424,1.000000,0.298768,0.272004,0.598243
6.962000,0.011000,14.785223,-0.037194,0.498127,-0.009482,574.379351,737.637097,557.448537,738.094882,-1.721567,0.506399,-0.103253,-0.009482,1.791790,-0.543593,0.601380,0.000000,14.785223,-0.037194,0.498127,-0.009482,1.000000,0.241323,0.056357,1.000000,0.300244,0.272290,0.597263
6.982000,0.031000,14.777196,-0.024086,0.357902,-0.006658,598.402018,716.039185,587.533538,715.975784,-1.726637,0.520020,-0.246406,-0.006658,1.788832,-0.544106,0.604308,0.000000,14.777196,-0.024086,0.357902,-0.006658,1.000000,0.251150,0.062931,1.000000,0.301706,0.272549,0.596277
7.005000,0.054000,14.759048,-0.025233,0.396878,-0.006321,590.584161,721.538320,579.563296,721.935134,-1.741802,0.519319,-0.210336,-0.006321,1.785850,-0.544551,0.607214,0.000000,14.759048,-0.025233,0.396878,-0.006321,1.000000,0.248413,0.061736,1.000000,0.303159,0.272775,0.595283
7.022000,0.071000,14.787117,-0.066981,0.602158,-0.008325,556.933641,750.218109,532.720455,756.955283,-1.710756,0.478002,-0.007961,-0.008325,1.782873,-0.544983,0.610119,0.000000,14.787117,-0.066981,0.602158,-0.008325,1.000000,0.230617,0.052129,1.000000,0.304602,0.273003,0.594291
7.041000,0.090000,14.787017,-0.059479,0.585787,-0.007584,558.987042,748.203329,537.456290,754.074916,-1.707867,0.485908,-0.027204,-0.007584,1.779884,-0.545386,0.612991,0.000000,14.787017,-0.059479,0.585787,-0.007584,1.000000,0.228943,0.052858,1.000000,0.306034,0.273211,0.593295
7.065000,0.114000,14.783000,-0.064728,0.591041,-0.008250,558.754971,748.653240,535.275315,755.039456,-1.708877,0.481004,-0.024798,-0.008250,1.776877,-0.545732,0.615840,0.000000,14.783000,-0.064728,0.591041,-0.008250,1.000000,0.224873,0.052407,1.000000,0.307453,0.273392,0.592292
7.082000,0.131000,14.781242,-0.055691,0.564885,-0.008572,562.965836,745.633416,541.720824,750.150842,-1.707622,0.490373,-0.053790,-0.008572,1.773864,-0.546063,0.618675,0.000000,14.781242,-0.055691,0.564885,-0.008572,1.000000,0.225464,0.053503,1.000000,0.308867,0.273564,0.591288
7.102000,0.151000,14.775881,-0.030426,0.486000,-0.009703,575.783465,736.316682,560.396231,735.341729,-1.709957,0.515915,-0.135491,-0.009703,1.770838,-0.546341,0.621491,0.000000,14.775881,-0.030426,0.486000,-0.009703,1.000000,0.229913,0.057702,1.000000,0.310268,0.273713,0.590279
7.122000,0.171000,14.757469,-0.005872,0.399719,-0.010075,589.195136,725.137072,579.794592,719.145363,-1.725318,0.540695,-0.224556,-0.010075,1.767787,-0.546567,0.624275,0.000000,14.757469,-0.005872,0.399719,-0.010075,1.000000,0.238685,0.064055,1.000000,0.311660,0.273829,0.589262
