t,t_rel,x,y,z,phi,theta,psi,vx,vy,vz,p,q,r,ref_x,ref_y,ref_z,ref_phi,ref_theta,ref_psi,ref_vx,ref_vy,ref_vz,ref_p,ref_q,ref_r,err_x,err_y,err_z,err_phi,err_theta,err_psi,err_vx,err_vy,err_vz,err_3d,err_vel_3d
6.951000,0.000000,-0.073786,-0.014297,1.048992,-0.019864,0.000750,0.001641,0.023689,0.113832,0.030618,-0.014366,0.062272,-0.000042,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000074,0.000074,0.000000,0.000000,0.000000,0.000000,-0.073786,-0.014297,0.048992,-0.019864,0.000750,0.001641,0.023614,0.113758,0.030618,0.089717,0.120149
6.960000,0.009000,-0.073458,-0.013565,1.049161,-0.019932,0.000713,0.001651,0.024055,0.114603,0.030613,-0.008559,0.048339,-0.000216,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000074,0.000074,0.000000,0.000000,0.000000,0.000000,-0.073458,-0.013565,0.049161,-0.019932,0.000713,0.001651,0.023981,0.114528,0.030613,0.089425,0.120950
6.970000,0.019000,-0.073148,-0.012970,1.049290,-0.020029,0.001194,0.001643,0.024336,0.114851,0.030542,-0.019261,0.119500,-0.001185,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000074,0.000074,0.000000,0.000000,0.000000,0.000000,-0.073149,-0.012971,0.049290,-0.020029,0.001194,0.001643,0.024262,0.114776,0.030542,0.089154,0.121223
6.980000,0.029000,-0.072852,-0.012432,1.049405,-0.019863,0.000253,0.001663,0.024528,0.114884,0.030430,-0.007387,0.054614,-0.000645,0.000004,0.000004,1.000000,0.000000,0.000000,0.000000,0.000297,0.000297,0.000000,0.000000,0.000000,0.000000,-0.072856,-0.012436,0.049405,-0.019863,0.000253,0.001663,0.024231,0.114587,0.030430,0.088901,0.121010
6.990000,0.039000,-0.072606,-0.011283,1.049709,-0.019936,0.000799,0.001645,0.024550,0.116840,0.030826,-0.014317,0.105743,-0.001325,0.000004,0.000004,1.000000,0.000000,0.000000,0.000000,0.000297,0.000297,0.000000,0.000000,0.000000,0.000000,-0.072610,-0.011287,0.049709,-0.019936,0.000799,0.001645,0.024253,0.116544,0.030826,0.088717,0.122967
7.000000,0.049000,-0.072467,-0.011628,1.049587,-0.019519,-0.000092,0.001662,0.024139,0.113642,0.029972,-0.001536,0.034248,-0.000556,0.000013,0.000013,1.000000,0.000000,0.000000,0.000000,0.000669,0.000665,0.000000,0.000000,0.000000,0.000000,-0.072481,-0.011641,0.049587,-0.019519,-0.000092,0.001662,0.023471,0.112977,0.029972,0.088588,0.119218
7.010000,0.059000,-0.072141,-0.011395,1.049607,-0.019502,-0.000494,0.001678,0.024352,0.112896,0.029432,0.002074,0.026825,-0.000596,0.000013,0.000013,1.000000,0.000000,0.000000,0.000000,0.000669,0.000665,0.000000,0.000000,0.000000,0.000000,-0.072154,-0.011409,0.049607,-0.019502,-0.000494,0.001678,0.023683,0.112231,0.029432,0.088302,0.118418
7.020000,0.069000,-0.071897,-0.010266,1.049901,-0.019481,-0.000226,0.001667,0.024300,0.114815,0.029707,-0.005185,0.083522,-0.001243,0.000032,0.000032,1.000000,0.000000,0.000000,0.000000,0.001187,0.001177,0.000000,0.000000,0.000000,0.000000,-0.071929,-0.010298,0.049901,-0.019481,-0.000226,0.001667,0.023113,0.113638,0.029707,0.088147,0.119709
7.030000,0.079000,-0.071571,-0.010371,1.049819,-0.019220,-0.001399,0.001691,0.024427,0.112790,0.029063,-0.004816,0.040313,-0.000924,0.000032,0.000032,1.000000,0.000000,0.000000,0.000000,0.001187,0.001177,0.000000,0.000000,0.000000,0.000000,-0.071603,-0.010403,0.049819,-0.019220,-0.001399,0.001691,0.023240,0.111613,0.029063,0.087847,0.117653
7.040000,0.089000,-0.071327,-0.009243,1.050109,-0.019268,-0.000996,0.001674,0.024286,0.114684,0.029526,-0.024087,0.126336,-0.001775,0.000064,0.000063,1.000000,0.000000,0.000000,0.000000,0.001888,0.001863,0.000000,0.000000,0.000000,0.000000,-0.071390,-0.009306,0.050109,-0.019268,-0.000996,0.001674,0.022397,0.112821,0.029526,0.087716,0.118752
