metric,value
duration_s,10.010000000000002
n_state_samples,1002
n_ctrl_samples,500
trajectory_type,figure8_3d
wind_x,0.0
wind_y,-4.0
wind_z,0.0
is_wind,True
rmse_x,0.059668226465573
max_err_x,0.11416799999999999
rmse_y,0.06512335217512187
max_err_y,0.12031499999999999
rmse_z,0.04426457532662329
max_err_z,0.06157100000000004
rmse_3d,0.09879625942776459
max_err_3d,0.14531416629496244
rmse_vx,0.07332461291507585
rmse_vy,0.14335542496382855
rmse_vz,0.009581218632253514
rmse_vel_3d,0.16130429776104738
settling_time_s,
ss_err_x,0.03748866169154228
ss_err_y,0.05919789054726369
ss_err_z,0.025458149253731348
ss_err_3d,0.0767759302304464
mean_thrust,14.807328138
max_thrust,15.014675
min_thrust,14.561737
thrust_dev,0.10796395800000008
rms_tau_phi,0.09282331787636121
max_tau_phi,0.288693
rms_tau_theta,0.6676232169586226
max_tau_theta,1.156511
rms_tau_psi,0.016087337203092376
max_tau_psi,0.03735
mean_motor_util,43.165903753433334
max_motor_util,57.16038506666666
mean_util_r0,35.864841657199996
mean_util_r1,51.15744771626666
mean_util_r2,35.4588936872
mean_util_r3,50.18243195306666
sat_events,0
sat_pct,0.0
ctrl_energy,2194.146218474393
max_phi_deg,10.772465985152172
max_theta_deg,5.219416330523747
pct_within_linear,100.0
linearization_valid,True
ss_offset_x,-0.009376721393034824
ss_offset_y,-0.05919789054726369
ss_offset_z,0.025458149253731348
wind_detected,True
has_mpc_debug,True
mpc_solve_ok,500
mpc_solve_fail,0
mpc_solve_pct,100.0
cost_state_mean,0.49509609000000004
cost_state_max,1.100205
cost_input_mean,0.056288262000000006
cost_input_max,0.119524
cost_total_mean,0.551384352
torque_scale_mean,1.0
torque_scale_min,1.0
torque_scaled_pct,0.0
ud_thrust_rms,1.0576691501298117
ui_thrust_rms,1.1310351457344348
ud_tau_phi_rms,0.5509306975184048
ui_tau_phi_rms,0.5134219650392453
ud_tau_theta_rms,0.38370909259176017
ui_tau_theta_rms,0.9911462708868677
ud_tau_psi_rms,0.016087337203092376
ui_tau_psi_rms,0.0
int_err_mag_final,0.667340017577996
int_err_mag_max,0.794222050643899
