t,t_rel,thrust,tau_phi,tau_theta,tau_psi,w0,w1,w2,w3,ud_T,ud_phi,ud_theta,ud_psi,ui_T,ui_phi,ui_theta,ui_psi,ut_T,ut_phi,ut_theta,ut_psi,torque_scale,cost_state,cost_input,solve_ok,int_err_x,int_err_y,int_err_z
8.124000,0.014000,17.210329,0.000007,-0.000006,-0.000001,709.443681,709.443290,709.444470,709.441147,0.487704,0.000075,-0.000102,-0.000001,2.007625,-0.000068,0.000096,0.000000,17.210329,0.000007,-0.000006,-0.000001,1.000000,0.046750,0.002379,1.000000,0.000048,0.000034,0.669208
8.144000,0.034000,16.989389,0.000019,0.000253,-0.000002,704.832930,704.917596,704.835541,704.912520,0.267930,0.000080,0.000158,-0.000002,2.006459,-0.000061,0.000095,0.000000,16.989389,0.000019,0.000253,-0.000002,1.000000,0.032979,0.000718,1.000000,0.000048,0.000031,0.668820
8.164000,0.054000,16.127107,-0.000008,0.000854,-0.000002,686.615617,686.893876,686.612638,686.894150,-0.593273,0.000046,0.000760,-0.000002,2.005381,-0.000054,0.000094,0.000000,16.127107,-0.000008,0.000854,-0.000002,1.000000,0.010385,0.003520,1.000000,0.000047,0.000027,0.668460
8.184000,0.074000,16.065128,-0.000048,0.001956,-0.000002,685.117623,685.749823,685.106593,685.758274,-0.654349,-0.000001,0.001862,-0.000002,2.004477,-0.000048,0.000094,0.000000,16.065128,-0.000048,0.001956,-0.000002,1.000000,0.006938,0.004282,1.000000,0.000047,0.000024,0.668159
8.202000,0.092000,15.793383,-0.000152,0.003330,-0.000001,679.075920,680.147229,679.043858,680.177360,-0.925291,-0.000111,0.003237,-0.000001,2.003675,-0.000041,0.000094,0.000000,15.793383,-0.000152,0.003330,-0.000001,1.000000,0.003827,0.008563,1.000000,0.000047,0.000020,0.667892
8.222000,0.112000,15.571849,-0.000272,0.004502,-0.000001,674.105478,675.550225,674.048796,675.605862,-1.146103,-0.000238,0.004407,-0.000001,2.002951,-0.000034,0.000095,0.000000,15.571849,-0.000272,0.004502,-0.000001,1.000000,0.003058,0.013137,1.000000,0.000047,0.000017,0.667650
8.242000,0.132000,15.397212,-0.000441,0.005662,-0.000000,670.129299,671.936050,670.037678,672.027386,-1.320076,-0.000413,0.005564,-0.000000,2.002288,-0.000028,0.000098,0.000000,15.397212,-0.000441,0.005662,-0.000000,1.000000,0.003556,0.017429,1.000000,0.000049,0.000014,0.667429
8.262000,0.152000,15.227324,-0.000513,0.005090,0.000001,666.515947,668.124665,666.409172,668.232130,-1.489299,-0.000492,0.004986,0.000001,2.001624,-0.000022,0.000103,0.000000,15.227324,-0.000513,0.005090,0.000001,1.000000,0.005134,0.022183,1.000000,0.000052,0.000011,0.667208
8.283000,0.173000,15.069889,-0.000618,0.005010,0.000001,663.077627,664.645644,662.948333,664.775584,-1.646055,-0.000602,0.004897,0.000001,2.000943,-0.000016,0.000112,0.000000,15.069889,-0.000618,0.005010,0.000001,1.000000,0.007246,0.027097,1.000000,0.000056,0.000008,0.666981
8.305000,0.195000,15.148155,-0.001579,0.009841,0.000001,664.084291,667.079889,663.753541,667.409956,-1.567298,-0.001567,0.009710,0.000001,2.000453,-0.000012,0.000131,0.000000,15.148155,-0.001579,0.009841,0.000001,1.000000,0.006062,0.024574,1.000000,0.000065,0.000006,0.666818
8.324000,0.214000,15.101223,-0.000854,0.005785,0.000001,663.661765,665.440964,663.482951,665.620052,-1.613672,-0.000846,0.005636,0.000001,1.999895,-0.000008,0.000149,0.000000,15.101223,-0.000854,0.005785,0.000001,1.000000,0.006786,0.026043,1.000000,0.000074,0.000004,0.666632
8.342000,0.232000,14.986406,-0.000788,0.004347,0.000000,661.364942,662.676352,661.199037,662.842005,-1.727900,-0.000784,0.004174,0.000000,1.999307,-0.000005,0.000173,0.000000,14.986406,-0.000788,0.004347,0.000000,1.000000,0.008794,0.029858,1.000000,0.000087,0.000002,0.666436
8.364000,0.254000,14.932883,-0.001139,0.004866,-0.000000,660.129233,661.545720,659.888746,661.785226,-1.780831,-0.001136,0.004661,-0.000000,1.998714,-0.000003,0.000205,0.000000,14.932883,-0.001139,0.004866,-0.000000,1.000000,0.009925,0.031716,1.000000,0.000103,0.000002,0.666238
8.386000,0.276000,14.986366,-0.001061,0.004039,-0.000001,661.445402,662.594839,661.221442,662.817279,-1.726812,-0.001058,0.003793,-0.000001,1.998177,-0.000004,0.000246,0.000000,14.986366,-0.001061,0.004039,-0.000001,1.000000,0.009212,0.029820,1.000000,0.000123,0.000002,0.666059
8.405000,0.295000,15.001567,-0.002724,0.009044,-0.000001,661.105502,663.604542,660.530756,664.174967,-1.711184,-0.002714,0.008735,-0.000001,1.997752,-0.000010,0.000309,0.000000,15.001567,-0.002724,0.009044,-0.000001,1.000000,0.009708,0.029290,1.000000,0.000155,0.000005,0.665917
8.425000,0.315000,14.920238,-0.000790,0.002636,-0.000003,660.193494,660.924593,660.024395,661.088519,-1.791975,-0.000775,0.002264,-0.000003,1.997213,-0.000015,0.000372,0.000000,14.920238,-0.000790,0.002636,-0.000003,1.000000,0.011083,0.032112,1.000000,0.000186,0.000008,0.665738
8.442000,0.332000,14.881384,-0.001156,0.002951,-0.000026,659.325221,660.088320,659.062608,660.312062,-1.830270,-0.001131,0.002504,-0.000026,1.996654,-0.000025,0.000447,0.000000,14.881384,-0.001156,0.002951,-0.000026,1.000000,0.012177,0.033500,1.000000,0.000223,0.000012,0.665551
8.467000,0.357000,14.805547,-0.000295,0.000879,-0.000041,657.909584,658.148970,657.818221,658.179809,-1.905494,-0.000257,0.000343,-0.000041,1.996041,-0.000038,0.000535,0.000000,14.805547,-0.000295,0.000879,-0.000041,1.000000,0.014164,0.036309,1.000000,0.000268,0.000019,0.665347
8.485000,0.375000,14.850915,-0.000528,0.001166,-0.000038,658.891773,659.179779,658.753143,659.261399,-1.859535,-0.000471,0.000526,-0.000038,1.995450,-0.000057,0.000640,0.000000,14.850915,-0.000528,0.001166,-0.000038,1.000000,0.013747,0.034579,1.000000,0.000320,0.000028,0.665150
8.505000,0.395000,14.923732,-0.001349,0.002687,-0.000036,660.332423,660.964247,660.022709,661.220903,-1.786165,-0.001268,0.001925,-0.000036,1.994897,-0.000081,0.000762,0.000000,14.923732,-0.001349,0.002687,-0.000036,1.000000,0.012929,0.031904,1.000000,0.000381,0.000041,0.664966
8.522000,0.412000,14.933675,-0.001285,0.002631,-0.000024,660.551211,661.177016,660.263361,661.428885,-1.775678,-0.001173,0.001729,-0.000024,1.994353,-0.000112,0.000902,0.000000,14.933675,-0.001285,0.002631,-0.000024,1.000000,0.013418,0.031531,1.000000,0.000451,0.000056,0.664784
8.542000,0.432000,14.859573,-0.001049,0.002459,-0.000010,658.908281,659.526176,658.679634,659.739857,-1.849191,-0.000898,0.001396,-0.000010,1.993764,-0.000150,0.001062,0.000000,14.859573,-0.001049,0.002459,-0.000010,1.000000,0.015553,0.034195,1.000000,0.000531,0.000075,0.664588
8.562000,0.452000,14.921668,-0.002107,0.004167,-0.000006,660.104079,661.079311,659.655027,661.518136,-1.786551,-0.001909,0.002922,-0.000006,1.993219,-0.000198,0.001245,0.000000,14.921668,-0.002107,0.004167,-0.000006,1.000000,0.015217,0.031919,1.000000,0.000623,0.000099,0.664406
8.584000,0.474000,14.936974,-0.001140,0.003373,0.000002,660.473420,661.381151,660.234614,661.622860,-1.770713,-0.000885,0.001922,0.000002,1.992687,-0.000255,0.001451,0.000000,14.936974,-0.001140,0.003373,0.000002,1.000000,0.015897,0.031355,1.000000,0.000725,0.000127,0.664229
8.601000,0.491000,14.944493,-0.001737,0.003908,0.000004,660.610970,661.574649,660.247769,661.943576,-1.762676,-0.001414,0.002226,0.000004,1.992170,-0.000323,0.001682,0.000000,14.944493,-0.001737,0.003908,0.000004,1.000000,0.016819,0.031071,1.000000,0.000841,0.000162,0.664057
8.622000,0.512000,14.956396,-0.001118,0.002355,0.000002,661.074253,661.639677,660.840123,661.876670,-1.750276,-0.000714,0.000416,0.000002,1.991672,-0.000404,0.001939,0.000000,14.956396,-0.001118,0.002355,0.000002,1.000000,0.017821,0.030635,1.000000,0.000970,0.000202,0.663891
8.644000,0.534000,14.882182,-0.000349,0.000792,0.000000,659.616758,659.813045,659.543048,659.886886,-1.823952,0.000149,-0.001431,0.000000,1.991134,-0.000498,0.002223,0.000000,14.882182,-0.000349,0.000792,0.000000,1.000000,0.020427,0.033268,1.000000,0.001112,0.000249,0.663711
8.661000,0.551000,14.913347,0.000898,0.000421,-0.000002,660.239512,660.572383,660.427614,660.381821,-1.792277,0.001505,-0.002115,-0.000002,1.990624,-0.000607,0.002536,0.000000,14.913347,0.000898,0.000421,-0.000002,1.000000,0.021205,0.032123,1.000000,0.001268,0.000304,0.663541
8.682000,0.572000,14.932074,0.000364,0.000628,-0.000001,660.675031,660.965623,660.750782,660.887971,-1.773054,0.001097,-0.002252,-0.000001,1.990129,-0.000733,0.002881,0.000000,14.932074,0.000364,0.000628,-0.000001,1.000000,0.022357,0.031438,1.000000,0.001440,0.000367,0.663376
8.703000,0.593000,14.951780,0.000730,0.000452,-0.000025,661.110738,661.419098,661.246948,661.246151,-1.752876,0.001608,-0.002805,-0.000025,1.989655,-0.000878,0.003257,0.000000,14.951780,0.000730,0.000452,-0.000025,1.000000,0.023623,0.030727,1.000000,0.001629,0.000439,0.663218
8.721000,0.611000,14.949371,0.000485,0.000304,-0.000035,661.112181,661.318791,661.189465,661.189431,-1.754820,0.001527,-0.003364,-0.000035,1.989191,-0.001042,0.003667,0.000000,14.949371,0.000485,0.000304,-0.000035,1.000000,0.025361,0.030795,1.000000,0.001834,0.000521,0.663064
8.745000,0.635000,14.942107,0.000686,0.000143,-0.000031,660.956032,661.150209,661.078946,660.982110,-1.761627,0.001914,-0.003969,-0.000031,1.988734,-0.001228,0.004112,0.000000,14.942107,0.000686,0.000143,-0.000031,1.000000,0.027308,0.031035,1.000000,0.002056,0.000614,0.662911
8.762000,0.652000,14.936149,0.001042,0.000025,-0.000019,660.802692,661.031553,661.008635,660.797114,-1.767136,0.002480,-0.004566,-0.000019,1.988284,-0.001438,0.004591,0.000000,14.936149,0.001042,0.000025,-0.000019,1.000000,0.029349,0.031230,1.000000,0.002296,0.000719,0.662761
8.787000,0.677000,14.855844,0.003771,-0.002423,-0.000005,659.147747,659.117845,659.940391,658.316631,-1.846942,0.005441,-0.007525,-0.000005,1.987786,-0.001670,0.005103,0.000000,14.855844,0.003771,-0.002423,-0.000005,1.000000,0.032596,0.034121,1.000000,0.002551,0.000835,0.662595
8.804000,0.694000,14.801976,0.002625,-0.003278,0.000004,658.215813,657.650517,658.773906,657.097829,-1.900269,0.004554,-0.008927,0.000004,1.987246,-0.001929,0.005649,0.000000,14.801976,0.002625,-0.003278,0.000004,1.000000,0.035607,0.036120,1.000000,0.002825,0.000965,0.662415
8.824000,0.714000,14.954935,0.002966,-0.000151,0.000013,661.034067,661.606925,661.668028,660.992722,-1.746868,0.005185,-0.006391,0.000013,1.986803,-0.002219,0.006240,0.000000,14.954935,0.002966,-0.000151,0.000013,1.000000,0.035376,0.030522,1.000000,0.003120,0.001109,0.662268
8.847000,0.737000,15.052405,-0.008085,0.013386,0.000018,662.048424,664.889690,660.358220,666.594551,-1.649155,-0.005502,0.006456,0.000018,1.986561,-0.002583,0.006931,0.000000,15.052405,-0.008085,0.013386,0.000018,1.000000,0.041095,0.027204,1.000000,0.003465,0.001291,0.662187
8.861000,0.751000,14.968466,0.009375,-0.003119,0.000007,661.165475,662.077978,663.142473,660.108787,-1.732684,0.012312,-0.010720,0.000007,1.986150,-0.002937,0.007601,0.000000,14.968466,0.009375,-0.003119,0.000007,1.000000,0.040487,0.030049,1.000000,0.003801,0.001468,0.662050
8.882000,0.772000,14.890753,0.001011,-0.001758,-0.000040,660.111989,659.727650,660.296874,659.482751,-1.809946,0.004336,-0.010066,-0.000040,1.985699,-0.003324,0.008308,0.000000,14.890753,0.001011,-0.001758,-0.000040,1.000000,0.043737,0.032771,1.000000,0.004154,0.001662,0.661900
8.903000,0.793000,14.925515,0.013366,-0.007214,-0.000292,660.596855,660.968184,663.203997,657.919072,-1.774765,0.017114,-0.016269,-0.000292,1.985280,-0.003748,0.009055,0.000000,14.925515,0.013366,-0.007214,-0.000292,1.000000,0.046347,0.031554,1.000000,0.004527,0.001874,0.661760
8.922000,0.812000,14.852447,0.009029,-0.008104,-0.000332,659.601411,658.754873,661.272045,656.585205,-1.847369,0.013240,-0.017946,-0.000332,1.984816,-0.004211,0.009842,0.000000,14.852447,0.009029,-0.008104,-0.000332,1.000000,0.050209,0.034177,1.000000,0.004921,0.002105,0.661605
8.941000,0.831000,14.966756,0.011224,-0.004141,-0.000477,661.276996,662.247952,663.302400,659.514079,-1.732671,0.015939,-0.014815,-0.000477,1.984427,-0.004716,0.010674,0.000000,14.966756,0.011224,-0.004141,-0.000477,1.000000,0.051598,0.030069,1.000000,0.005337,0.002358,0.661476
8.961000,0.851000,14.901240,0.004615,-0.004766,-0.000375,660.594368,659.957070,661.303002,658.691643,-1.797765,0.009876,-0.016310,-0.000375,1.984005,-0.005262,0.011544,0.000000,14.901240,0.004615,-0.004766,-0.000375,1.000000,0.055057,0.032356,1.000000,0.005772,0.002631,0.661335
8.985000,0.875000,14.965310,0.008118,0.002030,-0.000382,660.488283,662.900359,661.930284,660.897938,-1.733327,0.013974,-0.010430,-0.000382,1.983637,-0.005856,0.012460,0.000000,14.965310,0.008118,0.002030,-0.000382,1.000000,0.057751,0.030075,1.000000,0.006230,0.002928,0.661212
9.002000,0.892000,14.974243,0.004325,0.003862,-0.000195,660.708213,662.937802,661.482672,661.878556,-1.724041,0.010823,-0.009556,-0.000195,1.983284,-0.006498,0.013418,0.000000,14.974243,0.004325,0.003862,-0.000195,1.000000,0.060852,0.029744,1.000000,0.006709,0.003249,0.661095
9.026000,0.916000,14.859894,0.013379,-0.005963,0.000043,658.809966,659.599767,661.661892,656.802208,-1.837911,0.020552,-0.020355,0.000043,1.982805,-0.007173,0.014392,0.000000,14.859894,0.013379,-0.005963,0.000043,1.000000,0.063419,0.033863,1.000000,0.007196,0.003586,0.660935
9.044000,0.934000,14.950830,0.003642,0.007978,0.000016,659.486202,662.966936,660.266126,662.213685,-1.746624,0.011557,-0.007452,0.000016,1.982454,-0.007914,0.015429,0.000000,14.950830,0.003642,0.007978,0.000016,1.000000,0.067964,0.030526,1.000000,0.007715,0.003957,0.660818
9.061000,0.951000,14.979203,0.009285,0.005154,0.000074,659.980547,663.683539,661.988647,661.789599,-1.717923,0.017995,-0.011355,0.000074,1.982126,-0.008711,0.016510,0.000000,14.979203,0.009285,0.005154,0.000074,1.000000,0.071797,0.029558,1.000000,0.008255,0.004355,0.660709
9.082000,0.972000,14.974812,0.009097,0.006386,0.000002,659.718376,663.803619,661.637325,661.893781,-1.721997,0.018661,-0.011244,0.000002,1.981809,-0.009564,0.017630,0.000000,14.974812,0.009097,0.006386,0.000002,1.000000,0.075824,0.029700,1.000000,0.008815,0.004782,0.660603
9.101000,0.991000,14.896596,0.009543,-0.002311,-0.000037,659.434064,660.661076,661.420652,658.618072,-1.799854,0.020012,-0.021092,-0.000037,1.981450,-0.010469,0.018781,0.000000,14.896596,0.009543,-0.002311,-0.000037,1.000000,0.080136,0.032479,1.000000,0.009391,0.005234,0.660483
9.124000,1.014000,15.025170,-0.003568,0.014795,-0.000067,660.760894,665.034452,659.961577,665.730149,-1.671153,0.007969,-0.005268,-0.000067,1.981323,-0.011538,0.020063,0.000000,15.025170,-0.003568,0.014795,-0.000067,1.000000,0.094554,0.027937,1.000000,0.010032,0.005769,0.660441
9.142000,1.032000,14.884799,0.030154,-0.005789,-0.000086,657.604126,661.997725,663.899195,655.557045,-1.811175,0.042712,-0.027071,-0.000086,1.980974,-0.012558,0.021282,0.000000,14.884799,0.030154,-0.005789,-0.000086,1.000000,0.088533,0.033059,1.000000,0.010641,0.006279,0.660325
9.164000,1.054000,14.921979,0.018443,0.003086,-0.000141,658.172145,663.115459,661.964073,659.121729,-1.773681,0.032093,-0.019461,-0.000141,1.980660,-0.013650,0.022546,0.000000,14.921979,0.018443,0.003086,-0.000141,1.000000,0.093135,0.031600,1.000000,0.011273,0.006825,0.660220
9.184000,1.074000,14.938358,0.029475,-0.000838,-0.000462,658.152586,664.092314,664.037369,657.523765,-1.757001,0.044280,-0.024681,-0.000462,1.980358,-0.014804,0.023843,0.000000,14.938358,0.029475,-0.000838,-0.000462,1.000000,0.097313,0.031128,1.000000,0.011921,0.007402,0.660119
9.202000,1.092000,14.951410,0.021598,0.004283,-0.000536,658.426899,664.449749,662.603595,659.492538,-1.743661,0.037630,-0.020895,-0.000536,1.980070,-0.016032,0.025179,0.000000,14.951410,0.021598,0.004283,-0.000536,1.000000,0.102189,0.030589,1.000000,0.012589,0.008016,0.660023
9.223000,1.113000,14.942765,0.020114,0.005127,-0.000577,658.262099,664.262388,662.099314,659.585579,-1.752020,0.037437,-0.021414,-0.000577,1.979785,-0.017323,0.026541,0.000000,14.942765,0.020114,0.005127,-0.000577,1.000000,0.105806,0.030882,1.000000,0.013270,0.008662,0.659928
9.242000,1.132000,14.950028,0.009524,0.013872,-0.000471,658.012086,664.752086,659.693073,662.390814,-1.744484,0.028215,-0.014069,-0.000471,1.979512,-0.018691,0.027940,0.000000,14.950028,0.009524,0.013872,-0.000471,1.000000,0.111077,0.030532,1.000000,0.013970,0.009346,0.659837
9.279000,1.169000,15.034174,-0.012952,0.021454,-0.000430,656.365415,663.333134,661.660275,657.339179,-1.660268,0.007318,-0.008008,-0.000430,1.979442,-0.020270,0.029462,0.000000,15.034174,-0.012952,0.021454,-0.000430,1.000000,0.130761,0.027577,1.000000,0.014731,0.010135,0.659814
9.283000,1.173000,14.880646,0.026659,0.003885,-0.000481,656.365415,663.333134,661.660275,657.339179,-1.813499,0.048429,-0.027016,-0.000481,1.979145,-0.021770,0.030901,0.000000,14.880646,0.026659,0.003885,-0.000481,1.000000,0.119804,0.033195,1.000000,0.015450,0.010885,0.659715
9.302000,1.192000,14.812162,0.020830,-0.003450,-0.000382,656.680109,659.921232,660.814273,655.212983,-1.881644,0.044167,-0.035807,-0.000382,1.978806,-0.023337,0.032357,0.000000,14.812162,0.020830,-0.003450,-0.000382,1.000000,0.124543,0.035729,1.000000,0.016178,0.011669,0.659602
9.322000,1.212000,14.966139,0.015450,0.019731,-0.000630,656.796425,666.776728,659.620598,663.056768,-1.727426,0.040456,-0.014130,-0.000630,1.978564,-0.025006,0.033861,0.000000,14.966139,0.015450,0.019731,-0.000630,1.000000,0.131613,0.030024,1.000000,0.016930,0.012504,0.659521
9.345000,1.235000,15.064696,-0.004836,0.021316,-0.000606,660.848518,667.077622,659.402249,667.623259,-1.628827,0.022079,-0.014164,-0.000606,1.978523,-0.026915,0.035480,0.000000,15.064696,-0.004836,0.021316,-0.000606,1.000000,0.154688,0.026600,1.000000,0.017739,0.013459,0.659508
9.360000,1.250000,14.981057,0.028110,0.022160,-0.000546,655.339119,668.800376,660.901948,662.500413,-1.712255,0.056859,-0.014870,-0.000546,1.978313,-0.028749,0.037030,0.000000,14.981057,0.028110,0.022160,-0.000546,1.000000,0.143997,0.029664,1.000000,0.018514,0.014376,0.659438
9.384000,1.274000,14.959255,0.023222,0.020878,-0.000438,655.553469,667.556510,660.160561,662.357233,-1.733854,0.053887,-0.017719,-0.000438,1.978109,-0.030665,0.038597,0.000000,14.959255,0.023222,0.020878,-0.000438,1.000000,0.149789,0.030384,1.000000,0.019297,0.015335,0.659370
9.402000,1.292000,14.882517,0.027662,0.003910,-0.000170,656.186449,663.364284,661.911855,657.399602,-1.810345,0.060311,-0.036254,-0.000170,1.977861,-0.032649,0.040164,0.000000,14.882517,0.027662,0.003910,-0.000170,1.000000,0.153832,0.033269,1.000000,0.020080,0.016327,0.659287
9.422000,1.312000,14.872714,0.035320,0.004896,-0.000014,654.929875,664.058716,662.388042,656.599296,-1.819892,0.070030,-0.036841,-0.000014,1.977607,-0.034710,0.041737,0.000000,14.872714,0.035320,0.004896,-0.000014,1.000000,0.159050,0.033746,1.000000,0.020867,0.017357,0.659202
9.446000,1.336000,15.037649,0.010995,0.019355,-0.000052,658.718097,667.594410,661.001686,665.256692,-1.654952,0.048063,-0.024070,-0.000052,1.977601,-0.037068,0.043425,0.000000,15.037649,0.010995,0.019355,-0.000052,1.000000,0.189265,0.027678,1.000000,0.021710,0.018537,0.659200
9.463000,1.353000,14.906884,0.033825,0.013230,-0.000121,654.458374,666.104281,661.531674,658.900618,-1.785494,0.073137,-0.031791,-0.000121,1.977378,-0.039312,0.045022,0.000000,14.906884,0.033825,0.013230,-0.000121,1.000000,0.171972,0.032516,1.000000,0.022508,0.019659,0.659126
9.481000,1.371000,14.881584,0.038919,0.026361,-0.000304,651.150906,668.365001,659.207609,659.970714,-1.810556,0.080545,-0.020252,-0.000304,1.977140,-0.041626,0.046614,0.000000,14.881584,0.038919,0.026361,-0.000304,1.000000,0.176705,0.033471,1.000000,0.023303,0.020817,0.659047
9.500000,1.390000,14.896219,0.040883,0.028880,-0.000377,650.860403,669.340887,659.284155,660.488554,-1.795689,0.084893,-0.019317,-0.000377,1.976908,-0.044011,0.048197,0.000000,14.896219,0.040883,0.028880,-0.000377,1.000000,0.179869,0.033003,1.000000,0.024094,0.022010,0.658969
9.522000,1.412000,14.943858,0.031326,0.036858,-0.000304,651.548056,670.698764,657.994862,663.928458,-1.747845,0.077818,-0.012928,-0.000304,1.976703,-0.046492,0.049786,0.000000,14.943858,0.031326,0.036858,-0.000304,1.000000,0.186636,0.031172,1.000000,0.024888,0.023251,0.658901
9.542000,1.432000,14.958261,0.022540,0.038797,-0.000179,652.430177,670.378158,657.097264,665.541866,-1.733248,0.071602,-0.012574,-0.000179,1.976509,-0.049062,0.051371,0.000000,14.958261,0.022540,0.038797,-0.000179,1.000000,0.192545,0.030570,1.000000,0.025680,0.024537,0.658836
