t,t_rel,x,y,z,phi,theta,psi,vx,vy,vz,p,q,r,ref_x,ref_y,ref_z,ref_phi,ref_theta,ref_psi,ref_vx,ref_vy,ref_vz,ref_p,ref_q,ref_r,err_x,err_y,err_z,err_phi,err_theta,err_psi,err_vx,err_vy,err_vz,err_3d,err_vel_3d
8.110000,0.000000,0.000029,0.000173,1.022026,0.000014,-0.000001,-0.000000,0.000014,-0.000025,0.063132,-0.000014,0.000000,0.000001,0.000000,0.000000,1.003000,0.000000,0.000000,0.000000,0.000074,0.000001,0.150000,0.000000,0.000000,0.000000,0.000029,0.000173,0.019026,0.000014,-0.000001,-0.000000,-0.000061,-0.000026,-0.086868,0.019027,0.086868
8.120000,0.010000,0.000029,0.000173,1.022657,0.000014,-0.000001,-0.000000,0.000014,-0.000026,0.064581,-0.000016,0.000001,0.000001,0.000000,0.000000,1.003000,0.000000,0.000000,0.000000,0.000074,0.000001,0.150000,0.000000,0.000000,0.000000,0.000029,0.000173,0.019657,0.000014,-0.000001,-0.000000,-0.000061,-0.000027,-0.085419,0.019658,0.085419
8.130000,0.020000,0.000029,0.000173,1.022438,0.000014,-0.000001,-0.000000,0.000013,-0.000027,0.078696,-0.000022,0.000003,0.000001,0.000000,0.000000,1.003000,0.000000,0.000000,0.000000,0.000074,0.000001,0.150000,0.000000,0.000000,0.000000,0.000029,0.000173,0.019438,0.000014,-0.000001,-0.000000,-0.000061,-0.000029,-0.071304,0.019439,0.071304
8.140000,0.030000,0.000029,0.000172,1.022639,0.000013,-0.000001,-0.000000,0.000013,-0.000029,0.093624,-0.000026,0.000004,0.000001,0.000004,0.000000,1.006000,0.000000,0.000000,0.000000,0.000297,0.000010,0.150000,0.000000,0.000000,0.000000,0.000025,0.000172,0.016639,0.000013,-0.000001,-0.000000,-0.000284,-0.000039,-0.056376,0.016640,0.056377
8.151000,0.041000,0.000030,0.000172,1.022906,0.000013,-0.000001,-0.000000,0.000013,-0.000031,0.106829,-0.000024,0.000046,0.000001,0.000004,0.000000,1.006000,0.000000,0.000000,0.000000,0.000297,0.000010,0.150000,0.000000,0.000000,0.000000,0.000026,0.000172,0.016906,0.000013,-0.000001,-0.000000,-0.000284,-0.000040,-0.043171,0.016907,0.043172
8.160000,0.050000,0.000030,0.000172,1.023974,0.000013,-0.000001,-0.000000,0.000013,-0.000032,0.121992,-0.000018,0.000082,0.000001,0.000013,0.000001,1.009000,0.000000,0.000000,0.000000,0.000669,0.000034,0.150000,0.000000,0.000000,0.000000,0.000016,0.000171,0.014974,0.000013,-0.000001,-0.000000,-0.000656,-0.000066,-0.028008,0.014975,0.028016
8.170000,0.060000,0.000030,0.000171,1.024059,0.000013,-0.000000,-0.000000,0.000013,-0.000033,0.128091,-0.000027,0.000176,0.000001,0.000013,0.000001,1.009000,0.000000,0.000000,0.000000,0.000669,0.000034,0.150000,0.000000,0.000000,0.000000,0.000016,0.000171,0.015059,0.000013,-0.000000,-0.000000,-0.000656,-0.000067,-0.021909,0.015060,0.021919
8.180000,0.070000,0.000030,0.000171,1.025340,0.000012,0.000002,-0.000000,0.000013,-0.000035,0.137505,-0.000029,0.000299,0.000001,0.000033,0.000002,1.012150,0.000000,0.000000,0.000000,0.001217,0.000083,0.150000,0.000000,0.000000,0.000000,-0.000003,0.000169,0.013190,0.000012,0.000002,-0.000000,-0.001204,-0.000117,-0.012495,0.013191,0.012553
8.190000,0.080000,0.000030,0.000171,1.025523,0.000012,0.000002,-0.000000,0.000013,-0.000036,0.143033,-0.000036,0.000420,0.000001,0.000033,0.000002,1.012150,0.000000,0.000000,0.000000,0.001217,0.000083,0.150000,0.000000,0.000000,0.000000,-0.000003,0.000169,0.013373,0.000012,0.000002,-0.000000,-0.001204,-0.000118,-0.006967,0.013374,0.007072
8.200000,0.090000,0.000030,0.000170,1.026199,0.000012,0.000004,-0.000000,0.000013,-0.000037,0.149834,-0.000038,0.000523,0.000000,0.000062,0.000004,1.015000,0.000000,0.000000,0.000000,0.001851,0.000155,0.150000,0.000000,0.000000,0.000000,-0.000032,0.000167,0.011199,0.000012,0.000004,-0.000000,-0.001838,-0.000192,-0.000166,0.011200,0.001856
8.210000,0.100000,0.000030,0.000170,1.027056,0.000012,0.000008,-0.000000,0.000013,-0.000038,0.155148,-0.000074,0.000868,0.000000,0.000062,0.000004,1.015000,0.000000,0.000000,0.000000,0.001851,0.000155,0.150000,0.000000,0.000000,0.000000,-0.000032,0.000166,0.012056,0.000012,0.000008,-0.000000,-0.001838,-0.000193,0.005148,0.012057,0.005470
8.220000,0.110000,0.000030,0.000170,1.028012,0.000011,0.000014,-0.000000,0.000014,-0.000039,0.160594,-0.000087,0.001090,0.000000,0.000107,0.000008,1.018000,0.000000,0.000000,0.000000,0.002660,0.000268,0.150000,0.000000,0.000000,0.000000,-0.000076,0.000162,0.010012,0.000011,0.000014,-0.000000,-0.002646,-0.000307,0.010594,0.010014,0.010923
8.230000,0.120000,0.000031,0.000169,1.029055,0.000011,0.000023,-0.000000,0.000016,-0.000040,0.164655,-0.000143,0.001546,0.000000,0.000107,0.000008,1.018000,0.000000,0.000000,0.000000,0.002660,0.000268,0.150000,0.000000,0.000000,0.000000,-0.000076,0.000161,0.011055,0.000011,0.000023,-0.000000,-0.002644,-0.000309,0.014655,0.011056,0.014894
8.242000,0.132000,0.000031,0.000169,1.030390,0.000009,0.000038,-0.000000,0.000020,-0.000042,0.168290,-0.000246,0.002293,-0.000000,0.000169,0.000015,1.021000,0.000000,0.000000,0.000000,0.003611,0.000426,0.150000,0.000000,0.000000,0.000000,-0.000138,0.000154,0.009390,0.000009,0.000038,-0.000000,-0.003592,-0.000467,0.018290,0.009392,0.018645
8.250000,0.140000,0.000031,0.000168,1.032071,0.000007,0.000061,-0.000000,0.000025,-0.000043,0.172834,-0.000337,0.003056,-0.000000,0.000169,0.000015,1.021000,0.000000,0.000000,0.000000,0.003611,0.000426,0.150000,0.000000,0.000000,0.000000,-0.000138,0.000153,0.011071,0.000007,0.000061,-0.000000,-0.003586,-0.000469,0.022834,0.011073,0.023119
8.260000,0.150000,0.000031,0.000168,1.033575,0.000004,0.000091,-0.000000,0.000032,-0.000044,0.176720,-0.000423,0.003688,-0.000000,0.000252,0.000025,1.024000,0.000000,0.000000,0.000000,0.004703,0.000634,0.150000,0.000000,0.000000,0.000000,-0.000221,0.000142,0.009575,0.000004,0.000091,-0.000000,-0.004670,-0.000678,0.026720,0.009579,0.027134
8.270000,0.160000,0.000032,0.000167,1.035342,0.000000,0.000127,-0.000000,0.000042,-0.000044,0.180136,-0.000570,0.004415,-0.000000,0.000252,0.000025,1.024000,0.000000,0.000000,0.000000,0.004703,0.000634,0.150000,0.000000,0.000000,0.000000,-0.000220,0.000142,0.011342,0.000000,0.000127,-0.000000,-0.004661,-0.000679,0.030136,0.011345,0.030502
8.284000,0.174000,0.000032,0.000167,1.035765,-0.000004,0.000164,-0.000000,0.000056,-0.000044,0.178493,-0.000636,0.004607,-0.000000,0.000358,0.000041,1.027000,0.000000,0.000000,0.000000,0.005932,0.000902,0.150000,0.000000,0.000000,0.000000,-0.000326,0.000126,0.008765,-0.000004,0.000164,-0.000000,-0.005876,-0.000945,0.028493,0.008772,0.029108
8.290000,0.180000,0.000033,0.000167,1.037550,-0.000010,0.000210,-0.000000,0.000072,-0.000043,0.180859,-0.000814,0.005323,-0.000000,0.000358,0.000041,1.027000,0.000000,0.000000,0.000000,0.005932,0.000902,0.150000,0.000000,0.000000,0.000000,-0.000325,0.000126,0.010550,-0.000010,0.000210,-0.000000,-0.005860,-0.000945,0.030859,0.010556,0.031424
8.300000,0.190000,0.000034,0.000166,1.038163,-0.000016,0.000257,-0.000000,0.000093,-0.000042,0.179746,-0.000835,0.005659,-0.000000,0.000490,0.000062,1.030000,0.000000,0.000000,0.000000,0.007295,0.001235,0.150000,0.000000,0.000000,0.000000,-0.000457,0.000105,0.008163,-0.000016,0.000257,-0.000000,-0.007203,-0.001276,0.029746,0.008177,0.030632
8.310000,0.200000,0.000035,0.000166,1.039315,-0.000024,0.000314,-0.000000,0.000119,-0.000040,0.180751,-0.001258,0.007040,-0.000000,0.000490,0.000062,1.030000,0.000000,0.000000,0.000000,0.007295,0.001235,0.150000,0.000000,0.000000,0.000000,-0.000456,0.000104,0.009315,-0.000024,0.000314,-0.000000,-0.007176,-0.001274,0.030751,0.009327,0.031603
8.321000,0.211000,0.000037,0.000166,1.040968,-0.000035,0.000384,-0.000000,0.000156,-0.000037,0.183187,-0.001563,0.008247,-0.000000,0.000651,0.000091,1.033000,0.000000,0.000000,0.000000,0.008791,0.001640,0.150000,0.000000,0.000000,0.000000,-0.000614,0.000075,0.007968,-0.000035,0.000384,-0.000000,-0.008634,-0.001677,0.033187,0.007992,0.034333
