metric,value
duration_s,9.989
n_state_samples,1000
n_ctrl_samples,500
trajectory_type,helix
wind_x,0.0
wind_y,-4.0
wind_z,0.0
is_wind,True
rmse_x,0.1614806864109775
max_err_x,0.29898719115940664
rmse_y,0.15269495358831078
max_err_y,0.28674119616029986
rmse_z,0.05357118520154406
max_err_z,1.5069315677200605
rmse_3d,0.22860803314624567
max_err_3d,1.5327185123643359
rmse_vx,0.2169698114095168
rmse_vy,0.22654708781245508
rmse_vz,0.01181072052300228
rmse_vel_3d,0.31390918301103904
settling_time_s,
ss_err_x,0.1559721134375359
ss_err_y,0.20893506953537785
ss_err_z,0.016138392483516367
ss_err_3d,0.28721238981869845
mean_thrust,14.804828770225537
max_thrust,17.064267577462974
min_thrust,14.614411134644438
thrust_dev,0.09717860434439389
rms_tau_phi,0.09082685784745642
max_tau_phi,0.29242914477396653
rms_tau_theta,0.6519113200387431
max_tau_theta,1.0637348589582536
rms_tau_psi,0.015411725703208314
max_tau_psi,0.03442596343887944
mean_motor_util,43.19717866083787
max_motor_util,56.21061788386136
mean_util_r0,36.14707630978817
mean_util_r1,50.94413578152379
mean_util_r2,35.58548900094589
mean_util_r3,50.11201355109363
sat_events,0
sat_pct,0.0
ctrl_energy,2191.365749911153
max_phi_deg,6.685975419398822
max_theta_deg,5.342159035661487
pct_within_linear,100.0
linearization_valid,True
ss_offset_x,-0.007030587730847069
ss_offset_y,0.20893506953537785
ss_offset_z,0.016138392483516367
wind_detected,True
has_mpc_debug,True
mpc_solve_ok,500
mpc_solve_fail,0
mpc_solve_pct,100.0
cost_state_mean,1.5531885144521924
cost_state_max,2.9244996964725654
cost_input_mean,0.06309683252452013
cost_input_max,0.16480162696464074
cost_total_mean,1.6162853469767129
torque_scale_mean,1.0
torque_scale_min,1.0
torque_scaled_pct,0.0
ud_thrust_rms,1.335099486014488
ui_thrust_rms,1.4182243129256595
ud_tau_phi_rms,0.558352195708969
ui_tau_phi_rms,0.5654757211431117
ud_tau_theta_rms,0.37513273083991006
ui_tau_theta_rms,0.9610134066581221
ud_tau_psi_rms,0.015411725703208314
ui_tau_psi_rms,0.0
int_err_mag_final,0.5995913466540198
int_err_mag_max,0.9163926238592336
