t,t_rel,x,y,z,phi,theta,psi,vx,vy,vz,p,q,r,ref_x,ref_y,ref_z,ref_phi,ref_theta,ref_psi,ref_vx,ref_vy,ref_vz,ref_p,ref_q,ref_r,err_x,err_y,err_z,err_phi,err_theta,err_psi,err_vx,err_vy,err_vz,err_3d,err_vel_3d
5.110000,0.000000,0.000000,0.000000,0.008786,0.000000,0.000000,0.000000,0.000000,0.000000,0.420616,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.991214,0.000000,0.000000,0.000000,0.000000,0.000000,0.420616,0.991214,0.420616
5.120000,0.010000,0.000000,0.000000,0.011751,0.000000,-0.000000,0.000000,0.000000,0.000000,0.544119,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.988249,0.000000,0.000000,0.000000,0.000000,0.000000,0.544119,0.988249,0.544119
5.130000,0.020000,0.000000,0.000000,0.016306,0.000000,-0.000000,0.000000,0.000000,0.000000,0.630619,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.983694,0.000000,0.000000,0.000000,0.000000,0.000000,0.630619,0.983694,0.630619
5.141000,0.031000,0.000000,0.000000,0.022804,0.000000,-0.000000,0.000000,0.000000,0.000000,0.720253,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.977196,0.000000,0.000000,0.000000,0.000000,0.000000,0.720253,0.977196,0.720253
5.150000,0.040000,0.000000,0.000000,0.030006,0.000000,-0.000000,0.000000,0.000000,0.000000,0.779309,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.969994,0.000000,0.000000,0.000000,0.000000,0.000000,0.779309,0.969994,0.779309
5.160000,0.050000,0.000000,0.000000,0.032881,0.000000,-0.000000,0.000000,0.000000,0.000000,0.824113,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.967119,0.000000,0.000000,0.000000,0.000000,0.000000,0.824113,0.967119,0.824113
5.170000,0.060000,0.000000,0.000000,0.038768,0.000000,-0.000000,0.000000,0.000000,0.000000,0.853848,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.961232,0.000000,0.000000,0.000000,0.000000,0.000000,0.853848,0.961232,0.853848
5.181000,0.071000,0.000000,0.000000,0.047986,0.000000,-0.000000,0.000000,0.000000,0.000000,0.892386,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.952014,0.000000,0.000000,0.000000,0.000000,0.000000,0.892386,0.952014,0.892386
5.192000,0.082000,0.000000,0.000000,0.058848,0.000000,-0.000000,0.000000,0.000000,0.000000,0.923079,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.941152,0.000000,0.000000,0.000000,0.000000,0.000000,0.923079,0.941152,0.923079
5.200000,0.090000,0.000000,0.000000,0.069100,0.000000,-0.000000,0.000000,0.000000,0.000000,0.951079,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.930900,0.000000,0.000000,0.000000,0.000000,0.000000,0.951079,0.930900,0.951079
5.212000,0.102000,0.000000,0.000000,0.079085,0.000000,-0.000000,0.000000,0.000000,0.000000,0.964970,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.920915,0.000000,0.000000,0.000000,0.000000,0.000000,0.964970,0.920915,0.964970
5.221000,0.111000,0.000000,0.000000,0.088942,0.000000,-0.000000,0.000000,0.000000,0.000000,0.978077,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.911058,0.000000,0.000000,0.000000,0.000000,0.000000,0.978077,0.911058,0.978077
5.232000,0.122000,0.000000,0.000000,0.098723,0.000000,-0.000000,0.000000,0.000000,0.000000,0.981813,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.901277,0.000000,0.000000,0.000000,0.000000,0.000000,0.981813,0.901277,0.981813
5.240000,0.130000,0.000000,0.000000,0.102434,0.000000,-0.000000,0.000000,0.000000,0.000000,0.967863,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.897566,0.000000,0.000000,0.000000,0.000000,0.000000,0.967863,0.897566,0.967863
5.250000,0.140000,0.000000,0.000000,0.113289,0.000000,-0.000000,0.000000,0.000000,0.000000,0.969783,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.886711,0.000000,0.000000,0.000000,0.000000,0.000000,0.969783,0.886711,0.969783
5.261000,0.151000,0.000000,0.000000,0.125822,0.000000,-0.000000,0.000000,0.000000,0.000000,0.976602,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.874178,0.000000,0.000000,0.000000,0.000000,0.000000,0.976602,0.874178,0.976602
5.270000,0.160000,0.000000,0.000000,0.137370,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.979833,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.862630,0.000000,0.000000,0.000000,-0.000000,0.000000,0.979833,0.862630,0.979833
5.280000,0.170000,0.000000,0.000000,0.147168,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.977835,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.852832,0.000000,0.000000,0.000000,-0.000000,0.000000,0.977835,0.852832,0.977835
5.290000,0.180000,0.000000,0.000000,0.151980,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.956477,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.848020,0.000000,0.000000,0.000000,-0.000000,0.000000,0.956477,0.848020,0.956477
5.300000,0.190000,0.000000,0.000000,0.160177,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.945553,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.839823,0.000000,0.000000,0.000000,-0.000000,0.000000,0.945553,0.839823,0.945553
