t,t_rel,thrust,tau_phi,tau_theta,tau_psi,w0,w1,w2,w3,ud_T,ud_phi,ud_theta,ud_psi,ui_T,ui_phi,ui_theta,ui_psi,ut_T,ut_phi,ut_theta,ut_psi,torque_scale,cost_state,cost_input,solve_ok,int_err_x,int_err_y,int_err_z
3.263000,0.053000,19.050797,-0.067944,0.545123,-0.000167,586.173117,778.119234,567.253366,789.107803,4.335797,-0.067944,0.545123,-0.000167,0.000000,0.000000,0.000000,0.000000,19.050797,-0.067944,0.545123,-0.000167,1.000000,22.511296,0.218169,1.000000,0.000000,0.000000,0.000000
3.270000,0.060000,17.363236,-0.076100,0.636966,-0.000873,586.173117,778.119234,567.253366,789.107803,2.648236,-0.076100,0.636966,-0.000873,0.000000,0.000000,0.000000,0.000000,17.363236,-0.076100,0.636966,-0.000873,1.000000,22.483782,0.111283,1.000000,0.000000,0.000000,0.000000
3.274000,0.064000,16.187044,-0.070485,0.625432,-0.002360,578.406136,760.049761,560.618434,769.289909,1.472044,-0.070485,0.625432,-0.002360,0.000000,0.000000,0.000000,0.000000,16.187044,-0.070485,0.625432,-0.002360,1.000000,22.234585,0.061283,1.000000,0.000000,0.000000,0.000000
3.282000,0.072000,15.544133,-0.062264,0.578591,-0.003144,578.406136,760.049761,560.618434,769.289909,0.829133,-0.062264,0.578591,-0.003144,0.000000,0.000000,0.000000,0.000000,15.544133,-0.062264,0.578591,-0.003144,1.000000,21.816765,0.040740,1.000000,0.000000,0.000000,0.000000
3.301000,0.091000,14.694699,-0.029571,0.375162,-0.004627,592.967856,715.808078,582.305114,718.256529,-0.020301,-0.029571,0.375162,-0.004627,0.000000,0.000000,0.000000,0.000000,14.694699,-0.029571,0.375162,-0.004627,1.000000,21.240860,0.014168,1.000000,0.000000,0.000000,0.000000
3.320000,0.110000,14.210281,-0.003452,0.157029,-0.004243,618.627167,672.744525,614.653545,670.233951,-0.504719,-0.003452,0.157029,-0.004243,0.000000,0.000000,0.000000,0.000000,14.210281,-0.003452,0.157029,-0.004243,1.000000,20.611880,0.005016,1.000000,0.000000,0.000000,0.000000
3.346000,0.136000,14.251058,-0.015882,0.215551,-0.006274,611.065657,682.824220,602.621355,681.369708,-0.463942,-0.015882,0.215551,-0.006274,0.000000,0.000000,0.000000,0.000000,14.251058,-0.015882,0.215551,-0.006274,1.000000,19.918566,0.006828,1.000000,0.000000,0.000000,0.000000
3.372000,0.162000,14.306385,-0.005161,0.070908,-0.005163,625.546302,669.984282,616.202937,669.863796,-0.408615,-0.005161,0.070908,-0.005163,0.000000,0.000000,0.000000,0.000000,14.306385,-0.005161,0.070908,-0.005163,1.000000,19.236582,0.002178,1.000000,0.000000,0.000000,0.000000
3.380000,0.170000,14.264252,-0.021544,0.140673,-0.006034,625.546302,669.984282,616.202937,669.863796,-0.501271,-0.021344,0.140539,-0.006034,0.050523,-0.000200,0.000134,0.000000,14.264252,-0.021544,0.140673,-0.006034,1.000000,18.550137,0.004537,1.000000,0.000067,0.000100,0.016841
3.402000,0.192000,13.589998,-0.021768,0.075846,-0.003521,620.514431,642.855472,612.948743,644.771263,-1.224613,-0.021317,0.075534,-0.003521,0.099611,-0.000451,0.000312,0.000000,13.589998,-0.021768,0.075846,-0.003521,1.000000,17.851871,0.015614,1.000000,0.000156,0.000226,0.033204
3.421000,0.211000,13.789945,-0.049727,0.200186,-0.003387,605.594986,665.672382,591.397515,673.432194,-1.072884,-0.048994,0.199668,-0.003387,0.147829,-0.000733,0.000518,0.000000,13.789945,-0.049727,0.200186,-0.003387,1.000000,17.155046,0.015739,1.000000,0.000259,0.000367,0.049276
3.440000,0.230000,13.903562,-0.053981,0.228139,-0.001660,602.968269,671.756319,589.062426,681.612730,-1.006529,-0.052926,0.227380,-0.001660,0.195092,-0.001056,0.000759,0.000000,13.903562,-0.053981,0.228139,-0.001660,1.000000,16.462845,0.015582,1.000000,0.000379,0.000528,0.065031
3.466000,0.256000,13.594143,-0.062815,0.303465,-0.000966,581.794128,676.437934,565.767123,688.532676,-1.361995,-0.061380,0.302420,-0.000966,0.241138,-0.001435,0.001045,0.000000,13.594143,-0.062815,0.303465,-0.000966,1.000000,15.790922,0.028073,1.000000,0.000523,0.000718,0.080379
3.482000,0.272000,13.453537,-0.053271,0.314478,-0.001101,575.003331,676.263295,561.042933,686.326739,-1.547539,-0.051405,0.313102,-0.001101,0.286075,-0.001866,0.001376,0.000000,13.453537,-0.053271,0.314478,-0.001101,1.000000,15.137485,0.034016,1.000000,0.000688,0.000933,0.095358
3.501000,0.291000,13.449276,-0.047697,0.316058,-0.001385,574.024487,677.114232,561.189810,685.823772,-1.595693,-0.045348,0.314306,-0.001385,0.329970,-0.002349,0.001752,0.000000,13.449276,-0.047697,0.316058,-0.001385,1.000000,14.483566,0.035547,1.000000,0.000875,0.001175,0.109990
