metric,value
duration_s,9.989999999999998
n_state_samples,999
n_ctrl_samples,500
trajectory_type,lemniscate_2d
wind_x,0.0
wind_y,0.0
wind_z,0.0
is_wind,False
rmse_x,0.18408151016238833
max_err_x,0.3753921962363859
rmse_y,0.13502873220718387
max_err_y,0.3249482180295926
rmse_z,0.022551911895020572
max_err_z,0.027494723319709147
rmse_3d,0.22940651611335197
max_err_3d,0.4397937288514036
rmse_vx,0.24948132447184357
rmse_vy,0.339339540556186
rmse_vz,0.03984513738446472
rmse_vel_3d,0.4230601494093902
settling_time_s,7.282000000000001
ss_err_x,0.18220611699919545
ss_err_y,0.1013292851540286
ss_err_z,0.01615949784443921
ss_err_3d,0.2171215459434534
mean_thrust,14.959818544024762
max_thrust,15.127995932573075
min_thrust,14.795899827882032
thrust_dev,0.24481854402476375
rms_tau_phi,0.08960926407765649
max_tau_phi,0.2508595450900223
rms_tau_theta,0.07778992582173988
max_tau_theta,0.25624202775571414
rms_tau_psi,0.0015150390631284941
max_tau_psi,0.005471666803047445
mean_motor_util,44.0820827118261
max_motor_util,47.50297589684794
mean_util_r0,44.190965504487295
mean_util_r1,43.98072167117791
mean_util_r2,44.11427002638752
mean_util_r3,44.042373645251644
sat_events,0
sat_pct,0.0
ctrl_energy,2235.0131475940557
max_phi_deg,9.074039052327223
max_theta_deg,5.012023819720937
pct_within_linear,100.0
linearization_valid,True
ss_offset_x,0.02158270105176504
ss_offset_y,-0.05156906433882002
ss_offset_z,0.01615949784443921
wind_detected,True
has_mpc_debug,True
mpc_solve_ok,500
mpc_solve_fail,0
mpc_solve_pct,100.0
cost_state_mean,2.063248382931246
cost_state_max,4.6708499066456355
cost_input_mean,0.030398754957220758
cost_input_max,0.0750145077504344
cost_total_mean,2.093647137888467
torque_scale_mean,1.0
torque_scale_min,1.0
torque_scaled_pct,0.0
ud_thrust_rms,1.3197107141208648
ui_thrust_rms,1.5575833574807785
ud_tau_phi_rms,0.16941658936635803
ui_tau_phi_rms,0.12604928152399872
ud_tau_theta_rms,0.31799313920236594
ui_tau_theta_rms,0.32327653819312224
ud_tau_psi_rms,0.0015150390631284941
ui_tau_psi_rms,0.0
int_err_mag_final,0.43928621712492594
int_err_mag_max,0.6345458373249798
