t,t_rel,x,y,z,phi,theta,psi,vx,vy,vz,p,q,r,ref_x,ref_y,ref_z,ref_phi,ref_theta,ref_psi,ref_vx,ref_vy,ref_vz,ref_p,ref_q,ref_r,err_x,err_y,err_z,err_phi,err_theta,err_psi,err_vx,err_vy,err_vz,err_3d,err_vel_3d
7.050000,0.000000,-0.000000,0.000001,1.022237,0.000000,0.000000,-0.000000,0.000000,-0.000001,0.057312,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000074,0.000074,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000000,0.022237,0.000000,0.000000,-0.000000,-0.000074,-0.000076,0.057312,0.022237,0.057313
7.060000,0.010000,-0.000000,0.000001,1.022157,0.000000,0.000000,-0.000000,0.000000,-0.000001,0.056927,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000074,0.000074,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000000,0.022157,0.000000,0.000000,-0.000000,-0.000074,-0.000076,0.056927,0.022157,0.056928
7.071000,0.021000,-0.000000,0.000001,1.022360,0.000000,0.000000,-0.000000,0.000000,-0.000001,0.057354,0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000074,0.000074,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000000,0.022360,0.000000,0.000000,-0.000000,-0.000074,-0.000076,0.057354,0.022360,0.057354
7.081000,0.031000,-0.000000,0.000001,1.022466,0.000000,0.000000,-0.000000,0.000000,-0.000001,0.057482,0.000000,-0.000000,0.000000,0.000004,0.000004,1.000000,0.000000,0.000000,0.000000,0.000297,0.000297,0.000000,0.000000,0.000000,0.000000,-0.000004,-0.000003,0.022466,0.000000,0.000000,-0.000000,-0.000297,-0.000298,0.057482,0.022466,0.057484
7.090000,0.040000,-0.000000,0.000001,1.023041,0.000000,0.000000,-0.000000,0.000000,-0.000001,0.058956,-0.000210,0.000151,0.000000,0.000004,0.000004,1.000000,0.000000,0.000000,0.000000,0.000297,0.000297,0.000000,0.000000,0.000000,0.000000,-0.000004,-0.000003,0.023041,0.000000,0.000000,-0.000000,-0.000297,-0.000298,0.058956,0.023041,0.058958
7.103000,0.053000,-0.000000,0.000001,1.022454,0.000001,-0.000000,-0.000000,0.000000,-0.000001,0.057008,-0.000251,0.000178,0.000001,0.000013,0.000013,1.000000,0.000000,0.000000,0.000000,0.000669,0.000665,0.000000,0.000000,0.000000,0.000000,-0.000014,-0.000012,0.022454,0.000001,-0.000000,-0.000000,-0.000668,-0.000667,0.057008,0.022454,0.057016
7.110000,0.060000,-0.000000,0.000001,1.023024,-0.000001,0.000001,0.000000,0.000000,-0.000001,0.058151,-0.000315,0.000231,0.000004,0.000013,0.000013,1.000000,0.000000,0.000000,0.000000,0.000669,0.000665,0.000000,0.000000,0.000000,0.000000,-0.000014,-0.000012,0.023024,-0.000001,0.000001,0.000000,-0.000668,-0.000667,0.058151,0.023024,0.058159
7.120000,0.070000,-0.000000,0.000001,1.022750,-0.000005,0.000003,0.000000,0.000000,-0.000001,0.056806,-0.000433,0.000332,0.000004,0.000032,0.000032,1.000000,0.000000,0.000000,0.000000,0.001187,0.001177,0.000000,0.000000,0.000000,0.000000,-0.000032,-0.000031,0.022750,-0.000005,0.000003,0.000000,-0.001186,-0.001178,0.056806,0.022750,0.056831
7.130000,0.080000,-0.000000,0.000001,1.022582,-0.000008,0.000006,0.000000,0.000001,-0.000001,0.055909,-0.000720,0.000534,0.000005,0.000032,0.000032,1.000000,0.000000,0.000000,0.000000,0.001187,0.001177,0.000000,0.000000,0.000000,0.000000,-0.000032,-0.000031,0.022582,-0.000008,0.000006,0.000000,-0.001186,-0.001177,0.055909,0.022582,0.055934
7.141000,0.091000,-0.000000,0.000001,1.022767,-0.000015,0.000010,0.000000,0.000002,0.000000,0.056055,-0.000995,0.000745,0.000006,0.000062,0.000061,1.000000,0.000000,0.000000,0.000000,0.001851,0.001827,0.000000,0.000000,0.000000,0.000000,-0.000062,-0.000061,0.022767,-0.000015,0.000010,0.000000,-0.001850,-0.001826,0.056055,0.022767,0.056115
7.151000,0.101000,-0.000000,0.000001,1.022858,-0.000024,0.000017,0.000000,0.000003,0.000002,0.056285,-0.001431,0.001111,0.000006,0.000062,0.000061,1.000000,0.000000,0.000000,0.000000,0.001851,0.001827,0.000000,0.000000,0.000000,0.000000,-0.000062,-0.000060,0.022858,-0.000024,0.000017,0.000000,-0.001848,-0.001825,0.056285,0.022858,0.056345
7.160000,0.110000,-0.000000,0.000001,1.022922,-0.000039,0.000029,0.000000,0.000005,0.000005,0.056432,-0.001935,0.001530,0.000004,0.000107,0.000105,1.000000,0.000000,0.000000,0.000000,0.002660,0.002610,0.000000,0.000000,0.000000,0.000000,-0.000107,-0.000105,0.022922,-0.000039,0.000029,0.000000,-0.002655,-0.002605,0.056432,0.022922,0.056554
7.171000,0.121000,-0.000000,0.000001,1.022978,-0.000052,0.000039,0.000000,0.000008,0.000009,0.056452,-0.002158,0.001746,0.000005,0.000169,0.000167,1.000000,0.000000,0.000000,0.000000,0.003611,0.003518,0.000000,0.000000,0.000000,0.000000,-0.000169,-0.000166,0.022978,-0.000052,0.000039,0.000000,-0.003603,-0.003509,0.056452,0.022980,0.056675
7.182000,0.132000,-0.000000,0.000001,1.023032,-0.000075,0.000057,0.000001,0.000012,0.000015,0.056462,-0.002879,0.002363,0.000005,0.000169,0.000167,1.000000,0.000000,0.000000,0.000000,0.003611,0.003518,0.000000,0.000000,0.000000,0.000000,-0.000169,-0.000165,0.023032,-0.000075,0.000057,0.000001,-0.003599,-0.003503,0.056462,0.023033,0.056685
7.191000,0.141000,0.000000,0.000001,1.023084,-0.000104,0.000081,0.000001,0.000019,0.000024,0.056419,-0.004323,0.003549,0.000009,0.000169,0.000167,1.000000,0.000000,0.000000,0.000000,0.003611,0.003518,0.000000,0.000000,0.000000,0.000000,-0.000169,-0.000165,0.023084,-0.000104,0.000081,0.000001,-0.003592,-0.003495,0.056419,0.023085,0.056641
