t,t_rel,thrust,tau_phi,tau_theta,tau_psi,w0,w1,w2,w3,ud_T,ud_phi,ud_theta,ud_psi,ui_T,ui_phi,ui_theta,ui_psi,ut_T,ut_phi,ut_theta,ut_psi,torque_scale,cost_state,cost_input,solve_ok,int_err_x,int_err_y,int_err_z
7.167000,0.017000,14.777740,-0.024995,0.384850,-0.004439,592.566696,719.396009,583.140486,721.081849,-1.814803,0.549249,-0.222614,-0.004439,1.877543,-0.574244,0.607464,0.000000,14.777740,-0.024995,0.384850,-0.004439,1.000000,0.296202,0.068060,1.000000,0.303275,0.287605,0.625848
7.183000,0.033000,14.792299,-0.059627,0.601104,-0.006833,555.740376,750.336155,534.692289,756.725377,-1.797353,0.515420,-0.009609,-0.006833,1.874652,-0.575047,0.610714,0.000000,14.792299,-0.059627,0.601104,-0.006833,1.000000,0.280895,0.058884,1.000000,0.304895,0.288014,0.624884
7.203000,0.053000,14.791509,-0.035959,0.558170,-0.008062,561.922474,746.489140,546.129195,747.682014,-1.795236,0.539825,-0.055772,-0.008062,1.871745,-0.575784,0.613942,0.000000,14.791509,-0.035959,0.558170,-0.008062,1.000000,0.280236,0.061687,1.000000,0.306499,0.288394,0.623915
7.221000,0.071000,14.785179,-0.031432,0.534070,-0.009239,566.488547,743.552929,550.978524,743.095114,-1.798641,0.545040,-0.083064,-0.009239,1.868820,-0.576472,0.617134,0.000000,14.785179,-0.031432,0.534070,-0.009239,1.000000,0.279237,0.062756,1.000000,0.308090,0.288746,0.622940
7.242000,0.092000,14.791176,-0.033798,0.516622,-0.009884,570.647683,741.027132,554.119926,740.567757,-1.789709,0.543327,-0.103686,-0.009884,1.865885,-0.577125,0.620308,0.000000,14.791176,-0.033798,0.516622,-0.009884,1.000000,0.275809,0.062636,1.000000,0.309671,0.289081,0.621962
7.265000,0.115000,14.790514,-0.029197,0.470317,-0.010180,579.251899,734.491019,563.870187,732.947882,-1.787422,0.548540,-0.153140,-0.010180,1.862936,-0.577736,0.623457,0.000000,14.790514,-0.029197,0.470317,-0.010180,1.000000,0.275603,0.064394,1.000000,0.311240,0.289394,0.620979
7.284000,0.134000,14.781397,-0.021116,0.415844,-0.009685,588.357702,726.518196,575.580014,723.753879,-1.793570,0.557170,-0.210732,-0.009685,1.859967,-0.578286,0.626577,0.000000,14.781397,-0.021116,0.415844,-0.009685,1.000000,0.278074,0.067663,1.000000,0.312795,0.289677,0.619989
7.305000,0.155000,14.784385,-0.029870,0.416088,-0.009352,589.289317,725.659568,574.682886,724.810963,-1.787602,0.548945,-0.213579,-0.009352,1.856987,-0.578815,0.629667,0.000000,14.784385,-0.029870,0.416088,-0.009352,1.000000,0.273090,0.066660,1.000000,0.314343,0.289940,0.618996
7.326000,0.176000,14.790254,-0.029121,0.412063,-0.007985,589.576403,724.744279,576.260580,724.714220,-1.778744,0.550167,-0.220675,-0.007985,1.853997,-0.579288,0.632738,0.000000,14.790254,-0.029121,0.412063,-0.007985,1.000000,0.269382,0.066784,1.000000,0.315877,0.290180,0.617999
7.343000,0.193000,14.798733,-0.037109,0.433208,-0.007276,586.408273,727.175774,571.650594,729.170631,-1.767268,0.542634,-0.202566,-0.007276,1.851001,-0.579743,0.635774,0.000000,14.798733,-0.037109,0.433208,-0.007276,1.000000,0.262537,0.064786,1.000000,0.317402,0.290403,0.617000
7.362000,0.212000,14.795036,-0.032922,0.451572,-0.006155,581.835395,729.944202,568.900892,731.916559,-1.767955,0.547213,-0.187218,-0.006155,1.847991,-0.580135,0.638790,0.000000,14.795036,-0.032922,0.451572,-0.006155,1.000000,0.258682,0.064710,1.000000,0.318914,0.290597,0.615997
7.382000,0.232000,14.777212,-0.010856,0.305656,-0.004194,605.683534,708.197567,599.946108,707.307778,-1.782748,0.569618,-0.336115,-0.004194,1.844959,-0.580474,0.641771,0.000000,14.777212,-0.010856,0.305656,-0.004194,1.000000,0.272601,0.075527,1.000000,0.320416,0.290756,0.614986
7.405000,0.255000,14.810396,-0.047488,0.546461,-0.006949,565.714020,743.633502,548.046012,747.743414,-1.746544,0.533288,-0.098299,-0.006949,1.841940,-0.580776,0.644760,0.000000,14.810396,-0.047488,0.546461,-0.006949,1.000000,0.245510,0.059915,1.000000,0.321908,0.290911,0.613980
7.421000,0.271000,14.823525,-0.042837,0.510725,-0.006669,572.431175,738.810047,556.376831,742.267228,-1.730396,0.538222,-0.136999,-0.006669,1.838920,-0.581059,0.647725,0.000000,14.823525,-0.042837,0.510725,-0.006669,1.000000,0.243089,0.060792,1.000000,0.323392,0.291052,0.612973
7.443000,0.293000,14.824549,-0.051677,0.575349,-0.008061,561.290472,748.256358,541.451905,752.362089,-1.726348,0.529611,-0.075338,-0.008061,1.835897,-0.581288,0.650688,0.000000,14.824549,-0.051677,0.575349,-0.008061,1.000000,0.236814,0.058426,1.000000,0.324868,0.291176,0.611966
7.463000,0.313000,14.815169,-0.020137,0.368486,-0.006728,596.906584,718.880656,586.892090,718.002068,-1.732696,0.561340,-0.285133,-0.006728,1.832865,-0.581478,0.653620,0.000000,14.815169,-0.020137,0.368486,-0.006728,1.000000,0.251945,0.069667,1.000000,0.326333,0.291274,0.610955
7.487000,0.337000,14.812442,-0.041786,0.579528,-0.010368,559.862778,750.352721,540.538977,751.052040,-1.732386,0.539833,-0.077041,-0.010368,1.829827,-0.581619,0.656570,0.000000,14.812442,-0.041786,0.579528,-0.010368,1.000000,0.232312,0.059758,1.000000,0.327797,0.291360,0.609942
