metric,value
duration_s,29.99
n_state_samples,2992
n_ctrl_samples,1498
trajectory_type,lissajous_3d
wind_x,0.0
wind_y,0.0
wind_z,0.0
is_wind,False
rmse_x,0.2771590787879339
max_err_x,0.45370849562465854
rmse_y,0.3565073651756621
max_err_y,0.6215007584941585
rmse_z,0.16223689250237633
max_err_z,0.2674316651610369
rmse_3d,0.47982857946134955
max_err_3d,0.7982468303257543
rmse_vx,0.36080680347146377
rmse_vy,0.9111954161168319
rmse_vz,0.5917911260437151
rmse_vel_3d,1.1448473141199704
settling_time_s,
ss_err_x,0.25536253854330226
ss_err_y,0.3334202435824338
ss_err_z,0.1527603785177882
ss_err_3d,0.4871847326989025
mean_thrust,14.975612356795224
max_thrust,19.63769380538307
min_thrust,10.135921392689513
thrust_dev,2.073657283768649
rms_tau_phi,0.1429340926214509
max_tau_phi,0.5559623183640698
rms_tau_theta,0.1387045361920276
max_tau_theta,0.4178806599868321
rms_tau_psi,0.0037437347545901524
max_tau_psi,0.015582515186489811
mean_motor_util,43.931455019095914
max_motor_util,54.31348440667142
mean_util_r0,43.972389072577926
mean_util_r1,43.90619364784547
mean_util_r2,43.93779990683174
mean_util_r3,43.90943744912851
sat_events,0
sat_pct,0.0
ctrl_energy,6892.226416417868
max_phi_deg,13.352017830368194
max_theta_deg,5.734834176587773
pct_within_linear,100.0
linearization_valid,True
ss_offset_x,-0.026314638385210563
ss_offset_y,0.03841037297260342
ss_offset_z,0.022313513907917148
wind_detected,False
has_mpc_debug,True
mpc_solve_ok,1498
mpc_solve_fail,0
mpc_solve_pct,100.0
cost_state_mean,11.272793779506728
cost_state_max,18.237140229348416
cost_input_mean,0.09911431743995645
cost_input_max,0.420765199737876
cost_total_mean,11.371908096946685
torque_scale_mean,1.0
torque_scale_min,1.0
torque_scaled_pct,0.0
ud_thrust_rms,2.6186986732604622
ui_thrust_rms,1.001764104856796
ud_tau_phi_rms,0.287977216916369
ui_tau_phi_rms,0.29182504553685534
ud_tau_theta_rms,0.47163546013117347
ui_tau_theta_rms,0.4424652376765567
ud_tau_psi_rms,0.0037437347545901524
ui_tau_psi_rms,0.0
int_err_mag_final,0.27123678501022186
int_err_mag_max,0.5956478585749445
