t,t_rel,x,y,z,phi,theta,psi,vx,vy,vz,p,q,r,ref_x,ref_y,ref_z,ref_phi,ref_theta,ref_psi,ref_vx,ref_vy,ref_vz,ref_p,ref_q,ref_r,err_x,err_y,err_z,err_phi,err_theta,err_psi,err_vx,err_vy,err_vz,err_3d,err_vel_3d
8.270000,0.000000,-0.000000,0.000000,1.000581,0.000000,0.000000,-0.000000,0.000000,-0.000001,0.054034,0.000001,0.000000,0.000000,0.000000,0.000001,1.000001,0.000000,0.000000,0.000000,0.000074,0.000149,0.000134,0.000000,0.000000,0.000000,-0.000001,-0.000001,0.000580,0.000000,0.000000,-0.000000,-0.000074,-0.000149,0.053900,0.000580,0.053900
8.280000,0.010000,-0.000000,0.000000,1.000604,0.000000,0.000000,-0.000000,0.000000,-0.000001,0.053875,0.000001,0.000000,0.000000,0.000000,0.000001,1.000001,0.000000,0.000000,0.000000,0.000074,0.000149,0.000134,0.000000,0.000000,0.000000,-0.000001,-0.000001,0.000603,0.000000,0.000000,-0.000000,-0.000074,-0.000149,0.053742,0.000603,0.053742
8.290000,0.020000,-0.000000,0.000000,1.000628,0.000000,0.000000,0.000000,0.000000,-0.000001,0.053782,0.000001,0.000000,0.000000,0.000000,0.000001,1.000001,0.000000,0.000000,0.000000,0.000074,0.000149,0.000134,0.000000,0.000000,0.000000,-0.000001,-0.000001,0.000627,0.000000,0.000000,0.000000,-0.000074,-0.000149,0.053648,0.000627,0.053648
8.301000,0.031000,-0.000000,0.000000,1.000497,0.000000,0.000000,0.000000,0.000000,-0.000001,0.053234,0.000001,0.000000,0.000000,0.000004,0.000008,1.000007,0.000000,0.000000,0.000000,0.000297,0.000594,0.000532,0.000000,0.000000,0.000000,-0.000004,-0.000008,0.000490,0.000000,0.000000,0.000000,-0.000297,-0.000594,0.052702,0.000490,0.052706
8.310000,0.040000,-0.000000,0.000000,1.001030,0.000000,0.000000,0.000000,0.000000,-0.000001,0.054677,-0.000062,0.000023,0.000000,0.000004,0.000008,1.000007,0.000000,0.000000,0.000000,0.000297,0.000594,0.000532,0.000000,0.000000,0.000000,-0.000004,-0.000008,0.001023,0.000000,0.000000,0.000000,-0.000297,-0.000594,0.054145,0.001023,0.054149
8.323000,0.053000,-0.000000,0.000000,1.000575,0.000000,0.000000,0.000000,0.000000,-0.000001,0.052985,-0.000249,0.000095,0.000000,0.000014,0.000028,1.000025,0.000000,0.000000,0.000000,0.000691,0.001375,0.001228,0.000000,0.000000,0.000000,-0.000014,-0.000028,0.000550,0.000000,0.000000,0.000000,-0.000691,-0.001376,0.051757,0.000551,0.051780
8.332000,0.062000,-0.000000,0.000000,1.000702,-0.000001,0.000000,0.000000,0.000000,-0.000001,0.053033,-0.000339,0.000128,0.000000,0.000014,0.000028,1.000025,0.000000,0.000000,0.000000,0.000691,0.001375,0.001228,0.000000,0.000000,0.000000,-0.000014,-0.000028,0.000677,-0.000001,0.000000,0.000000,-0.000691,-0.001376,0.051805,0.000677,0.051828
8.340000,0.070000,-0.000000,0.000000,1.001232,-0.000004,0.000002,0.000000,0.000000,-0.000000,0.054266,-0.000565,0.000213,0.000000,0.000032,0.000063,1.000056,0.000000,0.000000,0.000000,0.001187,0.002354,0.002089,0.000000,0.000000,0.000000,-0.000032,-0.000063,0.001176,-0.000004,0.000002,0.000000,-0.001187,-0.002354,0.052178,0.001178,0.052244
8.352000,0.082000,-0.000000,0.000000,1.000638,-0.000006,0.000002,0.000000,0.000000,-0.000000,0.052272,-0.001085,0.000427,0.000001,0.000032,0.000063,1.000056,0.000000,0.000000,0.000000,0.001187,0.002354,0.002089,0.000000,0.000000,0.000000,-0.000032,-0.000063,0.000582,-0.000006,0.000002,0.000000,-0.001186,-0.002354,0.050184,0.000586,0.050253
8.364000,0.094000,-0.000000,0.000000,1.000751,-0.000014,0.000006,0.000000,0.000001,0.000001,0.052814,-0.001352,0.000553,0.000009,0.000062,0.000123,1.000109,0.000000,0.000000,0.000000,0.001851,0.003654,0.003216,0.000000,0.000000,0.000000,-0.000062,-0.000122,0.000643,-0.000014,0.000006,0.000000,-0.001850,-0.003653,0.049598,0.000657,0.049767
8.370000,0.100000,-0.000000,0.000000,1.000796,-0.000027,0.000011,0.000000,0.000001,0.000002,0.053137,-0.001853,0.000760,0.000015,0.000062,0.000123,1.000109,0.000000,0.000000,0.000000,0.001851,0.003654,0.003216,0.000000,0.000000,0.000000,-0.000062,-0.000122,0.000687,-0.000027,0.000011,0.000000,-0.001850,-0.003651,0.049921,0.000700,0.050088
8.383000,0.113000,-0.000000,0.000000,1.000821,-0.000046,0.000018,0.000000,0.000003,0.000005,0.053394,-0.002379,0.000984,0.000017,0.000107,0.000211,1.000186,0.000000,0.000000,0.000000,0.002660,0.005219,0.004548,0.000000,0.000000,0.000000,-0.000107,-0.000211,0.000634,-0.000046,0.000018,0.000000,-0.002657,-0.005214,0.048845,0.000677,0.049195
8.390000,0.120000,-0.000000,0.000000,1.001355,-0.000070,0.000028,0.000001,0.000005,0.000010,0.055030,-0.003110,0.001309,0.000013,0.000107,0.000211,1.000186,0.000000,0.000000,0.000000,0.002660,0.005219,0.004548,0.000000,0.000000,0.000000,-0.000107,-0.000211,0.001168,-0.000070,0.000028,0.000001,-0.002655,-0.005209,0.050482,0.001192,0.050819
8.400000,0.130000,0.000000,0.000001,1.000725,-0.000095,0.000039,0.000001,0.000007,0.000017,0.053240,-0.003438,0.001452,0.000015,0.000169,0.000333,1.000292,0.000000,0.000000,0.000000,0.003611,0.007036,0.006059,0.000000,0.000000,0.000000,-0.000169,-0.000333,0.000433,-0.000095,0.000039,0.000001,-0.003604,-0.007019,0.047181,0.000572,0.047836
8.410000,0.140000,0.000000,0.000001,1.000842,-0.000132,0.000054,0.000001,0.000012,0.000028,0.053320,-0.004417,0.001914,0.000015,0.000169,0.000333,1.000292,0.000000,0.000000,0.000000,0.003611,0.007036,0.006059,0.000000,0.000000,0.000000,-0.000169,-0.000332,0.000550,-0.000132,0.000054,0.000001,-0.003599,-0.007008,0.047261,0.000665,0.047913
8.420000,0.150000,0.000000,0.000001,1.000885,-0.000176,0.000073,0.000001,0.000018,0.000042,0.053178,-0.005136,0.002242,0.000013,0.000252,0.000494,1.000430,0.000000,0.000000,0.000000,0.004703,0.009089,0.007717,0.000000,0.000000,0.000000,-0.000252,-0.000493,0.000456,-0.000176,0.000073,0.000001,-0.004685,-0.009047,0.045461,0.000717,0.046588
8.430000,0.160000,0.000001,0.000002,1.000907,-0.000228,0.000095,0.000001,0.000026,0.000062,0.053429,-0.005953,0.002651,0.000010,0.000252,0.000494,1.000430,0.000000,0.000000,0.000000,0.004703,0.009089,0.007717,0.000000,0.000000,0.000000,-0.000252,-0.000492,0.000477,-0.000228,0.000095,0.000001,-0.004677,-0.009027,0.045712,0.000730,0.046829
8.440000,0.170000,0.000001,0.000002,1.001441,-0.000287,0.000122,0.000001,0.000035,0.000084,0.055178,-0.006810,0.003090,0.000005,0.000358,0.000698,1.000602,0.000000,0.000000,0.000000,0.005932,0.011359,0.009489,0.000000,0.000000,0.000000,-0.000357,-0.000696,0.000839,-0.000287,0.000122,0.000001,-0.005896,-0.011275,0.045690,0.001147,0.047428
8.451000,0.181000,0.000001,0.000004,1.000813,-0.000348,0.000149,0.000002,0.000048,0.000114,0.053565,-0.007150,0.003291,0.000005,0.000358,0.000698,1.000602,0.000000,0.000000,0.000000,0.005932,0.011359,0.009489,0.000000,0.000000,0.000000,-0.000357,-0.000695,0.000211,-0.000348,0.000149,0.000002,-0.005884,-0.011245,0.044076,0.000809,0.045867
8.462000,0.192000,0.000002,0.000005,1.000935,-0.000424,0.000184,0.000002,0.000064,0.000152,0.054166,-0.008328,0.003922,0.000000,0.000490,0.000950,1.000810,0.000000,0.000000,0.000000,0.007295,0.013826,0.011337,0.000000,0.000000,0.000000,-0.000488,-0.000945,0.000125,-0.000424,0.000184,0.000002,-0.007231,-0.013674,0.042829,0.001071,0.045537
8.470000,0.200000,0.000003,0.000007,1.001476,-0.000507,0.000223,0.000002,0.000083,0.000195,0.056091,-0.009373,0.004490,-0.000002,0.000490,0.000950,1.000810,0.000000,0.000000,0.000000,0.007295,0.013826,0.011337,0.000000,0.000000,0.000000,-0.000488,-0.000943,0.000667,-0.000507,0.000223,0.000002,-0.007213,-0.013631,0.044754,0.001254,0.047337
8.480000,0.210000,0.000003,0.000008,1.001100,-0.000585,0.000260,0.000002,0.000104,0.000243,0.055292,-0.009456,0.004528,-0.000002,0.000669,0.001286,1.001082,0.000000,0.000000,0.000000,0.008947,0.016740,0.013409,0.000000,0.000000,0.000000,-0.000665,-0.001277,0.000018,-0.000585,0.000260,0.000002,-0.008843,-0.016497,0.041883,0.001440,0.045876
8.490000,0.220000,0.000005,0.000012,1.000889,-0.000685,0.000307,0.000001,0.000132,0.000306,0.054588,-0.010531,0.005167,-0.000004,0.000669,0.001286,1.001082,0.000000,0.000000,0.000000,0.008947,0.016740,0.013409,0.000000,0.000000,0.000000,-0.000664,-0.001274,-0.000193,-0.000685,0.000307,0.000001,-0.008815,-0.016434,0.041179,0.001450,0.045205
8.500000,0.230000,0.000006,0.000015,1.001435,-0.000790,0.000359,0.000001,0.000163,0.000375,0.056109,-0.011277,0.005634,-0.000004,0.000843,0.001609,1.001338,0.000000,0.000000,0.000000,0.010414,0.019258,0.015098,0.000000,0.000000,0.000000,-0.000837,-0.001595,0.000096,-0.000790,0.000359,0.000001,-0.010251,-0.018884,0.041012,0.001804,0.046299
8.513000,0.243000,0.000008,0.000020,1.000976,-0.000910,0.000418,0.000001,0.000202,0.000461,0.055160,-0.012771,0.006351,-0.000006,0.001080,0.002046,1.001676,0.000000,0.000000,0.000000,0.012251,0.022321,0.017013,0.000000,0.000000,0.000000,-0.001072,-0.002026,-0.000699,-0.000910,0.000418,0.000001,-0.012049,-0.021861,0.038147,0.002397,0.045588
8.521000,0.251000,0.000010,0.000024,1.001528,-0.001042,0.000483,0.000001,0.000244,0.000552,0.057183,-0.014241,0.007150,-0.000007,0.001080,0.002046,1.001676,0.000000,0.000000,0.000000,0.012251,0.022321,0.017013,0.000000,0.000000,0.000000,-0.001070,-0.002022,-0.000148,-0.001042,0.000483,0.000001,-0.012007,-0.021770,0.040170,0.002292,0.047241
8.532000,0.262000,0.000013,0.000031,1.001062,-0.001185,0.000555,0.000001,0.000296,0.000664,0.056205,-0.014779,0.007588,-0.000005,0.001330,0.002497,1.002015,0.000000,0.000000,0.000000,0.014027,0.025184,0.018655,0.000000,0.000000,0.000000,-0.001317,-0.002466,-0.000953,-0.001185,0.000555,0.000001,-0.013731,-0.024520,0.037550,0.002953,0.046902
8.541000,0.271000,0.000016,0.000038,1.001624,-0.001333,0.000631,0.000001,0.000352,0.000783,0.058250,-0.015397,0.008083,-0.000004,0.001330,0.002497,1.002015,0.000000,0.000000,0.000000,0.014027,0.025184,0.018655,0.000000,0.000000,0.000000,-0.001314,-0.002459,-0.000391,-0.001333,0.000631,0.000001,-0.013676,-0.024401,0.039595,0.002815,0.048479
8.550000,0.280000,0.000019,0.000044,1.001359,-0.001480,0.000704,0.000001,0.000412,0.000911,0.057810,-0.015335,0.008036,-0.000004,0.001330,0.002497,1.002015,0.000000,0.000000,0.000000,0.014027,0.025184,0.018655,0.000000,0.000000,0.000000,-0.001311,-0.002453,-0.000655,-0.001480,0.000704,0.000001,-0.013615,-0.024273,0.039155,0.002857,0.048038
8.560000,0.290000,0.000023,0.000053,1.001353,-0.001638,0.000787,0.000001,0.000482,0.001058,0.058133,-0.016222,0.008692,0.000003,0.001630,0.003031,1.002404,0.000000,0.000000,0.000000,0.016009,0.028262,0.020244,0.000000,0.000000,0.000000,-0.001607,-0.002978,-0.001051,-0.001638,0.000787,0.000001,-0.015527,-0.027204,0.037889,0.003543,0.049160
