t,t_rel,thrust,tau_phi,tau_theta,tau_psi,w0,w1,w2,w3,ud_T,ud_phi,ud_theta,ud_psi,ui_T,ui_phi,ui_theta,ui_psi,ut_T,ut_phi,ut_theta,ut_psi,torque_scale,cost_state,cost_input,solve_ok,int_err_x,int_err_y,int_err_z
9.869000,-0.001000,14.911171,-0.000001,-0.000000,0.000000,660.357300,660.357029,660.357049,660.357294,-1.846946,-0.000002,0.000000,0.000000,2.043118,0.000000,-0.000000,0.000000,14.911171,-0.000001,-0.000000,0.000000,1.000000,0.032215,0.034112,1.000000,-0.000000,-0.000000,0.681039
9.887000,0.017000,15.004403,-0.070066,0.060630,0.000000,659.481877,665.341937,644.516460,679.849092,-1.752181,-0.070067,0.060630,0.000000,2.041584,0.000000,-0.000000,0.000000,15.004403,-0.070066,0.060630,0.000000,1.000000,0.031517,0.031560,1.000000,-0.000000,-0.000000,0.680528
9.905000,0.035000,14.979071,-0.039077,0.040227,-0.000050,659.145446,664.597694,650.801745,672.698579,-1.775965,-0.039078,0.040227,-0.000050,2.040036,0.000000,-0.000000,0.000000,14.979071,-0.039077,0.040227,-0.000050,1.000000,0.032804,0.031855,1.000000,-0.000000,-0.000000,0.680012
9.925000,0.055000,15.018777,-0.036329,0.040552,-0.001171,660.074722,666.242823,651.531569,672.905939,-1.734704,-0.036328,0.040551,-0.001171,2.038482,-0.000001,0.000000,0.000000,15.018777,-0.036329,0.040552,-0.001171,1.000000,0.033160,0.030389,1.000000,0.000000,0.000000,0.679494
9.945000,0.075000,14.943525,0.003210,0.009649,-0.001317,659.553993,663.557189,659.304688,661.867637,-1.808351,0.003212,0.009648,-0.001317,2.036876,-0.000002,0.000001,0.000000,14.943525,0.003210,0.009649,-0.001317,1.000000,0.037962,0.032712,1.000000,0.000000,0.000001,0.678959
9.960000,0.090000,15.011904,0.008683,0.008623,-0.001561,660.751862,665.555057,661.484906,662.533805,-1.738399,0.008687,0.008621,-0.001561,2.035303,-0.000004,0.000002,0.000000,15.011904,0.008683,0.008623,-0.001561,1.000000,0.036830,0.030236,1.000000,0.000001,0.000002,0.678434
9.984000,0.114000,15.024663,0.038211,-0.019748,-0.001604,662.764328,664.144908,669.634102,654.834001,-1.724047,0.038220,-0.019753,-0.001604,2.033710,-0.000008,0.000004,0.000000,15.024663,0.038211,-0.019748,-0.001604,1.000000,0.039046,0.029909,1.000000,0.000002,0.000004,0.677903
10.008000,0.138000,14.978242,0.032899,-0.024853,-0.001310,663.061499,661.583234,669.027237,653.599132,-1.768825,0.032914,-0.024861,-0.001310,2.032068,-0.000015,0.000008,0.000000,14.978242,0.032899,-0.024853,-0.001310,1.000000,0.040068,0.031458,1.000000,0.000004,0.000008,0.677356
10.026000,0.156000,15.045402,0.033407,-0.025529,-0.001945,664.823861,663.249332,670.439602,654.682123,-1.700052,0.033432,-0.025542,-0.001945,2.030453,-0.000025,0.000013,0.000000,15.045402,0.033407,-0.025529,-0.001945,1.000000,0.037486,0.029079,1.000000,0.000006,0.000012,0.676818
10.044000,0.174000,15.051336,0.015654,-0.018206,-0.001666,665.476900,662.650576,667.587402,658.061098,-1.692490,0.015693,-0.018226,-0.001666,2.028826,-0.000038,0.000020,0.000000,15.051336,0.015654,-0.018206,-0.001666,1.000000,0.035821,0.028703,1.000000,0.000010,0.000019,0.676275
10.063000,0.193000,15.036197,0.008286,-0.011428,-0.001364,664.663814,662.576200,665.446937,659.777820,-1.705982,0.008342,-0.011457,-0.001364,2.027178,-0.000056,0.000029,0.000000,15.036197,0.008286,-0.011428,-0.001364,1.000000,0.035743,0.029124,1.000000,0.000015,0.000028,0.675726
10.084000,0.214000,15.035951,-0.015578,0.007928,-0.000560,663.601305,663.039240,659.930139,665.873416,-1.704570,-0.015499,0.007888,-0.000560,2.025522,-0.000079,0.000040,0.000000,15.035951,-0.015578,0.007928,-0.000560,1.000000,0.034560,0.029086,1.000000,0.000020,0.000039,0.675174
10.101000,0.231000,14.984433,-0.013309,0.011928,-0.000154,661.404447,662.663268,658.487501,665.336089,-1.754388,-0.013204,0.011874,-0.000154,2.023820,-0.000105,0.000054,0.000000,14.984433,-0.013309,0.011928,-0.000154,1.000000,0.036206,0.030810,1.000000,0.000027,0.000053,0.674607
10.128000,0.258000,15.058749,-0.014824,0.028217,-0.000560,660.578477,667.050517,657.050802,669.711662,-1.678411,-0.014669,0.028137,-0.000560,2.022160,-0.000155,0.000080,0.000000,15.058749,-0.014824,0.028217,-0.000560,1.000000,0.033513,0.028271,1.000000,0.000040,0.000077,0.674053
10.145000,0.275000,15.016872,0.004010,0.010171,-0.000576,660.744533,665.058839,661.185228,663.776001,-1.718596,0.004204,0.010073,-0.000576,2.020468,-0.000193,0.000099,0.000000,15.016872,0.004010,0.010171,-0.000576,1.000000,0.035105,0.029548,1.000000,0.000049,0.000097,0.673489
10.160000,0.290000,15.002833,0.012762,0.009723,-0.000562,659.582139,665.585021,661.877209,662.476622,-1.730937,0.013005,0.009599,-0.000562,2.018770,-0.000243,0.000123,0.000000,15.002833,0.012762,0.009723,-0.000562,1.000000,0.035407,0.029988,1.000000,0.000062,0.000121,0.672923
10.188000,0.318000,15.003686,0.019974,0.003185,-0.000586,659.963078,665.262747,663.754514,660.615383,-1.728388,0.020274,0.003033,-0.000586,2.017074,-0.000300,0.000152,0.000000,15.003686,0.019974,0.003185,-0.000586,1.000000,0.035213,0.029915,1.000000,0.000076,0.000150,0.672358
10.201000,0.331000,14.968178,0.024031,-0.003526,-0.000513,659.866028,663.742336,664.560419,658.283584,-1.762180,0.024397,-0.003709,-0.000513,2.015358,-0.000365,0.000184,0.000000,14.968178,0.024031,-0.003526,-0.000513,1.000000,0.035909,0.031114,1.000000,0.000092,0.000183,0.671786
10.224000,0.354000,14.903714,0.028153,-0.004781,-0.000502,658.210844,662.536665,663.789517,656.202055,-1.824891,0.028593,-0.005001,-0.000502,2.013605,-0.000441,0.000220,0.000000,14.903714,0.028153,-0.004781,-0.000502,1.000000,0.037427,0.033387,1.000000,0.000110,0.000220,0.671202
10.246000,0.376000,14.934163,0.015877,-0.003094,-0.000466,659.882953,662.191161,662.898531,658.482162,-1.792719,0.016408,-0.003359,-0.000466,2.011882,-0.000531,0.000265,0.000000,14.934163,0.015877,-0.003094,-0.000466,1.000000,0.035495,0.032166,1.000000,0.000133,0.000266,0.670627
10.264000,0.394000,14.851155,0.014072,0.010412,-0.000304,655.862391,662.399856,658.629491,659.199388,-1.873992,0.014736,0.010077,-0.000304,2.010147,-0.000664,0.000335,0.000000,14.851155,0.014072,0.010412,-0.000304,1.000000,0.037047,0.035150,1.000000,0.000168,0.000332,0.670049
10.286000,0.416000,14.836972,0.008321,0.008825,-0.000086,656.351547,661.127519,658.054154,659.305975,-1.886448,0.009135,0.008410,-0.000086,2.008420,-0.000814,0.000416,0.000000,14.836972,0.008321,0.008825,-0.000086,1.000000,0.036925,0.035602,1.000000,0.000208,0.000407,0.669473
10.317000,0.447000,14.787593,0.010833,-0.003269,0.000088,656.959194,658.127012,659.280812,655.931465,-1.934060,0.011800,-0.003765,0.000088,2.006654,-0.000967,0.000496,0.000000,14.787593,0.010833,-0.003269,0.000088,1.000000,0.037312,0.037421,1.000000,0.000248,0.000484,0.668885
10.321000,0.451000,14.785828,0.010680,-0.003189,0.000088,656.959194,658.127012,659.280812,655.931465,-1.934060,0.011800,-0.003765,0.000088,2.004888,-0.001121,0.000577,0.000000,14.785828,0.010680,-0.003189,0.000088,1.000000,0.037312,0.037421,1.000000,0.000288,0.000560,0.668296
10.342000,0.472000,14.795170,0.007800,-0.001541,0.000136,657.173069,658.292720,658.919619,656.746422,-1.922951,0.009078,-0.002200,0.000136,2.003121,-0.001278,0.000659,0.000000,14.795170,0.007800,-0.001541,0.000136,1.000000,0.036513,0.036986,1.000000,0.000329,0.000639,0.667707
10.364000,0.494000,14.748785,0.020703,0.004874,0.000169,653.654887,659.708863,658.170064,655.455771,-1.967605,0.022182,0.004104,0.000169,2.001390,-0.001479,0.000770,0.000000,14.748785,0.020703,0.004874,0.000169,1.000000,0.036251,0.038766,1.000000,0.000385,0.000740,0.667130
10.382000,0.512000,14.753826,0.014244,-0.002689,0.000165,655.754926,657.848364,658.889441,654.954965,-1.960810,0.015906,-0.003555,0.000165,1.999636,-0.001662,0.000867,0.000000,14.753826,0.014244,-0.002689,0.000165,1.000000,0.036129,0.038474,1.000000,0.000433,0.000831,0.666545
10.402000,0.532000,14.721393,0.021555,0.001955,0.000219,653.435817,658.673723,658.168131,654.271825,-1.991493,0.023417,0.000979,0.000219,1.997886,-0.001863,0.000976,0.000000,14.721393,0.021555,0.001955,0.000219,1.000000,0.036124,0.039715,1.000000,0.000488,0.000931,0.665962
10.430000,0.560000,14.621590,0.018429,0.000777,0.000192,651.745806,655.931661,655.807489,652.157295,-2.089506,0.020504,-0.000314,0.000192,1.996096,-0.002074,0.001092,0.000000,14.621590,0.018429,0.000777,0.000192,1.000000,0.038817,0.043702,1.000000,0.000546,0.001037,0.665365
