t,t_rel,thrust,tau_phi,tau_theta,tau_psi,w0,w1,w2,w3,ud_T,ud_phi,ud_theta,ud_psi,ui_T,ui_phi,ui_theta,ui_psi,ut_T,ut_phi,ut_theta,ut_psi,torque_scale,cost_state,cost_input,solve_ok,int_err_x,int_err_y,int_err_z
7.366000,0.016000,14.860040,0.000000,1.764451,0.000000,194.030437,911.868817,194.030594,911.868793,-1.886663,0.000010,1.764454,0.000000,2.031703,-0.000010,-0.000004,0.000000,14.860040,0.000000,1.764451,0.000000,1.000000,1.282620,0.346925,1.000000,-0.000002,0.000005,0.677234
7.382000,0.032000,14.916530,0.000016,1.107454,0.000000,432.544405,827.865905,432.549539,827.863224,-1.828862,0.000026,1.107078,0.000000,2.030393,-0.000010,0.000376,0.000000,14.916530,0.000016,1.107454,0.000000,1.000000,1.365296,0.156010,1.000000,0.000188,0.000005,0.676798
7.401000,0.051000,14.917394,0.000211,0.324784,-0.000001,602.628762,713.685091,602.677005,713.643359,-1.826666,0.000222,0.323628,-0.000001,2.029060,-0.000010,0.001156,0.000000,14.917394,0.000211,0.324784,-0.000001,1.000000,1.643021,0.043841,1.000000,0.000578,0.000005,0.676353
7.422000,0.072000,14.872050,0.001244,0.092178,-0.000009,643.445486,675.160234,643.708522,674.896979,-1.870626,0.001255,0.089842,-0.000009,2.027677,-0.000010,0.002335,0.000000,14.872050,0.001244,0.092178,-0.000009,1.000000,1.712608,0.035800,1.000000,0.001168,0.000005,0.675892
7.442000,0.092000,14.881750,0.003744,-0.416872,-0.000046,726.973350,584.788210,727.660653,583.855447,-1.859527,0.003754,-0.420784,-0.000046,2.026277,-0.000011,0.003912,0.000000,14.881750,0.003744,-0.416872,-0.000046,1.000000,1.903831,0.052286,1.000000,0.001956,0.000005,0.675426
7.461000,0.111000,14.902273,0.008522,-0.792209,-0.000123,782.876697,508.769670,784.318361,506.307887,-1.837589,0.008532,-0.798091,-0.000123,2.024863,-0.000011,0.005882,0.000000,14.902273,0.008522,-0.792209,-0.000123,1.000000,1.993439,0.097469,1.000000,0.002941,0.000005,0.674954
7.486000,0.136000,14.868407,0.013773,-0.938453,-0.000290,802.589869,475.156702,804.808953,470.788691,-1.869988,0.013783,-0.946686,-0.000290,2.023395,-0.000011,0.008233,0.000000,14.868407,0.013773,-0.938453,-0.000290,1.000000,1.897492,0.124609,1.000000,0.004117,0.000005,0.674465
7.502000,0.152000,14.823411,0.016978,-0.829471,-0.000396,786.079708,499.474678,788.848683,494.309392,-1.913449,0.016988,-0.840447,-0.000396,2.021860,-0.000011,0.010976,0.000000,14.823411,0.016978,-0.829471,-0.000396,1.000000,1.658608,0.107277,1.000000,0.005488,0.000005,0.673953
7.522000,0.172000,14.802761,0.019292,-0.585278,-0.000445,749.722963,551.499367,753.023608,546.190471,-1.932501,0.019302,-0.599342,-0.000445,2.020262,-0.000010,0.014064,0.000000,14.802761,0.019292,-0.585278,-0.000445,1.000000,1.420560,0.073304,1.000000,0.007032,0.000005,0.673421
7.541000,0.191000,14.764362,0.021276,-0.293777,-0.000377,703.617900,607.326946,707.568973,602.108664,-1.969215,0.021286,-0.311266,-0.000377,2.018578,-0.000010,0.017489,0.000000,14.764362,0.021276,-0.293777,-0.000377,1.000000,1.242082,0.048512,1.000000,0.008744,0.000005,0.672859
7.562000,0.212000,14.738892,0.023426,-0.031185,-0.000197,659.452412,653.743735,664.243692,648.579511,-1.992916,0.023435,-0.052421,-0.000197,2.016809,-0.000008,0.021236,0.000000,14.738892,0.023426,-0.031185,-0.000197,1.000000,1.138472,0.040047,1.000000,0.010618,0.000004,0.672270
