t,t_rel,x,y,z,phi,theta,psi,vx,vy,vz,p,q,r,ref_x,ref_y,ref_z,ref_phi,ref_theta,ref_psi,ref_vx,ref_vy,ref_vz,ref_p,ref_q,ref_r,err_x,err_y,err_z,err_phi,err_theta,err_psi,err_vx,err_vy,err_vz,err_3d,err_vel_3d
8.510000,0.000000,-0.085408,0.002096,1.049720,-0.021731,-0.000091,0.002203,0.043526,0.153373,0.029622,-0.012013,0.093273,-0.000272,0.010000,0.000000,1.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000045,0.000000,0.000000,0.000000,-0.095408,0.002096,0.049719,-0.021731,-0.000091,0.002203,-0.456474,0.153373,0.029577,0.107606,0.482459
8.520000,0.010000,-0.084973,0.003629,1.050016,-0.021801,0.000191,0.002205,0.043509,0.155515,0.030087,-0.012926,0.114824,-0.000436,0.010000,0.000000,1.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000045,0.000000,0.000000,0.000000,-0.094973,0.003629,0.050016,-0.021801,0.000191,0.002205,-0.456491,0.155515,0.030042,0.107399,0.483189
8.530000,0.020000,-0.084611,0.003847,1.049978,-0.021758,0.001310,0.002180,0.043244,0.153181,0.029576,-0.016209,0.445767,-0.001679,0.010000,0.000000,1.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000045,0.000000,0.000000,0.000000,-0.094611,0.003847,0.049978,-0.021758,0.001310,0.002180,-0.456756,0.153181,0.029532,0.107070,0.482661
8.540000,0.030000,-0.084034,0.004523,1.049999,-0.021905,0.000765,0.002202,0.043786,0.152941,0.029252,-0.007409,0.451636,0.000671,0.020500,0.000000,1.000003,0.000000,0.000000,0.000000,0.500000,0.000000,0.000187,0.000000,0.000000,0.000000,-0.104534,0.004523,0.049997,-0.021905,0.000765,0.002202,-0.456214,0.152941,0.029065,0.115963,0.482044
8.550000,0.040000,-0.083446,0.005728,1.050191,-0.021965,0.004453,0.002181,0.044507,0.154265,0.029395,0.003497,0.578761,0.004401,0.020500,0.000000,1.000003,0.000000,0.000000,0.000000,0.500000,0.000000,0.000187,0.000000,0.000000,0.000000,-0.103946,0.005728,0.050188,-0.021965,0.004453,0.002181,-0.455493,0.154265,0.029208,0.115570,0.481794
8.560000,0.050000,-0.083001,0.007270,1.050485,-0.021930,0.010240,0.002098,0.044941,0.156431,0.029834,0.002721,0.793135,0.003517,0.031000,0.000000,1.000009,0.000000,0.000000,0.000000,0.500000,0.000000,0.000428,0.000000,0.000000,0.000000,-0.114001,0.007270,0.050476,-0.021930,0.010240,0.002098,-0.455059,0.156431,0.029406,0.124887,0.482094
8.571000,0.061000,-0.082579,0.007085,1.050492,-0.021674,0.015454,0.002090,0.045899,0.152985,0.029396,0.004933,0.777996,0.006593,0.031000,0.000000,1.000009,0.000000,0.000000,0.000000,0.500000,0.000000,0.000428,0.000000,0.000000,0.000000,-0.113579,0.007085,0.050483,-0.021674,0.015454,0.002090,-0.454101,0.152985,0.028968,0.124495,0.480053
8.580000,0.070000,-0.081988,0.008206,1.050798,-0.021624,0.023796,0.002019,0.048132,0.153983,0.029833,0.005900,0.978016,0.008042,0.040000,0.000000,1.000019,0.000000,0.000000,0.000000,0.500000,0.000000,0.000712,0.000000,0.000000,0.000000,-0.121988,0.008206,0.050779,-0.021624,0.023796,0.002019,-0.451868,0.153983,0.029121,0.132389,0.478271
8.591000,0.081000,-0.081412,0.009146,1.051114,-0.021538,0.033164,0.001925,0.051058,0.154279,0.030233,0.002360,1.003775,0.007749,0.050000,0.000000,1.000037,0.000000,0.000000,0.000000,0.500000,0.000000,0.001111,0.000000,0.000000,0.000000,-0.131412,0.009146,0.051077,-0.021538,0.033164,0.001925,-0.448942,0.154279,0.029123,0.141285,0.475604
8.600000,0.090000,-0.080901,0.010688,1.051417,-0.021519,0.043201,0.001786,0.054320,0.156406,0.030555,-0.006646,1.083025,0.004815,0.050000,0.000000,1.000037,0.000000,0.000000,0.000000,0.500000,0.000000,0.001111,0.000000,0.000000,0.000000,-0.130901,0.010688,0.051380,-0.021519,0.043201,0.001786,-0.445680,0.156406,0.029444,0.141029,0.473244
