metric,value
duration_s,9.988999999999999
n_state_samples,998
n_ctrl_samples,500
trajectory_type,sine_2d
wind_x,0.0
wind_y,0.0
wind_z,0.0
is_wind,False
rmse_x,0.06482398417428117
max_err_x,0.15969599999999998
rmse_y,0.03500000258030337
max_err_y,0.061528
rmse_z,0.03397835597051331
max_err_z,0.06888899999999998
rmse_3d,0.08112754020249606
max_err_3d,0.17058678890523732
rmse_vx,0.09588257069106801
rmse_vy,0.029897121642057115
rmse_vz,0.03243973271609035
rmse_vel_3d,0.10554450011013837
settling_time_s,9.949
ss_err_x,0.04308102000000002
ss_err_y,0.020337104999999998
ss_err_z,0.010574504999999991
ss_err_3d,0.05076519767397855
mean_thrust,14.91953551
max_thrust,15.832039
min_thrust,13.928735
thrust_dev,0.410205374
rms_tau_phi,0.11197818853269596
max_tau_phi,0.209373
rms_tau_theta,0.18240154986706664
max_tau_theta,2.077989
rms_tau_psi,0.0009597466499029836
max_tau_psi,0.003178
mean_motor_util,43.957991878933335
max_motor_util,63.3629612
mean_util_r0,43.16585624893334
mean_util_r1,44.74159954653333
mean_util_r2,44.67230196906666
mean_util_r3,43.252209751200006
sat_events,0
sat_pct,0.0
ctrl_energy,2223.967325609139
max_phi_deg,0.6034964456112961
max_theta_deg,7.819155030150345
pct_within_linear,100.0
linearization_valid,True
ss_offset_x,-0.04308102000000002
ss_offset_y,0.019544515
ss_offset_z,0.010574504999999991
wind_detected,False
has_mpc_debug,True
mpc_solve_ok,500
mpc_solve_fail,0
mpc_solve_pct,100.0
cost_state_mean,0.20755560799999997
cost_state_max,2.519443
cost_input_mean,0.028184182000000002
cost_input_max,0.464556
cost_total_mean,0.23573978999999998
torque_scale_mean,1.0
torque_scale_min,1.0
torque_scaled_pct,0.0
ud_thrust_rms,1.3590976951027383
ui_thrust_rms,1.4541108894997286
ud_tau_phi_rms,0.10538022916253313
ui_tau_phi_rms,0.1747726495387479
ud_tau_theta_rms,0.2932937680664422
ui_tau_theta_rms,0.2318480308715733
ud_tau_psi_rms,0.0009597466499029836
ui_tau_psi_rms,0.0
int_err_mag_final,0.3959501637959
int_err_mag_max,0.6665160000435099
