t,t_rel,thrust,tau_phi,tau_theta,tau_psi,w0,w1,w2,w3,ud_T,ud_phi,ud_theta,ud_psi,ui_T,ui_phi,ui_theta,ui_psi,ut_T,ut_phi,ut_theta,ut_psi,torque_scale,cost_state,cost_input,solve_ok,int_err_x,int_err_y,int_err_z
7.507000,-0.003000,14.768481,-0.019789,0.452310,-0.009015,580.593152,731.776727,568.512973,729.247596,-1.803907,0.575188,-0.188569,-0.009015,1.857388,-0.594977,0.640879,0.000000,14.768481,-0.019789,0.452310,-0.009015,1.000000,0.285623,0.069189,1.000000,0.319913,0.298055,0.619129
7.526000,0.016000,14.789680,-0.043052,2.318121,-0.010567,0.000000,976.422185,0.000000,977.036175,-1.779858,0.552292,1.674086,-0.010567,1.854537,-0.595344,0.644035,0.000000,14.789680,-0.043052,2.318121,-0.010567,1.000000,1.388110,0.342449,1.000000,0.321483,0.298249,0.618179
7.544000,0.034000,14.789048,-0.038454,1.766642,-0.009670,211.949545,910.771113,158.855261,911.229365,-1.777622,0.557194,1.119012,-0.009670,1.851670,-0.595648,0.647630,0.000000,14.789048,-0.038454,1.766642,-0.009670,1.000000,1.514314,0.187874,1.000000,0.323269,0.298416,0.617223
7.562000,0.052000,14.775785,-0.062367,1.072764,-0.022886,458.359569,822.460082,414.096322,818.803507,-1.787994,0.533545,0.421244,-0.022886,1.848779,-0.595912,0.651520,0.000000,14.775785,-0.062367,1.072764,-0.022886,1.000000,1.796056,0.078233,1.000000,0.325211,0.298555,0.616260
7.581000,0.071000,14.765808,-0.064919,0.510714,-0.028391,582.366464,743.078855,542.873334,735.699419,-1.795057,0.531265,-0.145036,-0.028391,1.845865,-0.596184,0.655750,0.000000,14.765808,-0.064919,0.510714,-0.028391,1.000000,2.086131,0.062631,1.000000,0.327343,0.298676,0.615288
7.606000,0.096000,14.731915,-0.015547,-0.400850,-0.023835,730.912702,592.165706,712.583001,575.020919,-1.825994,0.580886,-1.061143,-0.023835,1.842909,-0.596433,0.660293,0.000000,14.731915,-0.015547,-0.400850,-0.023835,1.000000,2.654959,0.179745,1.000000,0.329660,0.298754,0.614303
7.623000,0.113000,14.714664,-0.039594,-0.457735,-0.026976,742.517619,579.321987,717.816191,564.882964,-1.840251,0.557077,-1.122947,-0.026976,1.839915,-0.596671,0.665212,0.000000,14.714664,-0.039594,-0.457735,-0.026976,1.000000,2.496791,0.191072,1.000000,0.332163,0.298829,0.613305
7.646000,0.136000,14.679513,-0.004012,-0.608251,-0.015446,757.533445,547.534302,747.261258,533.982408,-1.872350,0.592919,-1.278674,-0.015446,1.836863,-0.596932,0.670423,0.000000,14.679513,-0.004012,-0.608251,-0.015446,1.000000,2.402103,0.233737,1.000000,0.334845,0.298877,0.612288
7.666000,0.156000,14.665235,0.012240,-0.339624,-0.000149,709.679642,595.196110,711.980535,592.196960,-1.883524,0.609426,-1.015976,-0.000149,1.833759,-0.597185,0.676352,0.000000,14.665235,0.012240,-0.339624,-0.000149,1.000000,2.125456,0.175837,1.000000,0.337904,0.298900,0.611253
7.682000,0.172000,14.633298,0.006522,-0.267608,0.005260,696.272916,604.951973,701.067756,607.883463,-1.912282,0.603913,-0.949802,0.005260,1.830581,-0.597391,0.682194,0.000000,14.633298,0.006522,-0.267608,0.005260,1.000000,1.883050,0.163254,1.000000,0.340928,0.298888,0.610194
7.702000,0.192000,14.605290,-0.002131,0.164822,0.015803,618.877284,675.158040,630.148294,687.437574,-1.937034,0.595443,-0.523544,0.015803,1.827323,-0.597574,0.688366,0.000000,14.605290,-0.002131,0.164822,0.015803,1.000000,1.645845,0.100411,1.000000,0.344115,0.298865,0.609108
7.728000,0.218000,14.556897,-0.003764,0.724112,0.018657,504.657911,760.628400,520.530421,773.729135,-1.982067,0.593900,0.029245,0.018657,1.823964,-0.597664,0.694866,0.000000,14.556897,-0.003764,0.724112,0.018657,1.000000,1.515462,0.074678,1.000000,0.347444,0.298819,0.607988
7.745000,0.235000,14.561266,0.013722,0.612091,0.012482,529.564333,747.710815,543.919642,753.655439,-1.974268,0.611300,-0.089621,0.012482,1.820534,-0.597578,0.701712,0.000000,14.561266,0.013722,0.612091,0.012482,1.000000,1.483197,0.077165,1.000000,0.350907,0.298729,0.606845
7.764000,0.254000,14.528865,-0.002460,0.878557,0.009584,472.383267,785.680683,480.997222,792.317082,-2.003139,0.594998,0.169306,0.009584,1.817005,-0.597458,0.709251,0.000000,14.528865,-0.002460,0.878557,0.009584,1.000000,1.526540,0.078404,1.000000,0.354706,0.298634,0.605668
7.791000,0.281000,14.538396,0.014484,0.537341,-0.001825,544.627624,752.843462,534.550996,742.200075,-1.990008,0.611643,-0.179757,-0.001825,1.813404,-0.597159,0.717099,0.000000,14.538396,0.014484,0.537341,-0.001825,1.000000,1.504564,0.080244,1.000000,0.358620,0.298495,0.604468
7.803000,0.293000,14.532571,0.006754,0.594854,-0.013739,544.627624,752.843462,534.550996,742.200075,-1.992150,0.603545,-0.130016,-0.013739,1.809721,-0.596791,0.724870,0.000000,14.532571,0.006754,0.594854,-0.013739,1.000000,1.420104,0.077823,1.000000,0.362472,0.298351,0.603240
7.822000,0.312000,14.521462,0.009045,0.472792,-0.019123,570.905814,736.245634,557.403500,721.116487,-1.999494,0.605384,-0.260107,-0.019123,1.805956,-0.596339,0.732899,0.000000,14.521462,0.009045,0.472792,-0.019123,1.000000,1.416581,0.083431,1.000000,0.366437,0.298185,0.601985
7.846000,0.336000,14.513375,0.025675,0.206793,-0.017289,618.359371,695.242316,611.120418,677.166440,-2.003732,0.621492,-0.534702,-0.017289,1.802107,-0.595817,0.741495,0.000000,14.513375,0.025675,0.206793,-0.017289,1.000000,1.504950,0.107395,1.000000,0.370688,0.297982,0.600702
7.865000,0.355000,14.502022,0.046174,0.251552,-0.021875,609.295783,705.900107,603.152783,680.510906,-2.011112,0.641336,-0.498715,-0.021875,1.798134,-0.595162,0.750268,0.000000,14.502022,0.046174,0.251552,-0.021875,1.000000,1.457067,0.106496,1.000000,0.374995,0.297756,0.599378
7.882000,0.372000,14.473312,0.051400,0.228858,-0.017641,610.584877,700.654009,608.893997,677.188581,-2.035790,0.646036,-0.529905,-0.017641,1.794102,-0.594636,0.758764,0.000000,14.473312,0.051400,0.228858,-0.017641,1.000000,1.398468,0.111292,1.000000,0.379225,0.297518,0.598034
7.902000,0.392000,14.478127,0.058884,0.292301,-0.012897,596.186416,709.893339,599.887655,688.750628,-2.026867,0.652910,-0.475125,-0.012897,1.789994,-0.594026,0.767426,0.000000,14.478127,0.058884,0.292301,-0.012897,1.000000,1.388365,0.106302,1.000000,0.383526,0.297254,0.596665
7.922000,0.412000,14.482086,0.054575,0.382495,-0.006743,577.067858,721.534385,584.763004,706.063512,-2.018720,0.647929,-0.393676,-0.006743,1.785807,-0.593354,0.776171,0.000000,14.482086,0.054575,0.382495,-0.006743,1.000000,1.372622,0.098236,1.000000,0.387872,0.296956,0.595269
7.944000,0.434000,14.531651,0.050597,0.436721,-0.005927,567.832399,730.266588,575.346312,716.340913,-1.964927,0.643250,-0.348385,-0.005927,1.781578,-0.592653,0.785106,0.000000,14.531651,0.050597,0.436721,-0.005927,1.000000,1.395534,0.092127,1.000000,0.392317,0.296638,0.593859
