t,t_rel,x,y,z,phi,theta,psi,vx,vy,vz,p,q,r,ref_x,ref_y,ref_z,ref_phi,ref_theta,ref_psi,ref_vx,ref_vy,ref_vz,ref_p,ref_q,ref_r,err_x,err_y,err_z,err_phi,err_theta,err_psi,err_vx,err_vy,err_vz,err_3d,err_vel_3d
7.510000,0.000000,-0.078529,-0.009700,1.047508,-0.020178,-0.000291,0.001793,0.027100,0.130878,0.035041,-0.004515,0.060590,0.000038,0.011500,0.000000,1.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.090029,-0.009700,0.047508,-0.020178,-0.000291,0.001793,-0.472900,0.130878,0.035041,0.102256,0.491926
7.523000,0.013000,-0.078169,-0.009323,1.047559,-0.020236,-0.000522,0.001815,0.027321,0.130135,0.034506,-0.001948,0.052101,-0.000087,0.011500,0.000000,1.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.089669,-0.009323,0.047559,-0.020236,-0.000522,0.001815,-0.472679,0.130135,0.034506,0.101928,0.491478
7.531000,0.021000,-0.077788,-0.008375,1.047785,-0.020239,-0.000794,0.001831,0.027620,0.131153,0.034634,-0.005539,0.309696,-0.000413,0.011500,0.000000,1.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.089288,-0.008375,0.047785,-0.020239,-0.000794,0.001831,-0.472380,0.131153,0.034634,0.101617,0.491471
7.543000,0.033000,-0.077436,-0.007613,1.047976,-0.020104,-0.000086,0.001844,0.027803,0.131451,0.034649,0.002775,0.340737,0.001344,0.020000,0.000000,1.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.097436,-0.007613,0.047976,-0.020104,-0.000086,0.001844,-0.472197,0.131451,0.034649,0.108873,0.491375
7.550000,0.040000,-0.077105,-0.006931,1.048181,-0.019882,0.003355,0.001840,0.028047,0.131436,0.034709,0.009832,0.591408,0.004889,0.020000,0.000000,1.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.097105,-0.006931,0.048181,-0.019882,0.003355,0.001840,-0.471953,0.131436,0.034709,0.108622,0.491141
7.560000,0.050000,-0.076824,-0.005616,1.048528,-0.019784,0.009269,0.001772,0.028374,0.133397,0.035183,-0.001255,0.843786,0.003878,0.030000,0.000000,1.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.106824,-0.005616,0.048528,-0.019784,0.009269,0.001772,-0.471626,0.133397,0.035183,0.117465,0.491389
7.572000,0.062000,-0.076579,-0.006068,1.048562,-0.019279,0.014331,0.001784,0.029108,0.129534,0.034641,0.004998,0.778832,0.007239,0.040000,0.000000,1.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.116579,-0.006068,0.048562,-0.019279,0.014331,0.001784,-0.470892,0.129534,0.034641,0.126434,0.489610
7.580000,0.070000,-0.076188,-0.005195,1.048927,-0.019176,0.022938,0.001734,0.031084,0.130210,0.035074,-0.002433,0.994820,0.008664,0.040000,0.000000,1.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.116188,-0.005195,0.048927,-0.019176,0.022938,0.001734,-0.468916,0.130210,0.035074,0.126177,0.487921
7.590000,0.080000,-0.075878,-0.003893,1.049278,-0.019203,0.032886,0.001630,0.033338,0.132101,0.035368,-0.021180,1.067779,0.005767,0.040000,0.000000,1.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.115878,-0.003893,0.049278,-0.019203,0.032886,0.001630,-0.466662,0.132101,0.035368,0.125980,0.486287
7.600000,0.090000,-0.075650,-0.004112,1.049431,-0.018742,0.041805,0.001590,0.036034,0.128751,0.035055,-0.012791,1.033890,0.008223,0.050000,0.000000,1.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.125650,-0.004112,0.049431,-0.018742,0.041805,0.001590,-0.463966,0.128751,0.035055,0.135086,0.482773
