metric,value
duration_s,9.979
n_state_samples,998
n_ctrl_samples,500
trajectory_type,step_2d
wind_x,0.0
wind_y,0.0
wind_z,0.0
is_wind,False
rmse_x,0.06395995855185423
max_err_x,0.159222
rmse_y,0.03735848263212988
max_err_y,0.067239
rmse_z,0.03798646344957387
max_err_z,0.10073299999999996
rmse_3d,0.08324364196703478
max_err_3d,0.16863838265353473
rmse_vx,0.0944372270065538
rmse_vy,0.03230657735038164
rmse_vz,0.06279472797253197
rmse_vel_3d,0.11792066250631335
settling_time_s,
ss_err_x,0.036742165
ss_err_y,0.022515769999999997
ss_err_z,0.023305950000000086
ss_err_3d,0.05034802821480964
mean_thrust,14.8917847
max_thrust,15.641325
min_thrust,14.647362
thrust_dev,0.1793731840000001
rms_tau_phi,0.11174265254139978
max_tau_phi,0.21738
rms_tau_theta,0.1679733982966827
max_tau_theta,2.077991
rms_tau_psi,0.0010302989216727347
max_tau_psi,0.003111
mean_motor_util,43.92972837273334
max_motor_util,63.40315733333334
mean_util_r0,43.1429632324
mean_util_r1,44.708641357999994
mean_util_r2,44.637983487199996
mean_util_r3,43.22932541333334
sat_events,0
sat_pct,0.0
ctrl_energy,2214.7420618205138
max_phi_deg,0.6097416855782221
max_theta_deg,7.423756855730563
pct_within_linear,100.0
linearization_valid,True
ss_offset_x,-0.036742165
ss_offset_y,0.02246137
ss_offset_z,0.023305950000000086
wind_detected,False
has_mpc_debug,True
mpc_solve_ok,500
mpc_solve_fail,0
mpc_solve_pct,100.0
cost_state_mean,0.22849470600000002
cost_state_max,2.629324
cost_input_mean,0.030859766
cost_input_max,0.46587
cost_total_mean,0.259354472
torque_scale_mean,1.0
torque_scale_min,1.0
torque_scaled_pct,0.0
ud_thrust_rms,1.4707824414457857
ui_thrust_rms,1.6290864126393099
ud_tau_phi_rms,0.10997605490282873
ui_tau_phi_rms,0.17741577341808704
ud_tau_theta_rms,0.283164034831629
ui_tau_theta_rms,0.22954223168424584
ud_tau_psi_rms,0.0010302989216727347
ui_tau_psi_rms,0.0
int_err_mag_final,0.47396963361907485
int_err_mag_max,0.6915280000028922
