t,t_rel,thrust,tau_phi,tau_theta,tau_psi,w0,w1,w2,w3,ud_T,ud_phi,ud_theta,ud_psi,ui_T,ui_phi,ui_theta,ui_psi,ut_T,ut_phi,ut_theta,ut_psi,torque_scale,cost_state,cost_input,solve_ok,int_err_x,int_err_y,int_err_z
7.508000,0.028000,14.932501,-0.000000,0.000000,0.000000,660.829279,660.829303,660.829267,660.829315,-1.768038,0.000002,0.000001,0.000000,1.985539,-0.000002,-0.000001,0.000000,14.932501,-0.000000,0.000000,0.000000,1.000000,0.029103,0.031260,1.000000,-0.000000,0.000001,0.661846
7.526000,0.046000,14.999651,-0.021366,0.061692,0.000000,654.031001,670.493644,649.465590,674.916829,-1.699494,-0.021358,0.061679,0.000000,1.984145,-0.000009,0.000013,0.000000,14.999651,-0.021366,0.061692,0.000000,1.000000,0.028349,0.029309,1.000000,0.000007,0.000004,0.661382
7.542000,0.062000,14.985614,-0.011711,0.040446,-0.000041,656.353566,667.635614,653.834897,670.042677,-1.712124,-0.011696,0.040419,-0.000041,1.982738,-0.000015,0.000027,0.000000,14.985614,-0.011711,0.040446,-0.000041,1.000000,0.028886,0.029491,1.000000,0.000013,0.000008,0.660913
7.565000,0.085000,15.010453,-0.020980,0.065826,-0.000285,653.621229,671.570484,648.932239,675.691872,-1.685872,-0.020948,0.065766,-0.000285,1.981325,-0.000032,0.000060,0.000000,15.010453,-0.020980,0.065826,-0.000285,1.000000,0.030545,0.028898,1.000000,0.000030,0.000016,0.660442
7.581000,0.101000,15.044162,-0.014175,0.055830,-0.000483,655.438233,671.411073,652.076201,673.979168,-1.650755,-0.014112,0.055709,-0.000483,1.979917,-0.000063,0.000121,0.000000,15.044162,-0.014175,0.055830,-0.000483,1.000000,0.034023,0.027580,1.000000,0.000061,0.000031,0.659972
7.604000,0.124000,15.104884,-0.023798,0.083864,-0.000540,653.020332,676.434956,647.538370,680.911731,-1.588646,-0.023673,0.083618,-0.000540,1.978530,-0.000125,0.000245,0.000000,15.104884,-0.023798,0.083864,-0.000540,1.000000,0.041325,0.025993,1.000000,0.000123,0.000062,0.659510
7.622000,0.142000,15.060677,-0.001122,0.025742,-0.000477,659.568367,668.073326,658.995668,667.942770,-1.631449,-0.000935,0.025373,-0.000477,1.977126,-0.000187,0.000369,0.000000,15.060677,-0.001122,0.025742,-0.000477,1.000000,0.044907,0.026681,1.000000,0.000185,0.000093,0.659042
7.642000,0.162000,15.060283,0.000189,0.016131,-0.000501,661.067136,666.590730,660.755036,666.167416,-1.630441,0.000459,0.015593,-0.000501,1.975724,-0.000271,0.000538,0.000000,15.060283,0.000189,0.016131,-0.000501,1.000000,0.052105,0.026608,1.000000,0.000269,0.000135,0.658575
7.663000,0.183000,15.050111,0.005501,-0.006331,-0.000548,664.114024,663.141366,664.883973,661.562307,-1.639201,0.005881,-0.007088,-0.000548,1.974312,-0.000380,0.000757,0.000000,15.050111,0.005501,-0.006331,-0.000548,1.000000,0.061197,0.026878,1.000000,0.000378,0.000190,0.658104
7.685000,0.205000,15.054517,0.008089,-0.015939,-0.000845,665.669168,661.994012,666.770816,659.636140,-1.633385,0.008606,-0.016972,-0.000845,1.972902,-0.000517,0.001033,0.000000,15.054517,0.008089,-0.015939,-0.000845,1.000000,0.069409,0.026716,1.000000,0.000516,0.000259,0.657634
