metric,value
duration_s,10.0
n_state_samples,1000
n_ctrl_samples,500
trajectory_type,straight_3d
wind_x,0.0
wind_y,0.0
wind_z,0.0
is_wind,False
rmse_x,0.14936065606882057
max_err_x,4.06464972308345
rmse_y,0.07581632184457497
max_err_y,2.0591351119346193
rmse_z,0.04030226813315746
max_err_z,1.2322799030585831
rmse_3d,0.17228172583308307
max_err_3d,4.720161918837789
rmse_vx,0.06828973950330731
rmse_vy,0.04396112326014372
rmse_vz,0.03825704755469474
rmse_vel_3d,0.08977566801380703
settling_time_s,
ss_err_x,0.0391831157497473
ss_err_y,0.03216849653372139
ss_err_z,0.007858330455249998
ss_err_3d,0.057332566693745875
mean_thrust,14.906657698384555
max_thrust,15.193030346225814
min_thrust,14.760455521276555
thrust_dev,0.19165769838455618
rms_tau_phi,0.09261967008607233
max_tau_phi,0.18241630042122173
rms_tau_theta,0.06310263688173234
max_tau_theta,0.21295426042688725
rms_tau_psi,0.0009811013339347484
max_tau_psi,0.003057764357656054
mean_motor_util,44.006643711941535
max_motor_util,47.19940046153091
mean_util_r0,42.88658704874417
mean_util_r1,45.12495630741838
mean_util_r2,44.09438346252778
mean_util_r3,43.92064802907582
sat_events,0
sat_pct,0.0
ctrl_energy,2216.447693763732
max_phi_deg,1.7168265305327561
max_theta_deg,2.815131044251274
pct_within_linear,100.0
linearization_valid,True
ss_offset_x,0.0063690164789252735
ss_offset_y,-0.010397722487459054
ss_offset_z,0.007846153953452874
wind_detected,False
has_mpc_debug,True
mpc_solve_ok,500
mpc_solve_fail,0
mpc_solve_pct,100.0
cost_state_mean,0.19124508855763567
cost_state_max,0.6379494287254867
cost_input_mean,0.0478378833142757
cost_input_max,0.0922900777428126
cost_total_mean,0.23908297187191135
torque_scale_mean,1.0
torque_scale_min,1.0
torque_scaled_pct,0.0
ud_thrust_rms,1.6177156052940713
ui_thrust_rms,1.8091521231641843
ud_tau_phi_rms,0.1407376409441478
ui_tau_phi_rms,0.09232440790935686
ud_tau_theta_rms,0.443700810280091
ui_tau_theta_rms,0.48453581979542065
ud_tau_psi_rms,0.0009811013339347484
ui_tau_psi_rms,0.0
int_err_mag_final,0.6022109556982236
int_err_mag_max,0.7111117176402466
