t,t_rel,x,y,z,phi,theta,psi,vx,vy,vz,p,q,r,ref_x,ref_y,ref_z,ref_phi,ref_theta,ref_psi,ref_vx,ref_vy,ref_vz,ref_p,ref_q,ref_r,err_x,err_y,err_z,err_phi,err_theta,err_psi,err_vx,err_vy,err_vz,err_3d,err_vel_3d
7.480000,0.000000,-0.000000,0.000000,1.023541,0.000000,0.000000,0.000000,-0.000000,0.000001,0.062917,-0.000000,0.000000,-0.000000,0.000086,0.000043,1.000026,0.000000,0.000000,0.000000,0.008639,0.004319,0.002592,0.000000,0.000000,0.000000,-0.000087,-0.000043,0.023515,0.000000,0.000000,0.000000,-0.008639,-0.004319,0.060325,0.023515,0.061094
7.490000,0.010000,-0.000000,0.000000,1.022988,0.000000,0.000000,0.000000,-0.000000,0.000001,0.060883,0.000000,0.000000,-0.000000,0.000086,0.000043,1.000026,0.000000,0.000000,0.000000,0.008639,0.004319,0.002592,0.000000,0.000000,0.000000,-0.000087,-0.000043,0.022962,0.000000,0.000000,0.000000,-0.008639,-0.004319,0.058292,0.022962,0.059086
7.503000,0.023000,-0.000000,0.000000,1.023204,0.000000,0.000000,0.000000,-0.000000,0.000001,0.061132,0.000000,0.000000,-0.000000,0.000086,0.000043,1.000026,0.000000,0.000000,0.000000,0.008639,0.004319,0.002592,0.000000,0.000000,0.000000,-0.000087,-0.000043,0.023178,0.000000,0.000000,0.000000,-0.008639,-0.004319,0.058541,0.023178,0.059332
7.510000,0.030000,-0.000000,0.000000,1.023340,0.000000,0.000000,0.000000,-0.000000,0.000001,0.061187,-0.000000,0.000000,-0.000000,0.000086,0.000043,1.000026,0.000000,0.000000,0.000000,0.008639,0.004319,0.002592,0.000000,0.000000,0.000000,-0.000087,-0.000043,0.023314,0.000000,0.000000,0.000000,-0.008639,-0.004319,0.058595,0.023314,0.059386
7.524000,0.044000,-0.000000,0.000000,1.023451,0.000000,0.000000,0.000000,-0.000000,0.000001,0.061166,-0.000000,0.000000,-0.000000,0.000346,0.000173,1.000104,0.000000,0.000000,0.000000,0.017277,0.008639,0.005183,0.000000,0.000000,0.000000,-0.000346,-0.000172,0.023347,0.000000,0.000000,0.000000,-0.017278,-0.008638,0.055982,0.023351,0.059221
7.530000,0.050000,-0.000000,0.000000,1.023553,-0.000002,0.000003,0.000000,-0.000000,0.000001,0.061569,-0.006326,0.009091,0.000016,0.000346,0.000173,1.000104,0.000000,0.000000,0.000000,0.017277,0.008639,0.005183,0.000000,0.000000,0.000000,-0.000346,-0.000172,0.023450,-0.000002,0.000003,0.000000,-0.017278,-0.008638,0.056386,0.023453,0.059603
7.540000,0.060000,-0.000000,0.000000,1.024169,-0.000065,0.000094,0.000000,0.000000,0.000001,0.063466,-0.012474,0.017904,0.000016,0.000830,0.000415,1.000249,0.000000,0.000000,0.000000,0.026780,0.013390,0.008034,0.000000,0.000000,0.000000,-0.000830,-0.000415,0.023920,-0.000065,0.000094,0.000000,-0.026780,-0.013389,0.055432,0.023938,0.063001
7.550000,0.070000,-0.000000,0.000000,1.023793,-0.000063,0.000097,0.000002,0.000002,0.000002,0.062336,-0.007746,0.012490,0.000110,0.000830,0.000415,1.000249,0.000000,0.000000,0.000000,0.026780,0.013390,0.008034,0.000000,0.000000,0.000000,-0.000830,-0.000415,0.023544,-0.000063,0.000097,0.000002,-0.026778,-0.013388,0.054302,0.023562,0.062008
7.563000,0.083000,-0.000000,0.000000,1.023663,-0.000157,0.000245,0.000004,0.000016,0.000011,0.061949,-0.012586,0.020243,0.000174,0.001524,0.000762,1.000457,0.000000,0.000000,0.000000,0.036282,0.018141,0.010885,0.000000,0.000000,0.000000,-0.001524,-0.000761,0.023206,-0.000157,0.000245,0.000004,-0.036267,-0.018131,0.051064,0.023269,0.065204
7.571000,0.091000,0.000000,0.000001,1.023923,-0.000287,0.000451,0.000006,0.000046,0.000030,0.062859,-0.018815,0.029707,0.000180,0.001524,0.000762,1.000457,0.000000,0.000000,0.000000,0.036282,0.018141,0.010885,0.000000,0.000000,0.000000,-0.001524,-0.000761,0.023466,-0.000287,0.000451,0.000006,-0.036237,-0.018111,0.051975,0.023527,0.065898
7.580000,0.100000,0.000001,0.000001,1.024551,-0.000475,0.000748,0.000008,0.000091,0.000059,0.064829,-0.024852,0.039111,0.000153,0.002160,0.001080,1.000648,0.000000,0.000000,0.000000,0.043193,0.021597,0.012958,0.000000,0.000000,0.000000,-0.002159,-0.001079,0.023903,-0.000475,0.000748,0.000008,-0.043103,-0.021538,0.051871,0.024025,0.070798
7.591000,0.111000,0.000002,0.000002,1.024063,-0.000641,0.001019,0.000010,0.000168,0.000108,0.063715,-0.023548,0.039240,0.000193,0.002160,0.001080,1.000648,0.000000,0.000000,0.000000,0.043193,0.021597,0.012958,0.000000,0.000000,0.000000,-0.002157,-0.001078,0.023415,-0.000641,0.001019,0.000010,-0.043025,-0.021489,0.050757,0.023539,0.069923
7.600000,0.120000,0.000004,0.000003,1.024700,-0.000877,0.001412,0.000012,0.000271,0.000172,0.065909,-0.027626,0.047216,0.000147,0.003110,0.001555,1.000933,0.000000,0.000000,0.000000,0.051832,0.025916,0.015550,0.000000,0.000000,0.000000,-0.003106,-0.001552,0.023767,-0.000877,0.001412,0.000012,-0.051561,-0.025744,0.050359,0.024019,0.076534
7.610000,0.130000,0.000008,0.000006,1.024327,-0.001166,0.001885,0.000014,0.000429,0.000271,0.065504,-0.035084,0.058862,0.000159,0.003110,0.001555,1.000933,0.000000,0.000000,0.000000,0.051832,0.025916,0.015550,0.000000,0.000000,0.000000,-0.003102,-0.001549,0.023394,-0.001166,0.001885,0.000014,-0.051403,-0.025645,0.049954,0.023649,0.076127
7.620000,0.140000,0.000013,0.000008,1.024982,-0.001517,0.002474,0.000015,0.000619,0.000388,0.068103,-0.041932,0.070842,0.000111,0.004233,0.002116,1.001270,0.000000,0.000000,0.000000,0.060471,0.030235,0.018141,0.000000,0.000000,0.000000,-0.004220,-0.002108,0.023712,-0.001517,0.002474,0.000015,-0.059852,-0.029847,0.049961,0.024177,0.083482
7.630000,0.150000,0.000022,0.000014,1.024639,-0.001888,0.003113,0.000017,0.000893,0.000556,0.067427,-0.038702,0.069366,0.000163,0.004233,0.002116,1.001270,0.000000,0.000000,0.000000,0.060471,0.030235,0.018141,0.000000,0.000000,0.000000,-0.004211,-0.002102,0.023370,-0.001888,0.003113,0.000017,-0.059578,-0.029680,0.049285,0.023839,0.082822
7.640000,0.160000,0.000036,0.000023,1.024950,-0.002334,0.003901,0.000018,0.001245,0.000768,0.068662,-0.043744,0.080525,0.000217,0.005529,0.002764,1.001659,0.000000,0.000000,0.000000,0.069109,0.034555,0.020733,0.000000,0.000000,0.000000,-0.005493,-0.002742,0.023291,-0.002334,0.003901,0.000018,-0.067865,-0.033786,0.047929,0.024087,0.089690
7.653000,0.173000,0.000053,0.000034,1.025183,-0.002779,0.004721,0.000018,0.001678,0.001027,0.069630,-0.043689,0.082829,0.000178,0.006997,0.003499,1.002099,0.000000,0.000000,0.000000,0.077748,0.038874,0.023324,0.000000,0.000000,0.000000,-0.006944,-0.003465,0.023084,-0.002779,0.004721,0.000018,-0.076070,-0.037847,0.046305,0.024354,0.096764
7.660000,0.180000,0.000076,0.000047,1.025397,-0.003267,0.005602,0.000019,0.002198,0.001333,0.070514,-0.046340,0.087487,0.000271,0.006997,0.003499,1.002099,0.000000,0.000000,0.000000,0.077748,0.038874,0.023324,0.000000,0.000000,0.000000,-0.006922,-0.003451,0.023298,-0.003267,0.005602,0.000019,-0.075550,-0.037541,0.047190,0.024548,0.096665
7.673000,0.193000,0.000104,0.000064,1.025612,-0.003754,0.006521,0.000020,0.002808,0.001688,0.071306,-0.046135,0.089252,0.000294,0.006997,0.003499,1.002099,0.000000,0.000000,0.000000,0.077748,0.038874,0.023324,0.000000,0.000000,0.000000,-0.006893,-0.003434,0.023513,-0.003754,0.006521,0.000020,-0.074940,-0.037186,0.047982,0.024742,0.096442
7.680000,0.200000,0.000132,0.000081,1.026325,-0.004233,0.007439,0.000020,0.003462,0.002065,0.073538,-0.046143,0.090698,0.000307,0.008639,0.004319,1.002592,0.000000,0.000000,0.000000,0.086387,0.043193,0.025916,0.000000,0.000000,0.000000,-0.008506,-0.004238,0.023733,-0.004233,0.007439,0.000020,-0.082924,-0.041129,0.047622,0.025565,0.104095
7.694000,0.214000,0.000170,0.000104,1.025853,-0.004712,0.008371,0.000019,0.004237,0.002504,0.072291,-0.044959,0.089689,0.000277,0.010453,0.005226,1.003136,0.000000,0.000000,0.000000,0.095026,0.047513,0.028508,0.000000,0.000000,0.000000,-0.010283,-0.005123,0.022717,-0.004712,0.008371,0.000019,-0.090788,-0.045008,0.043783,0.025457,0.110387
7.700000,0.220000,0.000212,0.000129,1.026576,-0.005162,0.009268,0.000018,0.005077,0.002977,0.074549,-0.042632,0.087412,0.000205,0.010453,0.005226,1.003136,0.000000,0.000000,0.000000,0.095026,0.047513,0.028508,0.000000,0.000000,0.000000,-0.010241,-0.005098,0.023440,-0.005162,0.009268,0.000018,-0.089948,-0.044535,0.046042,0.026082,0.110426
7.710000,0.230000,0.000255,0.000153,1.026435,-0.005641,0.010194,0.000017,0.005975,0.003477,0.074389,-0.044706,0.089240,0.000261,0.010453,0.005226,1.003136,0.000000,0.000000,0.000000,0.095026,0.047513,0.028508,0.000000,0.000000,0.000000,-0.010198,-0.005073,0.023299,-0.005641,0.010194,0.000017,-0.089051,-0.044036,0.045881,0.025934,0.109427
7.720000,0.240000,0.000314,0.000187,1.026598,-0.006085,0.011080,0.000015,0.006989,0.004038,0.075113,-0.043081,0.087234,0.000203,0.012440,0.006220,1.003732,0.000000,0.000000,0.000000,0.103664,0.051832,0.031099,0.000000,0.000000,0.000000,-0.012126,-0.006032,0.022866,-0.006085,0.011080,0.000015,-0.096675,-0.047794,0.044014,0.026576,0.116480
7.730000,0.250000,0.000385,0.000229,1.026832,-0.006514,0.011949,0.000012,0.008106,0.004651,0.076339,-0.045397,0.090939,0.000140,0.012440,0.006220,1.003732,0.000000,0.000000,0.000000,0.103664,0.051832,0.031099,0.000000,0.000000,0.000000,-0.012054,-0.005991,0.023100,-0.006514,0.011949,0.000012,-0.095558,-0.047181,0.045239,0.026736,0.115776
