Trajectory,Wind,N_state,N_ctrl,Duration_s,RMSE_X_m,RMSE_Y_m,RMSE_Z_m,RMSE_3D_m,SS_Err_3D_m,Max_phi_deg,Max_theta_deg,Lin_Valid,MPC_Cost_Total,Motor_Util_pct,Sat_Events,MPC_Solve_pct,Ctrl_Energy
Hover,No,1383,693,13.84,0.0000,0.0000,0.1803,0.1803,0.0093,0.00,0.00,Yes,0.9128,43.90,0,100.0,3026.0
Hover,Yes,1386,693,13.86,0.0533,0.0476,0.1800,0.1936,0.0482,1.86,1.47,Yes,1.0971,43.19,0,100.0,2979.3
Straight 2D,No,1001,501,10.01,0.1705,0.0331,0.0278,0.1759,0.0558,0.33,3.47,Yes,0.2644,43.97,0,100.0,2215.7
Straight 2D,Yes,998,500,9.99,0.1711,0.0715,0.0482,0.1916,0.0766,2.31,3.62,Yes,0.5230,42.93,0,100.0,2165.1
Sine 2D,No,1000,500,10.00,0.2376,0.0343,0.0512,0.2455,0.1115,0.46,6.17,Yes,0.3545,44.00,0,100.0,2223.0
Sine 2D,Yes,999,499,9.98,0.1014,0.0653,0.0655,0.1372,0.0867,2.22,6.43,Yes,0.6448,43.08,0,100.0,2179.0
Step 2D,No,1000,500,10.00,0.1778,0.0349,0.0402,0.1856,0.0692,0.54,6.30,Yes,0.3329,43.92,0,100.0,2207.3
Step 2D,Yes,1000,501,9.99,0.1864,0.0540,0.0529,0.2011,0.0971,2.09,6.42,Yes,0.5698,43.05,0,100.0,2171.1
Circle 2D,No,999,500,9.99,0.1846,0.0576,0.0722,0.2064,0.2598,1.11,5.03,Yes,1.2973,43.99,0,100.0,2219.6
Circle 2D,Yes,1000,499,9.99,0.1830,0.0591,0.0765,0.2069,0.2569,2.91,4.98,Yes,1.3561,43.18,0,100.0,2179.5
Lemniscate 2D,No,999,500,9.99,0.1750,0.0551,0.0572,0.1922,0.2278,1.06,4.78,Yes,1.1731,44.10,0,100.0,2260.4
Lemniscate 2D,Yes,1000,500,9.99,0.1725,0.0534,0.0657,0.1922,0.2154,2.94,4.87,Yes,1.2480,43.27,0,100.0,2219.6
Straight 3D,No,1000,500,10.00,0.1494,0.0758,0.0403,0.1723,0.0573,1.72,2.82,Yes,0.2391,44.01,0,100.0,2216.4
Straight 3D,Yes,1000,500,9.99,0.0910,0.0378,0.0288,0.1026,0.0524,2.90,2.99,Yes,0.4250,43.09,0,100.0,2176.4
Helix,No,999,500,9.99,0.1600,0.1562,0.0479,0.2287,0.2836,4.80,5.26,Yes,1.5359,44.06,0,100.0,2229.0
Helix,Yes,1000,500,9.99,0.1615,0.1527,0.0536,0.2286,0.2872,6.69,5.34,Yes,1.6163,43.20,0,100.0,2191.4
Figure-8 3D,No,1000,500,10.00,0.1842,0.1352,0.0254,0.2298,0.2191,9.10,5.09,Yes,2.1068,44.09,0,100.0,2235.9
Figure-8 3D,Yes,1000,501,9.99,0.1804,0.1348,0.0408,0.2289,0.2158,10.93,5.26,Yes,2.1339,43.31,0,100.0,2201.5
Cone Helix,No,999,500,9.98,0.2050,0.2258,0.0074,0.3051,0.4873,7.94,9.06,Yes,2.7673,44.07,0,100.0,2232.7
Cone Helix,Yes,1000,500,10.00,0.2047,0.2280,0.0534,0.3110,0.4967,8.77,8.80,Yes,2.8920,43.20,0,100.0,2200.3
Lissajous 3D,No,998,500,9.98,0.2108,0.2858,0.0793,0.3638,0.3471,20.52,7.22,No,6.3404,44.15,0,100.0,2418.4
Lissajous 3D,Yes,1000,500,10.00,0.2072,0.2859,0.0856,0.3633,0.3323,22.69,7.39,No,6.3886,43.42,0,100.0,2397.1
